ticker,longName,ROCE (3yr avg),NFAT (3yr avg),SSGR,Av NPM (over 3 years),Av NFA/T (over 3 years),Av Dep%NFA (over 3 years),Av Retention ratio (over 3 years),Interest coverage,tax %,cCFO/cPAT,p/a,p/e,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,p/s,d/e,d/e_market,FCF%,FCF/CFO,3-5yr Average ROA (%),3-5yr Average ROE (%),moving_averages.current_price,moving_averages.SMA_20,moving_averages.SMA_50,moving_averages.SMA_200,moving_averages.above_50,moving_averages.above_200,moving_averages.golden_cross,moving_averages.dist_from_20,moving_averages.dist_from_50,moving_averages.dist_from_200,moving_averages.score,moving_averages.max_score,moving_averages.signal,macd.MACD,macd.MACD_signal,macd.MACD_hist,macd.bullish_crossover,macd.above_zero,macd.histogram_positive,macd.histogram_growing,macd.recent_crossover,macd.crossover_days_ago,macd.score,macd.max_score,macd.signal,rsi.RSI,rsi.not_overbought,rsi.above_50,rsi.in_sweet_spot,rsi.zone,rsi.score,rsi.max_score,rsi.signal,vwma.current_price,vwma.VWMA,vwma.above_vwma,vwma.vwma_rising,vwma.volume_pattern_bullish,vwma.current_volume,vwma.avg_volume,vwma.volume_ratio,vwma.avg_volume_up_days,vwma.avg_volume_down_days,vwma.score,vwma.max_score,vwma.signal,profitability_pct,growth_pct,valuation_pct,financial_health_pct,cashflow_quality_pct,ma_pct,ma_distance_bonus,macd_pct,macd_crossover_bonus,rsi_pct,vwma_pct,vwma_volume_bonus,fundamental_total_score,technical_total_score,combined_score
RICK,"RCI Hospitality Holdings, Inc.",9.083,1.04,1.948,9.392,1.04,4.967,70.778,3.32,-15.721,2.039,0.493,12.529,1.48,-53.908,14.824,-0.232,0.72521424,0.967,1.338,1038.99,0.927,6.058,12.757,23.43,24.752,24.585,34.17,False,False,False,-5.342,-4.698,-31.431,0.0,3.0,AVOID,-0.498,-0.415,-0.082,False,False,False,True,False,,0.0,3.0,AVOID - Bearish momentum,43.238,True,False,True,Bearish,2.0,3.0,BUY - Acceptable zone,23.43,25.005,False,False,False,94300.0,125440.0,0.752,90500.0,119125.0,0.0,3.0,"AVOID - Below VWMA, weak support",0.0,20.0,50.0,35.0,100.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,36.0,13.333,29.2
RIFR,,,,,,,,,,,,,,,,,,,,,,,,,25.917,25.767,25.797,,True,False,False,0.584,0.464,,1.0,3.0,AVOID,0.014,-0.006,0.021,True,True,True,True,True,5.0,3.0,3.0,STRONG BUY - Fresh crossover (5 days ago),54.595,True,True,True,Bullish,3.0,3.0,STRONG BUY - Ideal zone,25.917,25.694,True,False,True,1100.0,17195.0,0.064,3450.0,3133.333,2.0,3.0,BUY - Good volume support,0.0,0.0,0.0,0.0,0.0,33.3,5.0,100.0,5.0,100.0,66.7,5.0,0.0,75.0,22.5
RIGL,"Rigel Pharmaceuticals, Inc.",-27.272,113.522,-2353.499,-20.142,113.522,66.915,100.0,3.055,4.797,0.501,14.916,6.925,2.303,0.0,6.304,inf,2.691724,-2.093,0.079,177.724,,-14.266,-194.298,41.83,43.16,40.555,28.591,True,True,True,-3.082,3.145,46.307,3.0,3.0,STRONG BUY - At MA support,0.278,0.623,-0.345,False,True,False,False,False,,1.0,3.0,AVOID - Bearish momentum,47.073,True,False,True,Bearish,2.0,3.0,STRONG BUY - Ideal zone,41.83,42.917,False,False,False,678900.0,572235.0,1.186,228000.0,801250.0,0.0,3.0,"AVOID - Below VWMA, weak support",12.0,0.0,40.0,60.0,33.3,100.0,5.0,33.3,0.0,66.7,0.0,0.0,28.0,55.0,36.1
RILY,"BRC Group Holdings, Inc.",-18.268,11.988,-673.495,-29.549,11.988,42.363,178.169,-2.732,-2.518,-0.597,-12.569,inf,-482.214,0.0,-9.194,inf,0.21730901,6.325,11.618,-33.443,0.978,-4.036,196.761,5.18,4.505,4.709,4.516,True,True,True,14.996,9.993,14.698,3.0,3.0,WAIT - Extended above MA,0.082,0.006,0.076,True,True,True,True,False,,3.0,3.0,BUY - Momentum building,57.345,True,True,True,Bullish,3.0,3.0,STRONG BUY - Ideal zone,5.18,5.087,True,False,True,919200.0,2581765.0,0.356,1118520.0,995900.0,2.0,3.0,BUY - Good volume support,40.0,0.0,20.0,15.0,26.7,100.0,0.0,100.0,0.0,100.0,66.7,5.0,21.0,85.0,40.2
RILYG,,,,,,,,,,,,,,,,,,,,,,,,,20.3,18.848,18.078,15.163,True,True,True,7.705,12.292,33.876,3.0,3.0,WAIT - Extended above MA,0.643,0.512,0.13,True,True,True,False,False,,3.0,3.0,HOLD - Bullish but watch for weakening,64.615,True,True,True,Bullish,3.0,3.0,BUY - Acceptable zone,20.3,19.126,True,True,False,10800.0,27325.0,0.395,28916.667,36566.667,2.0,3.0,HOLD - Above VWMA but watch volume,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,66.7,0.0,0.0,80.0,24.0
RILYK,,,,,,,,,,,,,,,,,,,,,,,,,24.57,24.427,24.202,21.311,True,True,True,0.586,1.519,15.293,3.0,3.0,BUY - Ideal pullback entry,0.126,0.126,-0.0,False,True,False,False,True,2.0,1.0,3.0,AVOID - Bearish momentum,57.124,True,True,True,Bullish,3.0,3.0,STRONG BUY - Ideal zone,24.57,24.496,True,True,False,5000.0,7955.0,0.629,4100.0,9483.333,2.0,3.0,HOLD - Above VWMA but watch volume,0.0,0.0,0.0,0.0,0.0,100.0,5.0,33.3,5.0,100.0,66.7,0.0,0.0,76.667,23.0
RILYL,"BRC Group Holdings, Inc.",-18.268,11.988,-673.495,-29.549,11.988,42.363,178.169,-2.732,-2.518,-0.597,-12.569,0.888,-14339099437.148,0.0,-9.194,inf,0,6.325,0.0,-33.443,0.978,-4.036,196.761,5.33,4.768,4.996,4.595,True,True,True,11.776,6.687,16.004,3.0,3.0,WAIT - Extended above MA,0.126,0.069,0.057,True,True,True,False,False,,3.0,3.0,HOLD - Bullish but watch for weakening,54.829,True,True,True,Bullish,3.0,3.0,STRONG BUY - Ideal zone,5.33,5.878,False,False,False,2800.0,77970.0,0.036,13333.333,14366.667,0.0,3.0,"AVOID - Below VWMA, weak support",40.0,0.0,30.0,45.0,26.7,100.0,0.0,100.0,0.0,100.0,0.0,0.0,29.0,70.0,41.3
RILYN,,,,,,,,,,,,,,,,,,,,,,,,,21.5,20.334,19.781,16.209,True,True,True,5.736,8.69,32.645,3.0,3.0,WAIT - Extended above MA,0.467,0.342,0.125,True,True,True,False,False,,3.0,3.0,HOLD - Bullish but watch for weakening,66.222,True,True,True,Bullish,3.0,3.0,BUY - Acceptable zone,21.5,20.505,True,True,False,4500.0,24985.0,0.18,19928.571,29500.0,2.0,3.0,HOLD - Above VWMA but watch volume,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,66.7,0.0,0.0,80.0,24.0
RILYP,"BRC Group Holdings, Inc.",-18.268,11.988,-673.495,-29.549,11.988,42.363,178.169,-2.732,-2.518,-0.597,-12.569,0.85,-14985764705.882,0.0,-9.194,inf,0,6.325,0.0,-33.443,0.978,-4.036,196.761,5.1,4.516,4.806,4.479,True,True,True,12.938,6.115,13.874,3.0,3.0,WAIT - Extended above MA,0.094,0.036,0.058,True,True,True,True,False,,3.0,3.0,BUY - Momentum building,55.203,True,True,True,Bullish,3.0,3.0,STRONG BUY - Ideal zone,5.1,4.981,True,False,True,8900.0,35410.0,0.251,20520.0,10475.0,2.0,3.0,BUY - Good volume support,40.0,0.0,30.0,45.0,26.7,100.0,0.0,100.0,0.0,100.0,66.7,5.0,29.0,85.0,45.8
RILYT,,,,,,,,,,,,,,,,,,,,,,,,,14.08,13.483,12.828,10.526,True,True,True,4.428,9.758,33.759,3.0,3.0,BUY - Ideal pullback entry,0.52,0.494,0.026,True,True,True,False,False,,3.0,3.0,HOLD - Bullish but watch for weakening,56.545,True,True,True,Bullish,3.0,3.0,STRONG BUY - Ideal zone,14.08,13.522,True,True,True,27800.0,31440.0,0.884,31950.0,29940.0,3.0,3.0,STRONG BUY - Institutional accumulation,0.0,0.0,0.0,0.0,0.0,100.0,5.0,100.0,0.0,100.0,100.0,5.0,0.0,95.0,28.5
