ticker,longName,ROCE (3yr avg),NFAT (3yr avg),SSGR,Av NPM (over 3 years),Av NFA/T (over 3 years),Av Dep%NFA (over 3 years),Av Retention ratio (over 3 years),Interest coverage,tax %,cCFO/cPAT,p/a,p/e,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,p/s,d/e,d/e_market,FCF%,FCF/CFO,3-5yr Average ROA (%),3-5yr Average ROE (%),moving_averages.current_price,moving_averages.SMA_20,moving_averages.SMA_50,moving_averages.SMA_200,moving_averages.above_50,moving_averages.above_200,moving_averages.golden_cross,moving_averages.dist_from_20,moving_averages.dist_from_50,moving_averages.dist_from_200,moving_averages.score,moving_averages.max_score,moving_averages.signal,macd.MACD,macd.MACD_signal,macd.MACD_hist,macd.bullish_crossover,macd.above_zero,macd.histogram_positive,macd.histogram_growing,macd.recent_crossover,macd.crossover_days_ago,macd.score,macd.max_score,macd.signal,rsi.RSI,rsi.not_overbought,rsi.above_50,rsi.in_sweet_spot,rsi.zone,rsi.score,rsi.max_score,rsi.signal,vwma.current_price,vwma.VWMA,vwma.above_vwma,vwma.vwma_rising,vwma.volume_pattern_bullish,vwma.current_volume,vwma.avg_volume,vwma.volume_ratio,vwma.avg_volume_up_days,vwma.avg_volume_down_days,vwma.score,vwma.max_score,vwma.signal,profitability_pct,growth_pct,valuation_pct,financial_health_pct,cashflow_quality_pct,ma_pct,ma_distance_bonus,macd_pct,macd_crossover_bonus,rsi_pct,vwma_pct,vwma_volume_bonus,fundamental_total_score,technical_total_score,combined_score
ABL,"Abacus Global Management, Inc.",21.372,87.846,1819.03,21.26,87.846,67.242,-1.0,0.101,-28.223,-14.303,-7.221,170.2,-2.88,0.0,70.473,inf,4.232,2.354,0.464,874.818,1.054,51.641,121.242,8.51,7.28,6.284,6.455,True,True,False,16.893,35.422,31.846,2.0,3.0,WAIT - Partial trend,0.693,0.584,0.109,True,True,True,False,False,,3.0,3.0,HOLD - Bullish but watch for weakening,73.318,False,True,False,Overbought,1.0,3.0,"WAIT - Overbought, pullback likely",8.51,7.292,True,True,True,1051400.0,764920.0,1.375,821366.667,731900.0,3.0,3.0,STRONG BUY - Institutional accumulation,92.0,50.0,0.0,20.0,60.0,66.7,0.0,100.0,0.0,33.3,100.0,5.0,46.0,66.667,52.2
ABLV,Able View Global Inc.,14.431,224.935,270.806,2.077,224.935,59.777,70.767,-21.89,22.652,0.348,-13.513,inf,-36.903,0.0,3.196,inf,0.354,0.976,0.554,31.21,1.019,11.112,73.897,0.82,0.778,0.839,0.985,False,False,False,5.426,-2.237,-16.76,0.0,3.0,AVOID,0.011,0.002,0.009,True,True,True,False,False,,3.0,3.0,HOLD - Bullish but watch for weakening,51.236,True,True,True,Bullish,3.0,3.0,STRONG BUY - Ideal zone,0.82,0.962,False,False,True,7700.0,1103295.0,0.007,34975.0,18400.0,1.0,3.0,"AVOID - Below VWMA, weak support",48.0,15.0,20.0,40.0,33.3,0.0,0.0,100.0,0.0,100.0,33.3,5.0,32.0,50.0,37.4
ABNB,"Airbnb, Inc.",20.433,33.412,1033.927,31.57,33.412,20.903,100.0,,20.504,1.575,12.826,32.286,4.603,0.0,22.822,inf,6.935,0.281,0.04,,0.998,19.427,53.231,135.28,124.088,123.39,126.471,True,True,False,9.019,9.636,6.965,2.0,3.0,WAIT - Partial trend,3.59,2.078,1.512,True,True,True,False,False,,3.0,3.0,HOLD - Bullish but watch for weakening,74.52,False,True,False,Overbought,1.0,3.0,"WAIT - Overbought, pullback likely",135.28,124.268,True,True,True,10386600.0,5265610.0,1.973,5300833.333,0.0,3.0,3.0,STRONG BUY - Institutional accumulation,92.0,50.0,10.0,65.0,66.7,66.7,0.0,100.0,0.0,33.3,100.0,5.0,58.0,66.667,60.6
ABOS,"Acumen Pharmaceuticals, Inc.",-28.872,0.0,-63.296,-1.0,0.0,63.296,100.0,-28.028,-0.0,0.612,-32.996,inf,-78.574,0.0,0.0,inf,0.0,0.108,0.221,84.268,1.0,-20.374,-21.844,2.15,1.942,1.979,1.441,True,True,True,10.739,8.652,49.241,3.0,3.0,WAIT - Extended above MA,0.066,0.039,0.027,True,True,True,True,False,,3.0,3.0,BUY - Momentum building,59.455,True,True,True,Bullish,3.0,3.0,STRONG BUY - Ideal zone,2.15,1.969,True,True,True,263400.0,154935.0,1.7,187916.667,113000.0,3.0,3.0,STRONG BUY - Institutional accumulation,0.0,0.0,0.0,45.0,60.0,100.0,0.0,100.0,0.0,100.0,100.0,5.0,18.0,90.0,39.6
ABPWW,"Abpro Holdings, Inc.",-516.864,0.163,-848.331,-4798.481,0.163,67.78,100.0,-25.636,,0.702,-215.559,inf,-45200000000.0,0.0,-69.968,inf,0.0,-0.037,0.0,,1.001,-159.881,16.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.0,0.0,45.0,26.7,0.0,5.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,12.7
ABSI,Absci Corporation,-49.871,0.108,-244.604,-2011.027,0.108,27.775,100.0,-192.722,-0.068,0.665,-47.449,inf,-20.286,0.0,-1.759,inf,180.553,0.057,0.02,70.613,,-34.579,-40.916,3.38,3.372,3.654,3.053,False,True,True,0.252,-7.499,10.711,2.0,3.0,WAIT - Partial trend,0.023,0.016,0.007,True,True,True,False,False,,3.0,3.0,HOLD - Bullish but watch for weakening,48.575,True,False,True,Bearish,2.0,3.0,STRONG BUY - Ideal zone,3.38,3.442,False,True,False,9810600.0,4138410.0,2.371,3953625.0,4829140.0,1.0,3.0,"AVOID - Below VWMA, weak support",0.0,0.0,0.0,50.0,20.0,66.7,5.0,100.0,0.0,66.7,33.3,0.0,13.0,63.333,28.1
ABTS,Abits Group Inc.,-69.48,0.296,-1477.079,-4845.988,0.296,40.957,100.0,-25.204,-13.951,0.122,-7.564,inf,-7.404,0.0,212.777,inf,1.788,0.0,0.0,72.944,-0.355,-63.018,-67.615,5.31,5.828,6.37,4.77,False,True,True,-8.884,-16.642,11.321,2.0,3.0,WAIT - Partial trend,-0.233,-0.193,-0.04,False,False,False,False,False,,0.0,3.0,AVOID - Bearish momentum,40.901,True,False,True,Bearish,2.0,3.0,BUY - Acceptable zone,5.31,5.791,False,False,True,6100.0,18840.0,0.324,9700.0,6828.571,1.0,3.0,"AVOID - Below VWMA, weak support",0.0,35.0,20.0,45.0,20.0,66.7,0.0,0.0,0.0,66.7,33.3,5.0,23.0,43.333,29.1
ABUS,Arbutus Biopharma Corporation,-52.807,3.078,-1779.671,-570.873,3.078,22.449,100.0,-510.759,-0.0,0.879,-48.421,inf,-8.207,0.0,-17.495,inf,58.332,0.012,0.002,93.009,0.995,-38.806,-52.672,4.43,4.473,4.482,3.758,False,True,True,-0.961,-1.169,17.877,2.0,3.0,WAIT - Partial trend,0.043,0.04,0.003,True,True,True,False,True,10.0,3.0,3.0,HOLD - Bullish but watch for weakening,47.249,True,False,True,Bearish,2.0,3.0,STRONG BUY - Ideal zone,4.43,4.51,False,True,False,4248600.0,1259750.0,3.373,1528060.0,1850750.0,1.0,3.0,"AVOID - Below VWMA, weak support",8.0,0.0,0.0,50.0,73.3,66.7,5.0,100.0,0.0,66.7,33.3,0.0,23.0,63.333,35.1
ABVC,"ABVC BioPharma, Inc.",-412.823,0.34,-894.167,-2588.295,0.34,13.864,100.0,-5.697,2.059,0.5,-62.983,inf,-9.213,0.0,12.721,inf,66.698,1.564,0.046,,,-115.405,-304.91,2.19,2.356,2.675,2.243,False,False,True,-7.066,-18.131,-2.384,1.0,3.0,AVOID,-0.189,-0.175,-0.013,False,False,False,True,False,,0.0,3.0,AVOID - Bearish momentum,39.504,True,False,False,Bearish,1.0,3.0,"CAUTION - Oversold, wait for bounce confirmation",2.19,2.297,False,False,True,132800.0,72470.0,1.832,86640.0,73600.0,1.0,3.0,"AVOID - Below VWMA, weak support",0.0,15.0,0.0,60.0,0.0,33.3,0.0,0.0,0.0,33.3,33.3,5.0,15.0,26.667,18.5
ABVE,Above Food Ingredients Inc.,105.216,6.122,-63.057,-9.616,6.122,4.19,100.0,-5.15,-0.0,0.366,-29.472,inf,-61.623,0.0,36.114,inf,0.293,44.663,1.358,-6.561,0.357,-20.677,-11.614,1.69,2.396,3.112,1.82,False,False,True,-29.458,-45.689,-7.159,1.0,3.0,AVOID,-0.296,-0.211,-0.085,False,False,False,True,False,,0.0,3.0,AVOID - Bearish momentum,37.543,True,False,False,Bearish,1.0,3.0,"CAUTION - Oversold, wait for bounce confirmation",1.69,2.475,False,False,False,1878000.0,2502700.0,0.75,1844775.0,2835220.0,0.0,3.0,"AVOID - Below VWMA, weak support",40.0,35.0,20.0,25.0,0.0,33.3,0.0,0.0,0.0,33.3,0.0,0.0,26.0,16.667,23.2
