,Au NFA/T (over 3 years),Au Retention ratio (over 3 years),Av Dep%NFA (over 3 years),Av NPM (over 3 years),CFO,CFO >0,Capex,Capital Expenditure,Cash and Cash Equivalents,Construction in Progress,Current Assets,Current Liabilities,Current Price,DPR,DV,DV >3%,Dep,Depreciation & Amortization,Dividends Paid,EY,EY >7,EY >7%,Earnings Growth 5yr cagr,FCF,FCF%,FCF/CFO,Income Tax Expense,Interest Expense,Interest coverage,Interest coverage >3,Market Cap,Mcap (cr),NFA + CWIP,NFAT,NFAT (3yr avg),NPM,Net Debt,Net Fixed Assets,Net Income,Operating Cash Flow,PEG,ROCE,ROCE (3yr avg),ROE,ROE (3yr avg),Retention Ratio,SSGR,Sales cagr >15%,Shares Outstanding,Tax payout >25%,Total Assets,Total Debt,Total Liabilities,Total Revenue,Total Stockholders Equity,Working Capital,cCFO,cCFO > PAT,cCFO/cPAT,cPAT,current,d/e,d/e <0.5,d/e decreasing trend 5 yrs,high,insidersPercentHeld,institutionsCount,institutionsFloatPercentHeld,institutionsPercentHeld,low,mean,median,net cash flow positive,no. shares (cr),npm >8%,p/a,p/b <3,p/e,p/e <10,p/s,peg <1,sgr > Sales growth (very linear),tax %,ticker
0,0.38606191266664386,100.97047501948896,18.61532163600773,-54.69473293921214,-233662000.0,False,967868000.0,806396000.0,7995000.0,379317000.0,705430000.0,187887000.0,9.82,-0.9704750194889743,0.1239387163872103,False,18.61532163600773,154609000.0,3421000.0,-5.281325419110891,False,False,-1,-1201530000.0,824.2246719304143,5.142171170322945,3344000.0,2455000.0,-24.131568228105905,False,2760235008,276.0235008,1612135000.0,0.40447845623472406,0.38606191266664386,-54.69473293921214,57962000.0,1232818000.0,-145777000.0,-233662000.0,-1,-7.887084278288797,-11.95727135633368,-21.575241094738836,-24.840212177305215,100.97047501948897,-39.935796016453864,False,281083008,False,1962662000.0,65957000.0,201821000.0,378968000.0,675668000.0,517543000.0,-201437210.0,False,0.5548271359288296,-363063010.0,9.82,0.09909304569699912,True,False,26.0,0.02908,429.0,0.65835,0.63921,15.0,20.43182,20.0,False,28.1083008,False,-19.14144053530958,True,11.418604,False,4.3678956,False,False,-2.3477705307056653,CLSK
0,100.06069053479261,100.0,655.9245591778571,30.015660638312596,239808000.0,True,37655000.0,556000.0,1030000.0,0,623609000.0,120678000.0,21.08,0.0,0.0,False,655.9245591778571,37774000.0,0,6.352281208061568,False,False,-1,202153000.0,123.34750959490874,0.8429785495062717,52374000.0,0,inf,True,2580002304,258.0002304,3584000.0,134.96198710031564,100.06069053479261,30.015660638312596,2071000.0,3584000.0,163889000.0,239808000.0,-1,26.702502829350806,26.917817629984892,42.25239184182777,35.39664813415059,100.0,2347.4631711496954,False,122391000,False,851411000.0,3101000.0,123779000.0,491734000.0,387881000.0,502931000.0,559827000.0,True,1.564374336332644,357860000.0,21.08,0.008219015625926508,True,False,40.0,0.06197,503.0,0.91051,0.85409,31.0,34.28571,34.0,False,12.2391,True,34.8615442211889,False,12.775758,False,4.619529,False,False,24.21773488761369,CPRX
0,0.7151419354749372,12.37870124224584,4.016677672333635,29.12484908005874,2968000000.0,True,264000000.0,154000000.0,65000000.0,227000000.0,1325000000.0,1712000000.0,54.3,87.62129875775416,8.503334585511176,True,4.016677672333635,680000000.0,2235000000.0,9.549606178806735,True,True,-1,2704000000.0,107.72908366533865,0.9110512129380054,0,800000000.0,4.1,True,26283806720,2628.380672,16066000000.0,0.5417652184737956,0.7151419354749372,29.12484908005874,15047000000.0,15839000000.0,2510000000.0,2968000000.0,-1,21.027888952417253,23.766113875891758,0,0,12.378701242245837,-1.4383921462446836,False,484048000,False,17453000000.0,15112000000.0,17962000000.0,8704000000.0,0.0,-387000000.0,12517000000.0,True,1.1491920675725302,10892000000.0,54.3,0,True,False,71.0,0.49567002,216.0,0.9263,0.46716,45.0,56.42857,55.0,False,48.4048,True,13.86587117445586,False,13.2116785,False,2.6392014,False,False,0.0,CQP
0,-1,100.0,12.1729882744485,-54.767313057756944,-86231000.0,False,-4175000.0,310000.0,3579000.0,0.0,107305000.0,85772000.0,2.12,0.0,0.0,False,12.1729882744485,1768000.0,0,9.115441413985941,True,True,-1,-82056000.0,-257.47905488091874,0.9515835372429868,224000.0,0,inf,True,349615520,34.961552,10603000.0,7.425092072367537,-1,-54.767313057756944,31638000.0,10603000.0,31869000.0,-86231000.0,-1,71.90529616524266,-11.937003938272118,-67.16757645372732,7190.395534822561,100.0,-1,True,164912992,False,120533000.0,35217000.0,120989000.0,138103000.0,-47447000.0,21533000.0,-372085000.0,True,2.0234437453436076,-183887000.0,2.12,-0.19779965013594117,True,False,8.0,0.00791,93.0,0.88357,0.87658,3.5,5.75,5.5,False,16.4912992,False,15.792994766888677,True,4.24,True,2.4777853,False,False,0.6979715202692176,CTMX
0,381.56431379495433,93.03273317375533,93.31105015002724,14.601041928468495,2189800000.0,True,-1,165300000.0,0,-1,34745900000.0,2036500000.0,170.68,6.967266826244665,0.776671487679363,False,93.31105015002724,87100000.0,395200000.0,9.347571518213872,True,True,-1,-1,-1,-1,1478700000.0,0,inf,True,50883801088,5088.3801088,-1,546.8261515601783,381.56431379495433,14.601041928468495,0,70000000.0,4756400000.0,2189800000.0,-1,17.423784335941857,21.438331002796318,20.956812153576372,28.25719361572456,93.03273317375533,5089.762578426799,False,298124000,False,36104300000.0,8243400000.0,10279900000.0,36801400000.0,22696200000.0,32709400000.0,7590100000.0,False,0.3885305650255434,19535400000.0,170.68,0.26308368801825854,True,False,187.0,0.116560005,1526.0,0.97013,0.85706,110.0,158.92857,167.0,False,29.8124,True,14.598065213121195,True,13.709236,False,1.4716849,False,False,23.528569382786767,DHI
0,1.2528739870547962,-29.331635629810744,19.948725233318914,67.79084457023629,132639000.0,True,220389000.0,0,0,0,67832000.0,4247000.0,24.845,129.33163562981073,12.913323413192245,True,19.948725233318914,42767000.0,151881000.0,7.860257940270407,True,True,3.1634738535747164,-87750000.0,-94.91719759002261,-0.661570126433402,0,0,inf,True,1176157312,117.6157312,298980000.0,0.7685386522274931,1.2528739870547962,67.79084457023629,0,298980000.0,92449000.0,132639000.0,4.539715409302911,25.49860025098948,54.07480064766251,0,0,-29.331635629810737,-44.86107646151133,True,47339800,False,366812000.0,777000.0,5024000.0,161523000.0,0.0,63585000.0,489838000.0,True,1.2025079354947992,407347000.0,24.845,0,True,False,,0.09472,158.0,0.28219998,0.25547,,,,False,4.73398,True,48.38615130976369,False,14.361271,False,7.2665544,False,False,0.0,DMLP
0,0.885483414838803,53.942169229815846,0.0,24.691053551005396,6600000000.0,True,5719000000.0,7453000000.0,315000000.0,0,3427000000.0,3309000000.0,35.16,46.057830770184154,4.1981099275756595,True,0.0,0,937000000.0,12.952759659147528,True,True,-1,881000000.0,30.473884469041856,0.13348484848484848,770000000.0,401000000.0,10.331670822942643,True,22319568896,2231.9568896,25314000000.0,0.7098799795141286,0.885483414838803,24.691053551005396,8568000000.0,25314000000.0,2891000000.0,6600000000.0,-1,15.132450331125828,25.93833697626964,23.969820081253626,40.82227309376733,53.94216922981585,11.793656102640137,False,634800000,False,30489000000.0,8883000000.0,15785000000.0,15940000000.0,12061000000.0,118000000.0,26573000000.0,True,1.7181559549980603,15466000000.0,35.16,0.7630378907221623,False,False,66.0,0.007850001,1474.0,0.78656995,0.78039,33.0,45.10714,43.5,False,63.48,True,11.80481829318089,True,7.9189186,True,1.3858782,False,False,20.743534482758623,DVN
0,0.8245476159457384,52.15643823345824,0.0,28.81866738740602,12143000000.0,True,1915000000.0,6372000000.0,503000000.0,0,11230000000.0,5354000000.0,121.11,47.84356176654177,3.15613339886677,True,0.0,0,2087000000.0,9.683144299446061,True,True,-1,10228000000.0,159.7376229892238,0.8422959729885531,1815000000.0,138000000.0,59.80434782608695,True,66125213696,6612.5213696,34212000000.0,0.7030026011517239,0.8245476159457384,28.81866738740602,4099000000.0,34212000000.0,6403000000.0,12143000000.0,-1,19.975138649837447,24.270887498152263,22.794588821644712,29.474491106131936,52.15643823345823,12.393602435959941,False,545993024,False,47186000000.0,4602000000.0,17835000000.0,23378000000.0,28090000000.0,5876000000.0,43367000000.0,True,1.641445874337623,26420000000.0,121.11,0.18038447846208616,True,False,170.0,0.00278,2015.0,0.97013,0.96742994,120.0,140.25,140.5,False,54.5993024,True,14.599721823198122,True,11.746847,False,2.9004831,False,False,22.085665612071065,EOG
0,5.96158586863291,81.63546452016875,15.640715133558858,10.976129959992448,3324000000.0,True,281000000.0,331000000.0,174000000.0,271000000.0,8429000000.0,2897000000.0,54.43,18.364535479831243,2.160235946721663,False,15.640715133558858,385000000.0,277000000.0,17.648425803000446,True,True,-1,3043000000.0,134.4675209898365,0.9154632972322503,768000000.0,403000000.0,8.012406947890819,True,25319636992,2531.9636992,2790000000.0,6.36843133424497,5.96158586863291,10.976129959992448,-1,2519000000.0,2263000000.0,3324000000.0,-1,17.065720760666075,13.92484210287887,21.121896583908903,15.504024601456257,81.63546452016875,37.777566394915105,False,235580992,True,23195000000.0,-1,10840000000.0,16300000000.0,10714000000.0,5532000000.0,8848000000.0,True,1.425257731958763,6208000000.0,54.43,0.6967519133843569,False,False,,0.43964002,735.0,0.97885,0.5485,,,,False,23.5580992,True,10.299472055343164,True,11.08554,False,1.5533519,False,False,25.089839921594248,FOX
0,5.96158586863291,81.63546452016875,15.640715133558858,10.976129959992448,3324000000.0,True,281000000.0,331000000.0,174000000.0,271000000.0,8429000000.0,2897000000.0,59.42,18.364535479831243,2.2203471599114186,False,15.640715133558858,385000000.0,277000000.0,18.13951488404166,True,True,-1,3043000000.0,134.4675209898365,0.9154632972322503,768000000.0,403000000.0,8.012406947890819,True,25276198912,2527.6198912,2790000000.0,6.36843133424497,5.96158586863291,10.976129959992448,-1,2519000000.0,2263000000.0,3324000000.0,-1,17.065720760666075,13.92484210287887,21.121896583908903,15.504024601456257,81.63546452016875,37.777566394915105,False,209955008,True,23195000000.0,-1,10840000000.0,16300000000.0,10714000000.0,5532000000.0,8848000000.0,True,1.425257731958763,6208000000.0,59.42,0.6967519133843569,False,False,72.0,0.013250001,1063.0,1.18039,1.16475,48.0,60.47222,62.0,False,20.9955008,True,10.299472055343164,True,12.101833,False,1.5506871,False,False,25.089839921594248,FOXA
