ticker,analysis_date,current_price,score,max_score,quality,market_context.spy_price,market_context.spy_50w_sma,market_context.spy_above_50w,market_context.market_state,market_context.warning,fundamentals.eps_growth_yoy,fundamentals.rev_growth_yoy,fundamentals.net_margin_pct,fundamentals.gross_margin_pct,fundamentals.eps_5yr_cagr,fundamentals.margin_pass,fundamentals.eps_pass,fundamentals.rev_pass,fundamentals.data_quality,fundamentals.industry,fundamentals.sector,fundamentals.margin_note,fundamentals.distortion_note,fundamentals.error_detail,relative_strength.rs_4w,relative_strength.rs_13w,relative_strength.rs_26w,relative_strength.rs_52w,relative_strength.rs_line_current,relative_strength.rs_52w_high,relative_strength.rs_at_52w_high,relative_strength.leading_rs,stage2.confirmed,stage2.sma30w,stage2.current_price,stage2.sma30w_rising,stage2.pct_above_30w_sma,stage2.pct_from_52w_high,stage2.pct_above_52w_low,stage2.prior_uptrend,stage2.high_52w,stage2.low_52w,base.pattern,base.length_weeks,base.depth_pct,base.base_high,base.base_high_date,base.base_low,base.base_low_date,base.pass_depth,base.vcp_swings,base.vcp_contracting,volume.avg_vol_up_weeks,volume.avg_vol_down_weeks,volume.accumulation_ratio,volume.accumulation_pass,volume.vol_dry_pct,volume.vol_dry_pass,tightness.tight_area_count,tightness.last_tight_date,tightness.first_30d_avg_range_pct,tightness.last_30d_avg_range_pct,tightness.volatility_contraction_pct,tightness.volatility_contracting,tightness.tight_area_pass,priming.inside_bars,priming.upside_reversals,priming.tight_setup_days,priming.best_signal,support.primary_support,entry.pivot_price,entry.already_broken_out,entry.entry1.trigger,entry.entry1.stop,entry.entry1.risk_pct,entry.entry1.signal_type,entry.entry1.signal_date,entry.entry1.status,entry.entry1.sizing_per_500_risk.shares,entry.entry1.sizing_per_500_risk.position_value,entry.entry2.trigger,entry.entry2.stop,entry.entry2.risk_pct,entry.entry2.vol_required,entry.entry2.status,entry.entry2.breakout_date,entry.entry2.breakout_vol_ratio,entry.entry2.sizing_per_500_risk.shares,entry.entry2.sizing_per_500_risk.position_value,entry.stop_levels.ema10,entry.stop_levels.ema21,entry.stop_levels.sma50,entry.stop_levels.primary_support,entry.stop_levels.ema10_dist_pct,entry.stop_levels.ema21_dist_pct,entry.stop_levels.sma50_dist_pct,entry.stop_levels.support_dist_pct,entry.stop_levels.ema10_state,entry.stop_levels.ema21_state,entry.stop_levels.sma50_state,entry.stop_levels.recommendation_if_in_entry1,entry.stop_levels.recommendation_if_in_entry2,entry.stop_levels.recommendation_reason,entry.stop_levels.hard_stop_from_e1,entry.stop_levels.hard_stop_from_e2,climax.climax_warning,climax.gain_5w_pct,climax.vol_surge_ratio,climax.close_position_pct,error
CODI,2026-04-06,9.55,4,11.0,AVOID,658.9,646.8,True,UPTREND,,1900.0,-14.6,-12.1,,,False,True,False,OK,Conglomerates,Industrials,,,,68.0,79.2,31.2,-53.7,0.0145,0.0315,False,False,True,6.53,9.55,True,46.3,-46.0,108.5,True,17.67,4.58,Unclear,50.0,-73.7,17.65,2025-04-28,4.65,2025-12-29,False,"[66.0, 38.4, 51.3]",False,6725380.0,7521564.0,0.89,False,-5.1,False,0.0,,7.69,7.18,-6.6,False,False,[],"[{'date': '2026-03-23', 'close_position_pct': 95.1}, {'date': '2026-03-24', 'close_position_pct': 96.2}, {'date': '2026-03-27', 'close_position_pct': 83.8}, {'date': '2026-04-02', 'close_position_pct': 83.5}]",[],UPSIDE_REVERSAL,8.08,17.65,False,8.73,8.08,7.4,UPSIDE_REVERSAL,2026-04-02,TRIGGERED,769.2,6715.0,17.74,17.12,3.5,≥1.5x 50-day average,WATCHING,,,806.5,14307.0,7.75,7.19,6.84,8.08,23.2,32.8,39.6,18.2,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,8.08,16.41,False,,,,
COF,2026-04-06,184.21,5,11.0,NOT_READY,658.9,646.8,True,UPTREND,,22.1,51.1,7.5,,22.2,False,False,True,OK,Credit Services,Financial Services,,,,68.0,79.2,31.2,-53.7,0.0145,0.0315,False,False,True,6.53,9.55,True,46.3,-96.3,-93.2,False,258.65,141.3,Unclear,50.0,-73.7,17.65,2025-04-28,4.65,2025-12-29,False,"[66.0, 38.4, 51.3]",False,6725380.0,7521564.0,0.89,False,-5.1,False,0.0,,3.05,3.08,1.0,False,False,"[{'date': '2026-03-30', 'vol_ratio': 0.64}, {'date': '2026-04-06', 'vol_ratio': 0.5}]","[{'date': '2026-03-31', 'close_position_pct': 71.1}]",[],INSIDE_BAR,183.98,17.65,True,184.22,183.98,0.1,INSIDE_BAR,2026-04-06,WATCHING,2083.3,383786.0,17.74,17.12,3.5,≥1.5x 50-day average,TRIGGERED,2025-04-07,,806.5,14307.0,182.5,185.23,198.22,183.98,0.9,-0.6,-7.1,0.1,ABOVE,BELOW,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,170.4,16.41,False,57.9,0.35,94.6,
COMP,2026-04-06,6.8,3,11.0,AVOID,658.9,646.8,True,UPTREND,,-12.5,23.1,-0.8,,,False,False,True,OK,Real Estate Services,Real Estate,,,,-14.1,-44.6,-6.5,-26.3,0.0103,0.0194,False,False,False,9.54,6.8,False,-28.7,-51.3,20.2,False,13.95,5.66,Unclear,12.0,-49.0,13.33,2026-01-19,6.8,2026-04-06,True,"[21.9, 19.6, 12.5]",True,,80618101.0,,False,-36.0,True,0.0,,5.51,6.04,9.6,False,False,[],[],[],,6.77,13.33,False,,,,,,NOT_AVAILABLE,,,13.4,12.93,3.5,≥1.5x 50-day average,WATCHING,,,1063.8,14255.0,7.36,7.98,9.83,6.77,-7.6,-14.8,-30.8,0.4,2_CLOSES_BELOW,BELOW,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,,12.4,False,,,,
CPAY,2026-04-06,298.23,5,11.0,NOT_READY,658.9,646.8,True,UPTREND,,9.0,20.7,23.6,,9.0,True,False,True,OK,Software - Infrastructure,Technology,,,,1.8,-2.6,4.7,-23.7,0.4526,0.5937,False,False,False,304.57,298.23,False,-2.1,-17.6,18.0,False,361.99,252.84,Cup with Handle,10.0,-19.6,354.19,2026-02-02,284.93,2026-03-23,True,"[4.8, 3.3, 4.5]",False,2381180.0,3555920.0,0.67,False,-33.6,True,0.0,,3.49,3.86,10.6,False,False,"[{'date': '2026-03-26', 'vol_ratio': 0.67}, {'date': '2026-04-06', 'vol_ratio': 0.47}]",[],[],INSIDE_BAR,297.25,354.19,False,299.92,297.25,0.9,INSIDE_BAR,2026-04-06,WATCHING,186.9,56056.0,355.96,343.56,3.5,≥1.5x 50-day average,WATCHING,,,40.3,14345.0,294.07,300.78,318.34,297.25,1.4,-0.8,-6.3,0.3,ABOVE,BELOW,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,277.43,329.26,False,,,,
CRCL,2026-04-06,92.15,3,11.0,AVOID,658.9,646.8,True,UPTREND,,,76.9,,,,False,False,True,OK,,,,,,1.8,-2.6,4.7,,0.4526,,False,False,False,,,False,,,,False,,,Cup with Handle,10.0,-19.6,354.19,2026-02-02,284.93,"['2026-03-23', '2026-02-02']",True,"[4.8, 3.3, 4.5]",False,,,,False,,False,0.0,,6.56,8.46,29.0,False,False,[],"[{'date': '2026-03-23', 'close_position_pct': 86.4}, {'date': '2026-03-31', 'close_position_pct': 71.5}, {'date': '2026-04-02', 'close_position_pct': 97.9}]",[],UPSIDE_REVERSAL,91.13,354.19,False,,,,,,NOT_AVAILABLE,,,355.96,343.56,3.5,≥1.5x 50-day average,WATCHING,,,40.3,14345.0,97.96,100.42,86.45,91.13,-5.9,-8.2,6.6,1.1,2_CLOSES_BELOW,BELOW,ABOVE,REDUCE_50_TO_100_PCT,REDUCE_50_TO_100_PCT,Trend weakening — EMA21 broken,,329.26,False,,,,
CRK,2026-04-06,19.35,3,11.0,AVOID,658.9,646.8,True,UPTREND,,-610.5,35.2,17.8,,,True,False,True,OK,Oil & Gas E&P,Energy,,,,-12.4,-4.4,14.1,-22.7,0.0294,0.0519,False,False,False,21.48,19.35,True,-9.9,-37.9,32.1,True,31.17,14.65,Unclear,43.0,-49.6,30.5,2025-06-16,15.36,2025-08-18,True,"[49.6, 37.9, 21.9]",True,12530970.0,12657996.0,0.99,False,-13.2,False,0.0,,5.21,5.64,8.3,False,False,[],"[{'date': '2026-03-27', 'close_position_pct': 98.9}]",[],UPSIDE_REVERSAL,19.2,30.5,False,23.44,19.2,18.1,UPSIDE_REVERSAL,2026-03-27,WATCHING,117.9,2764.0,30.65,29.59,3.5,≥1.5x 50-day average,WATCHING,,,471.7,14458.0,20.64,20.8,20.86,19.2,-6.2,-7.0,-7.2,0.8,2_CLOSES_BELOW,BELOW,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,21.68,28.35,False,,,,
CSTM,2026-04-06,27.83,5,11.0,NOT_READY,658.9,646.8,True,UPTREND,,1140.0,40.5,3.2,,,False,True,True,OK,Aluminum,Basic Materials,,,,22.1,31.5,82.5,155.6,0.0422,0.0422,True,True,True,20.1,27.83,True,38.5,-0.9,279.7,True,28.08,7.33,Unclear,1.0,0.0,27.83,2026-04-06,27.83,2026-04-06,True,"[None, None, None]",False,,,,False,,False,0.0,,4.27,5.01,17.3,False,False,[],"[{'date': '2026-03-25', 'close_position_pct': 70.2}, {'date': '2026-04-06', 'close_position_pct': 82.5}]",[],UPSIDE_REVERSAL,,27.83,False,,,,,,NOT_AVAILABLE,,,27.97,27.0,3.5,≥1.5x 50-day average,WATCHING,,,515.5,14419.0,25.72,25.18,24.69,,8.2,10.5,12.7,,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,,25.87,False,,,,
CTRA,2026-04-06,34.67,5,11.0,NOT_READY,658.9,646.8,True,UPTREND,,27.5,40.4,24.6,,20.6,True,True,True,OK,Oil & Gas E&P,Energy,,,,22.1,31.5,82.5,155.6,0.0422,0.0422,True,False,True,20.1,27.83,True,38.5,-24.5,28.2,False,36.88,21.72,Unclear,1.0,0.0,27.83,2026-04-06,27.83,2026-04-06,True,"[None, None, None]",False,,,,False,,False,0.0,2026-04-06,3.25,3.07,-5.5,False,False,"[{'date': '2026-03-25', 'vol_ratio': 0.48}, {'date': '2026-04-06', 'vol_ratio': 0.5}]",[],[],INSIDE_BAR,,27.83,True,,,,,,NOT_AVAILABLE,,,27.97,27.0,3.5,≥1.5x 50-day average,TRIGGERED_STRONG_VOL,2026-01-29,2.05,515.5,14419.0,34.62,33.72,31.39,,0.1,2.8,10.4,,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,,25.87,False,13.1,0.22,82.5,
CTRE,2026-04-06,37.41,6,11.0,NOT_READY,658.9,646.8,True,UPTREND,,72.4,72.8,67.3,,5.0,True,True,True,OK,REIT - Healthcare Facilities,Real Estate,,,,0.2,42.2,54.9,9.6,0.0526,0.0573,False,False,True,27.56,34.67,True,25.8,-16.0,39.8,True,41.28,24.79,Unclear,3.0,-4.8,36.31,2026-03-23,34.56,2026-03-30,True,"[None, None, None]",False,5623599.0,35193400.0,0.16,False,,False,0.0,,2.28,2.63,15.4,False,False,"[{'date': '2026-04-06', 'vol_ratio': 0.51}]",[],[],INSIDE_BAR,37.28,36.31,True,38.38,37.28,2.9,INSIDE_BAR,2026-04-06,WATCHING,454.5,17444.0,36.49,35.22,3.5,≥1.5x 50-day average,TRIGGERED_WEAK_VOL,2025-11-25,0.96,393.7,14366.0,37.4,37.83,38.36,37.28,0.0,-1.1,-2.5,0.3,ABOVE,BELOW,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,35.5,33.75,False,8.6,0.11,63.0,
CURB,2026-04-06,26.09,6,11.0,NOT_READY,658.9,646.8,True,UPTREND,,-18.2,55.1,21.8,74.9,-10.2,True,False,True,OK,REIT - Retail,Real Estate,Low-margin business: gross margin used instead of net margin,,,1.1,11.9,12.8,-8.5,0.0396,0.0433,False,False,True,24.14,26.09,True,8.1,-8.3,28.4,False,28.46,20.32,Flat Base,7.0,-8.3,27.63,2026-02-23,25.34,2026-03-16,True,"[1.5, 3.8, 2.3]",False,2852950.0,3251829.0,0.88,False,-39.1,True,0.0,2026-03-27,2.34,2.16,-7.7,False,False,"[{'date': '2026-03-25', 'vol_ratio': 0.57}, {'date': '2026-03-26', 'vol_ratio': 0.55}]",[],[],INSIDE_BAR,25.95,27.63,False,,,,,,NOT_AVAILABLE,,,27.77,26.8,3.5,≥1.5x 50-day average,WATCHING,,,515.5,14315.0,25.97,26.12,26.02,25.95,0.5,-0.1,0.3,0.5,ABOVE,BELOW,ABOVE,REDUCE_50_TO_100_PCT,REDUCE_50_TO_100_PCT,Trend weakening — EMA21 broken,,25.69,False,,,,
CVNA,2026-04-06,316.85,8,11.0,DEVELOPING,658.9,646.8,True,UPTREND,,653.6,58.0,6.9,,946.7,False,True,True,OK,Auto & Truck Dealerships,Consumer Cyclical,,,,1.1,11.9,12.8,-8.5,0.0396,0.0433,False,False,True,24.14,26.09,True,8.1,-94.6,-82.4,False,486.89,148.25,Flat Base,7.0,-8.3,27.63,2026-02-23,25.34,2026-03-16,True,"[1.5, 3.8, 2.3]",False,2852950.0,3251829.0,0.88,False,-39.1,True,0.0,,6.89,5.88,-14.7,False,False,"[{'date': '2026-03-24', 'vol_ratio': 0.62}, {'date': '2026-04-02', 'vol_ratio': 0.48}, {'date': '2026-04-06', 'vol_ratio': 0.39}]","[{'date': '2026-03-24', 'close_position_pct': 74.0}, {'date': '2026-03-25', 'close_position_pct': 79.3}, {'date': '2026-03-26', 'close_position_pct': 83.3}, {'date': '2026-03-31', 'close_position_pct': 92.1}, {'date': '2026-04-02', 'close_position_pct': 74.0}]",[],INSIDE_BAR,315.47,27.63,True,318.61,315.47,1.0,INSIDE_BAR,2026-04-06,WATCHING,159.2,50723.0,27.77,26.8,3.5,≥1.5x 50-day average,TRIGGERED,2025-04-07,,515.5,14315.0,308.2,312.14,345.52,315.47,2.8,1.5,-8.3,0.4,ABOVE,ABOVE,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,294.71,25.69,False,-1.0,0.09,36.4,
CWAN,2026-04-06,23.96,6,11.0,NOT_READY,658.9,646.8,True,UPTREND,,-102.5,72.0,-5.3,,,False,False,True,OK,Software - Application,Technology,,,,0.3,3.3,33.8,-18.0,0.0364,0.0443,False,False,True,21.72,23.96,True,10.3,-4.4,52.3,True,25.07,15.73,Unclear,13.0,-4.6,24.27,2026-01-12,23.15,2026-02-09,True,"[1.7, 1.3, 3.3]",False,25787484.0,60434560.0,0.43,False,-67.7,True,4.0,2026-04-02,0.86,0.83,-3.5,False,True,"[{'date': '2026-03-30', 'vol_ratio': 0.37}, {'date': '2026-04-02', 'vol_ratio': 0.44}]",[],[],INSIDE_BAR,23.8,24.27,False,,,,,,NOT_AVAILABLE,,,24.39,23.54,3.5,≥1.5x 50-day average,WATCHING,,,588.2,14346.0,23.64,23.53,23.53,23.8,1.4,1.8,1.8,0.7,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,,22.56,False,,,,
CXW,2026-04-06,20.05,6,11.0,NOT_READY,658.9,646.8,True,UPTREND,,52.9,26.0,5.3,,42.4,False,True,True,OK,Security & Protection Services,Industrials,,,,1.1,4.9,11.9,-28.7,0.0304,0.0427,False,False,False,18.87,20.05,False,6.2,-14.8,27.4,False,23.54,15.74,Cup with Handle,50.0,-26.9,22.89,2025-04-28,16.74,2026-02-16,True,"[14.3, 21.3, 18.4]",False,4951988.0,4904687.0,1.01,True,6.4,False,0.0,2026-01-23,3.88,4.05,4.4,False,False,[],"[{'date': '2026-04-01', 'close_position_pct': 84.8}]",[],UPSIDE_REVERSAL,20.02,22.89,False,,,,,,NOT_AVAILABLE,,,23.0,22.2,3.5,≥1.5x 50-day average,WATCHING,,,625.0,14375.0,19.63,19.3,18.66,20.02,2.1,3.9,7.4,0.1,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,,21.28,False,,,,
CYD,2026-04-06,39.78,4,11.0,AVOID,658.9,646.8,True,UPTREND,,,,2.2,,109.1,False,False,False,OK,Auto Manufacturers,Consumer Cyclical,,,,1.1,4.9,11.9,-28.7,0.0304,0.0427,False,False,False,18.87,20.05,False,6.2,-64.5,62.1,True,56.55,12.37,Cup with Handle,50.0,-26.9,22.89,2025-04-28,16.74,2026-02-16,True,"[14.3, 21.3, 18.4]",False,4951988.0,4904687.0,1.01,True,6.4,False,0.0,,4.79,5.52,15.2,False,False,[],"[{'date': '2026-04-02', 'close_position_pct': 91.8}]",[],UPSIDE_REVERSAL,39.7,22.89,True,,,,,,NOT_AVAILABLE,,,23.0,22.2,3.5,≥1.5x 50-day average,TRIGGERED,2025-06-30,1.64,625.0,14375.0,39.35,40.7,45.13,39.7,1.1,-2.3,-11.9,0.2,ABOVE,BELOW,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,,21.28,False,10.1,0.15,11.1,
D,2026-04-06,62.22,8,11.0,DEVELOPING,658.9,646.8,True,UPTREND,,330.0,20.4,18.2,,365.5,True,True,True,OK,Utilities - Regulated Electric,Utilities,,,,2.9,7.7,5.2,-3.3,0.0944,0.0976,False,False,True,60.34,62.22,True,3.1,-6.9,35.4,True,66.86,45.94,Flat Base,9.0,-9.8,65.81,2026-02-09,59.38,2026-03-16,True,"[5.1, 6.1, 3.0]",False,20478233.0,23192561.0,0.88,False,-49.7,True,0.0,2026-04-06,2.05,1.96,-4.4,False,False,"[{'date': '2026-04-06', 'vol_ratio': 0.32}]",[],[],INSIDE_BAR,62.19,65.81,False,62.94,62.19,1.2,INSIDE_BAR,2026-04-06,WATCHING,671.1,42236.0,66.14,63.84,3.5,≥1.5x 50-day average,WATCHING,,,217.4,14379.0,61.8,61.86,62.17,62.19,0.7,0.6,0.1,0.0,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,58.21,61.18,False,,,,
DAR,2026-04-06,63.89,5,11.0,NOT_READY,658.9,646.8,True,UPTREND,,-44.4,20.6,,,,False,False,True,OK,,,,,,13.7,69.0,102.2,63.8,0.097,0.0986,True,True,True,42.14,63.89,True,51.6,-1.2,145.7,True,64.69,26.0,Unclear,2.0,-1.2,64.65,2026-03-30,63.89,2026-04-06,True,"[None, None, None]",False,,2075379.0,,False,,False,0.0,,3.43,3.4,-0.9,False,False,"[{'date': '2026-04-06', 'vol_ratio': 0.69}]","[{'date': '2026-04-01', 'close_position_pct': 89.7}]",[],INSIDE_BAR,62.96,64.65,False,64.41,62.96,2.3,INSIDE_BAR,2026-04-06,WATCHING,344.6,22196.0,64.97,62.71,3.5,≥1.5x 50-day average,WATCHING,,,221.2,14371.0,60.92,58.28,52.89,62.96,4.9,9.6,20.8,1.5,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,59.58,60.1,False,,,,
DBRG,2026-04-06,15.42,6,11.0,NOT_READY,658.9,646.8,True,UPTREND,,-325.0,-25.8,151.0,,,True,False,False,OK,Asset Management,Financial Services,,,,-1.3,5.2,25.6,53.9,0.0234,0.0242,False,False,True,13.62,15.42,True,13.2,-0.7,141.3,True,15.53,6.39,Unclear,7.0,-0.6,15.44,2026-02-23,15.34,2026-03-16,True,"[0.3, 0.1, 0.4]",False,11769850.0,11669376.0,1.01,True,-34.9,True,5.0,2026-03-13,0.36,0.33,-8.3,False,True,"[{'date': '2026-03-25', 'vol_ratio': 0.63}, {'date': '2026-03-26', 'vol_ratio': 0.56}]",[],[],INSIDE_BAR,15.42,15.44,False,,,,,,NOT_AVAILABLE,,,15.52,14.98,3.5,≥1.5x 50-day average,WATCHING,,,925.9,14370.0,15.41,15.39,15.39,15.42,0.1,0.2,0.2,0.0,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,,14.36,False,,,,
DEC,2026-04-06,17.25,4,11.0,AVOID,658.9,646.8,True,UPTREND,,,,21.2,,,True,False,False,OK,Oil & Gas Integrated,Energy,,,,4.5,48.1,42.9,25.6,0.0262,0.0286,False,False,True,13.96,17.25,True,23.6,-8.7,85.4,True,18.9,9.31,Unclear,3.0,-5.9,18.16,2026-03-23,17.09,2026-03-30,True,"[None, None, None]",False,464074.0,5734700.0,0.08,False,,False,0.0,,3.39,3.82,12.7,False,False,"[{'date': '2026-04-06', 'vol_ratio': 0.42}]","[{'date': '2026-03-25', 'close_position_pct': 97.5}, {'date': '2026-04-06', 'close_position_pct': 74.3}]",[],INSIDE_BAR,16.91,18.16,False,17.37,16.91,2.6,INSIDE_BAR,2026-04-06,WATCHING,1093.4,18989.0,18.25,17.62,3.5,≥1.5x 50-day average,WATCHING,,,793.7,14485.0,16.99,16.2,14.35,16.91,1.5,6.5,20.2,2.0,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,16.06,16.88,False,,,,
DELL,2026-04-06,173.18,6,11.0,NOT_READY,658.9,646.8,True,UPTREND,,56.7,39.5,,,,False,True,True,OK,,,,,,7.8,51.1,17.0,64.3,0.2628,0.271,False,False,True,138.46,173.18,True,25.1,-7.1,166.3,True,186.39,65.04,Unclear,2.0,-0.7,174.37,2026-03-30,173.18,2026-04-06,True,"[None, None, None]",False,,3894054.0,,False,,False,0.0,,4.05,4.9,21.0,False,False,[],"[{'date': '2026-04-01', 'close_position_pct': 70.3}]",[],UPSIDE_REVERSAL,166.5,174.37,False,171.33,166.5,2.8,UPSIDE_REVERSAL,2026-04-01,TRIGGERED,103.5,17733.0,175.24,169.14,3.5,≥1.5x 50-day average,WATCHING,,,82.0,14370.0,168.78,161.14,139.37,166.5,2.6,7.5,24.3,4.0,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,158.48,162.1,False,,,,
DKS,2026-04-06,199.66,2,11.0,AVOID,658.9,646.8,True,UPTREND,,-80.3,59.9,4.9,34.2,-61.0,True,False,True,OK,Specialty Retail,Consumer Cyclical,Low-margin business: gross margin used instead of net margin,,,3.8,-2.3,-11.5,-12.9,0.303,0.3496,False,False,False,208.43,199.66,False,-4.2,-14.8,22.9,False,234.45,162.42,Cup with Handle,19.0,-18.0,229.42,2025-12-01,188.13,2026-03-23,True,"[13.3, 6.5, 7.0]",False,4897563.0,5879092.0,0.83,False,-15.1,False,0.0,2026-01-23,3.4,3.57,5.0,False,False,[],[],[],,199.45,229.42,False,,,,,,NOT_AVAILABLE,,,230.57,222.54,3.5,≥1.5x 50-day average,WATCHING,,,62.3,14365.0,193.69,194.3,198.94,199.45,3.1,2.8,0.4,0.1,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,,213.28,False,,,,
DNOW,2026-04-06,12.18,3,11.0,AVOID,658.9,646.8,True,UPTREND,,-552.4,68.0,-3.2,,,False,False,True,OK,Industrial Distribution,Industrials,,,,3.5,-11.1,-13.3,-39.4,0.0185,0.0305,False,False,False,13.79,12.18,False,-11.7,-29.4,11.4,False,17.26,10.94,Cup with Handle,10.0,-32.0,16.76,2026-02-02,11.39,2026-03-09,True,"[21.1, 3.3, 5.7]",False,12369629.0,18220983.0,0.68,False,-33.2,True,0.0,,3.98,4.09,2.8,False,False,[],[],[],,12.06,16.76,False,,,,,,NOT_AVAILABLE,,,16.84,16.26,3.4,≥1.5x 50-day average,WATCHING,,,862.1,14518.0,11.95,12.07,13.36,12.06,1.9,0.9,-8.8,1.0,ABOVE,ABOVE,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,,15.58,False,,,,
DRD,2026-04-06,30.58,6,11.0,NOT_READY,658.9,646.8,True,UPTREND,,,,35.1,,97.9,True,False,False,OK,Gold,Basic Materials,,,,14.8,-10.8,8.5,47.4,0.0464,0.0563,False,False,True,30.28,30.58,True,1.0,-21.6,142.2,True,38.99,12.63,Cup with Handle,7.0,-32.2,38.53,2026-02-23,26.14,2026-03-16,True,"[15.3, 12.5, 10.0]",True,1544000.0,1493834.0,1.03,True,-14.5,False,0.0,,4.65,4.24,-8.8,False,False,"[{'date': '2026-04-06', 'vol_ratio': 0.41}]","[{'date': '2026-03-23', 'close_position_pct': 81.4}, {'date': '2026-03-24', 'close_position_pct': 99.1}, {'date': '2026-03-31', 'close_position_pct': 93.9}]",[],INSIDE_BAR,30.46,38.53,False,31.08,30.46,2.0,INSIDE_BAR,2026-04-06,WATCHING,801.3,24908.0,38.72,37.37,3.5,≥1.5x 50-day average,WATCHING,,,370.4,14342.0,29.52,30.06,32.66,30.46,3.6,1.7,-6.4,0.4,ABOVE,ABOVE,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,28.75,35.82,False,,,,
DTE,2026-04-06,147.67,6,11.0,NOT_READY,658.9,646.8,True,UPTREND,,,28.9,9.2,,25.5,True,False,True,OK,Utilities - Regulated Electric,Utilities,,,,3.2,15.0,6.1,-9.7,0.2241,0.2483,False,False,True,137.03,147.67,True,7.8,-3.8,23.4,False,153.43,119.68,Flat Base,6.0,-5.7,148.96,2026-03-02,140.47,2026-03-16,True,"[0.4, 2.8, 0.2]",False,4377450.0,4519283.0,0.97,False,-52.4,True,0.0,2026-04-01,2.04,1.64,-19.6,False,False,[],"[{'date': '2026-03-31', 'close_position_pct': 77.7}]",[],UPSIDE_REVERSAL,147.47,148.96,False,,,,,,NOT_AVAILABLE,,,149.7,144.49,3.5,≥1.5x 50-day average,WATCHING,,,96.0,14371.0,146.31,145.67,142.59,147.47,0.9,1.4,3.6,0.1,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,,138.47,False,,,,
DTM,2026-04-06,133.35,8,11.0,DEVELOPING,658.9,646.8,True,UPTREND,,,27.3,35.5,,47.1,True,False,True,OK,Oil & Gas Midstream,Energy,,,,-0.1,16.6,24.3,11.8,0.2024,0.2136,False,False,True,121.48,133.35,True,9.8,-6.6,64.7,True,142.75,80.95,Flat Base,6.0,-6.8,140.64,2026-03-02,131.09,2026-03-16,True,"[2.8, 3.2, 0.5]",False,4603500.0,3172473.0,1.45,True,-39.2,True,0.0,,2.22,2.37,6.8,False,False,[],"[{'date': '2026-03-26', 'close_position_pct': 79.7}]",[],UPSIDE_REVERSAL,133.29,140.64,False,137.59,133.29,3.1,UPSIDE_REVERSAL,2026-03-26,WATCHING,116.3,16002.0,141.34,136.42,3.5,≥1.5x 50-day average,WATCHING,,,101.6,14360.0,134.87,135.27,133.19,133.29,-1.1,-1.4,0.1,0.0,2_CLOSES_BELOW,BELOW,ABOVE,REDUCE_50_TO_100_PCT,REDUCE_50_TO_100_PCT,Trend weakening — EMA21 broken,127.27,130.74,False,,,,
DX,2026-04-06,12.9,3,11.0,AVOID,658.9,646.8,True,UPTREND,,93.3,234.8,85.7,,92.3,True,True,True,OK,REIT - Mortgage,Real Estate,,,,3.6,-4.3,4.2,2.4,0.0196,0.0205,False,False,False,12.9,12.9,True,-0.0,-11.3,40.2,True,14.55,9.2,Flat Base,13.0,-14.9,14.11,2026-01-12,12.0,2026-03-23,True,"[4.1, 3.7, 7.0]",False,20090874.0,33644638.0,0.6,False,-11.0,False,0.0,,1.86,2.32,24.7,False,False,[],[],[],,12.85,14.11,False,,,,,,NOT_AVAILABLE,,,14.18,13.69,3.5,≥1.5x 50-day average,WATCHING,,,1020.4,14469.0,12.71,12.84,13.36,12.85,1.5,0.5,-3.4,0.4,ABOVE,ABOVE,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,,13.12,False,,,,
