ticker,analysis_date,current_price,score,max_score,quality,market_context.spy_price,market_context.spy_50w_sma,market_context.spy_above_50w,market_context.market_state,market_context.warning,fundamentals.eps_growth_yoy,fundamentals.rev_growth_yoy,fundamentals.net_margin_pct,fundamentals.gross_margin_pct,fundamentals.eps_5yr_cagr,fundamentals.margin_pass,fundamentals.eps_pass,fundamentals.rev_pass,fundamentals.data_quality,fundamentals.industry,fundamentals.sector,fundamentals.margin_note,fundamentals.distortion_note,fundamentals.error_detail,relative_strength.rs_4w,relative_strength.rs_13w,relative_strength.rs_26w,relative_strength.rs_52w,relative_strength.rs_line_current,relative_strength.rs_52w_high,relative_strength.rs_at_52w_high,relative_strength.leading_rs,stage2.confirmed,stage2.sma30w,stage2.current_price,stage2.sma30w_rising,stage2.pct_above_30w_sma,stage2.pct_from_52w_high,stage2.pct_above_52w_low,stage2.prior_uptrend,stage2.high_52w,stage2.low_52w,base.pattern,base.length_weeks,base.depth_pct,base.base_high,base.base_high_date,base.base_low,base.base_low_date,base.pass_depth,base.vcp_swings,base.vcp_contracting,volume.avg_vol_up_weeks,volume.avg_vol_down_weeks,volume.accumulation_ratio,volume.accumulation_pass,volume.vol_dry_pct,volume.vol_dry_pass,tightness.tight_area_count,tightness.last_tight_date,tightness.first_30d_avg_range_pct,tightness.last_30d_avg_range_pct,tightness.volatility_contraction_pct,tightness.volatility_contracting,tightness.tight_area_pass,priming.inside_bars,priming.upside_reversals,priming.tight_setup_days,priming.best_signal,support.primary_support,entry.pivot_price,entry.already_broken_out,entry.entry1.trigger,entry.entry1.stop,entry.entry1.risk_pct,entry.entry1.signal_type,entry.entry1.signal_date,entry.entry1.status,entry.entry1.sizing_per_500_risk.shares,entry.entry1.sizing_per_500_risk.position_value,entry.entry2.trigger,entry.entry2.stop,entry.entry2.risk_pct,entry.entry2.vol_required,entry.entry2.status,entry.entry2.breakout_date,entry.entry2.breakout_vol_ratio,entry.entry2.sizing_per_500_risk.shares,entry.entry2.sizing_per_500_risk.position_value,entry.stop_levels.ema10,entry.stop_levels.ema21,entry.stop_levels.sma50,entry.stop_levels.primary_support,entry.stop_levels.ema10_dist_pct,entry.stop_levels.ema21_dist_pct,entry.stop_levels.sma50_dist_pct,entry.stop_levels.support_dist_pct,entry.stop_levels.ema10_state,entry.stop_levels.ema21_state,entry.stop_levels.sma50_state,entry.stop_levels.recommendation_if_in_entry1,entry.stop_levels.recommendation_if_in_entry2,entry.stop_levels.recommendation_reason,entry.stop_levels.hard_stop_from_e1,entry.stop_levels.hard_stop_from_e2,climax.climax_warning,climax.gain_5w_pct,climax.vol_surge_ratio,climax.close_position_pct,error
AL,2026-04-06,64.98,4,11.0,AVOID,658.9,646.8,True,UPTREND,,81.9,15.1,36.1,,80.9,True,True,False,OK,Rental & Leasing Services,Industrials,,,,-5.7,-14.2,13.8,35.3,0.4057,0.485,False,False,False,275.37,267.31,True,-2.9,311.3,608.8,True,64.99,37.71,Cup with Handle,9.0,-19.5,329.78,2026-02-09,265.51,2026-03-30,True,"[12.8, 4.8, 1.3]",True,1472715.0,1787820.0,0.82,False,-36.8,True,0.0,2026-04-06,0.15,0.2,33.3,False,False,[],[],[],,64.96,329.78,False,,,,,,NOT_AVAILABLE,,,331.43,319.89,3.5,≥1.5x 50-day average,WATCHING,,,43.3,14351.0,64.85,64.76,64.58,64.96,0.2,0.3,0.6,0.0,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,,306.57,False,,,,
AMCR,2026-04-06,39.81,6,11.0,NOT_READY,658.9,646.8,True,UPTREND,,-32.7,68.1,3.0,,-32.1,False,False,True,OK,Packaging & Containers,Consumer Cyclical,,,,-5.7,-14.2,13.8,35.3,0.4057,0.485,False,False,False,275.37,267.31,True,-2.9,431.6,606.2,True,50.28,37.85,Cup with Handle,9.0,-19.5,329.78,2026-02-09,265.51,2026-03-30,True,"[12.8, 4.8, 1.3]",True,1472715.0,1787820.0,0.82,False,-36.8,True,0.0,2026-04-06,2.73,2.6,-4.8,False,False,"[{'date': '2026-03-26', 'vol_ratio': 0.56}, {'date': '2026-04-06', 'vol_ratio': 0.36}]","[{'date': '2026-03-31', 'close_position_pct': 98.2}]",[],INSIDE_BAR,39.73,329.78,False,39.94,39.73,0.5,INSIDE_BAR,2026-04-06,WATCHING,2381.0,95097.0,331.43,319.89,3.5,≥1.5x 50-day average,WATCHING,,,43.3,14351.0,39.84,40.84,44.13,39.73,-0.1,-2.5,-9.8,0.2,1_CLOSE_BELOW,BELOW,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,36.94,306.57,False,,,,
AMG,2026-04-06,267.31,6,11.0,NOT_READY,658.9,646.8,True,UPTREND,,127.8,6.2,34.5,,122.1,True,True,False,OK,Asset Management,Financial Services,,,,-5.7,-14.2,13.8,35.3,0.4057,0.485,False,False,False,275.37,267.31,True,-2.9,-20.2,92.0,True,334.77,139.2,Cup with Handle,9.0,-19.5,329.78,2026-02-09,265.51,2026-03-30,True,"[12.8, 4.8, 1.3]",True,1472715.0,1787820.0,0.82,False,-36.8,True,0.0,,3.55,3.61,1.7,False,False,"[{'date': '2026-03-30', 'vol_ratio': 0.74}, {'date': '2026-04-06', 'vol_ratio': 0.62}]","[{'date': '2026-03-26', 'close_position_pct': 87.1}]",[],INSIDE_BAR,267.23,329.78,False,269.66,267.23,0.9,INSIDE_BAR,2026-04-06,WATCHING,205.8,55496.0,331.43,319.89,3.5,≥1.5x 50-day average,WATCHING,,,43.3,14351.0,272.45,278.4,295.97,267.23,-1.9,-4.0,-9.7,0.0,2_CLOSES_BELOW,BELOW,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,249.44,306.57,False,,,,
AMPX,2026-04-06,17.56,5,11.0,NOT_READY,658.9,646.8,True,UPTREND,,,140.6,-60.3,,,False,False,True,OK,Electrical Equipment & Parts,Industrials,,,,-5.7,-14.2,13.8,35.3,0.4057,0.485,False,False,False,275.37,267.31,True,-2.9,1252.8,13469.0,True,19.76,1.97,Cup with Handle,9.0,-19.5,329.78,2026-02-09,265.51,2026-03-30,True,"[12.8, 4.8, 1.3]",True,1472715.0,1787820.0,0.82,False,-36.8,True,0.0,,10.02,8.92,-11.0,False,False,[],"[{'date': '2026-03-31', 'close_position_pct': 94.0}, {'date': '2026-04-02', 'close_position_pct': 71.9}]",[],UPSIDE_REVERSAL,17.41,329.78,False,,,,,,NOT_AVAILABLE,,,331.43,319.89,3.5,≥1.5x 50-day average,WATCHING,,,43.3,14351.0,16.75,16.42,14.08,17.41,4.8,6.9,24.7,0.9,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,,306.57,False,,,,
ANET,2026-04-06,126.25,4,11.0,AVOID,658.9,646.8,True,UPTREND,,21.0,28.9,39.0,,19.1,True,False,True,OK,Computer Hardware,Technology,,,,2.1,3.1,-0.8,-31.2,0.0604,0.0878,False,False,False,,,False,,,,False,,,Cup with Handle,8.0,-23.2,49.84,2026-02-16,38.28,"['2026-03-16', '2026-03-30']",True,"[4.1, 11.6, 3.3]",False,,,,False,,False,0.0,,4.48,4.16,-7.1,False,False,"[{'date': '2026-03-25', 'vol_ratio': 0.66}]","[{'date': '2026-03-25', 'close_position_pct': 98.2}, {'date': '2026-03-31', 'close_position_pct': 88.7}, {'date': '2026-04-02', 'close_position_pct': 93.0}]",[],INSIDE_BAR,125.17,49.84,True,135.08,125.17,7.3,INSIDE_BAR,2026-03-25,WATCHING,50.5,6822.0,50.09,48.34,3.5,≥1.5x 50-day average,TRIGGERED,2025-04-07,,285.7,14311.0,126.35,129.04,134.52,125.17,-0.1,-2.2,-6.1,0.9,1_CLOSE_BELOW,BELOW,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,124.95,46.33,False,,,,
APH,2026-04-06,126.49,6,11.0,NOT_READY,658.9,646.8,True,UPTREND,,57.6,49.1,18.5,,57.6,True,True,True,OK,Electronic Components,Technology,,,,-1.8,-14.1,1.3,54.6,0.192,0.2234,False,False,False,134.82,126.49,True,-6.2,-24.1,125.7,True,166.71,56.05,Cup with Handle,13.0,-19.9,154.09,2026-01-12,123.38,2026-03-23,True,"[11.8, 12.7, 7.7]",False,36648975.0,51483276.0,0.71,False,-27.0,True,0.0,,4.42,4.23,-4.3,False,False,"[{'date': '2026-04-06', 'vol_ratio': 0.35}]","[{'date': '2026-03-31', 'close_position_pct': 97.1}]",[],INSIDE_BAR,126.22,154.09,False,128.48,126.22,1.8,INSIDE_BAR,2026-04-06,WATCHING,221.7,28483.0,154.86,149.47,3.5,≥1.5x 50-day average,WATCHING,,,92.8,14371.0,126.92,129.77,138.24,126.22,-0.3,-2.5,-8.5,0.2,1_CLOSE_BELOW,BELOW,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,118.84,143.25,False,,,,
APO,2026-04-06,106.11,6,11.0,NOT_READY,658.9,646.8,True,UPTREND,,115.5,86.7,11.0,,-57.3,True,True,True,OK,Asset Management,Financial Services,,,,-1.8,-14.1,1.3,54.6,0.192,0.2234,False,False,False,134.82,126.49,True,-6.2,-18.6,27.0,False,155.46,99.56,Cup with Handle,13.0,-19.9,154.09,2026-01-12,123.38,2026-03-23,True,"[11.8, 12.7, 7.7]",False,36648975.0,51483276.0,0.71,False,-27.0,True,0.0,,3.56,4.37,22.8,False,False,"[{'date': '2026-04-06', 'vol_ratio': 0.48}]","[{'date': '2026-03-24', 'close_position_pct': 97.0}]",[],INSIDE_BAR,105.51,154.09,False,107.12,105.51,1.5,INSIDE_BAR,2026-04-06,WATCHING,310.6,33271.0,154.86,149.47,3.5,≥1.5x 50-day average,WATCHING,,,92.8,14371.0,108.84,110.12,117.05,105.51,-2.5,-3.6,-9.3,0.6,2_CLOSES_BELOW,BELOW,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,99.09,143.25,False,,,,
AR,2026-04-06,40.36,3,11.0,AVOID,658.9,646.8,True,UPTREND,,29.2,11.7,12.3,,29.9,True,True,False,OK,Oil & Gas E&P,Energy,,,,-1.8,-14.1,1.3,54.6,0.192,0.2234,False,False,False,134.82,126.49,True,-6.2,176.5,334.7,True,45.75,29.1,Cup with Handle,13.0,-19.9,154.09,2026-01-12,123.38,2026-03-23,True,"[11.8, 12.7, 7.7]",False,36648975.0,51483276.0,0.71,False,-27.0,True,0.0,,3.95,3.83,-3.0,False,False,[],[],[],,40.24,154.09,False,,,,,,NOT_AVAILABLE,,,154.86,149.47,3.5,≥1.5x 50-day average,WATCHING,,,92.8,14371.0,41.94,41.2,37.79,40.24,-3.8,-2.0,6.8,0.3,2_CLOSES_BELOW,BELOW,ABOVE,REDUCE_50_TO_100_PCT,REDUCE_50_TO_100_PCT,Trend weakening — EMA21 broken,,143.25,False,,,,
ARES,2026-04-06,102.83,4,11.0,AVOID,658.9,646.8,True,UPTREND,,-88.9,19.5,9.4,,-81.4,True,False,False,OK,Asset Management,Financial Services,,,,-1.8,-14.1,1.3,54.6,0.192,0.2234,False,False,False,134.82,126.49,True,-6.2,-33.5,33.8,True,190.2,94.51,Cup with Handle,13.0,-19.9,154.09,2026-01-12,123.38,2026-03-23,True,"[11.8, 12.7, 7.7]",False,36648975.0,51483276.0,0.71,False,-27.0,True,0.0,2026-01-09,4.28,5.0,16.8,False,False,"[{'date': '2026-03-26', 'vol_ratio': 0.54}, {'date': '2026-04-06', 'vol_ratio': 0.5}]",[],[],INSIDE_BAR,102.23,154.09,False,104.55,102.23,2.2,INSIDE_BAR,2026-04-06,WATCHING,215.5,22531.0,154.86,149.47,3.5,≥1.5x 50-day average,WATCHING,,,92.8,14371.0,105.47,107.89,119.34,102.23,-2.5,-4.7,-13.8,0.6,2_CLOSES_BELOW,BELOW,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,96.71,143.25,False,,,,
ARIS,2026-04-06,19.3,5,11.0,NOT_READY,658.9,646.8,True,UPTREND,,-2600.0,104.2,8.4,,121.7,True,False,True,DISTORTED,Gold,Basic Materials,,YoY EPS negative (-2600.0%) but 5yr CAGR is 121.7% — likely distorted by one-off items. Use 5yr CAGR as primary signal.,,-1.8,-14.1,1.3,54.6,0.192,0.2234,False,False,False,134.82,126.49,True,-6.2,443.1,2897.4,True,23.29,4.22,Cup with Handle,13.0,-19.9,154.09,2026-01-12,123.38,2026-03-23,True,"[11.8, 12.7, 7.7]",False,36648975.0,51483276.0,0.71,False,-27.0,True,0.0,,5.79,5.83,0.7,False,False,"[{'date': '2026-04-06', 'vol_ratio': 0.3}]","[{'date': '2026-03-24', 'close_position_pct': 82.0}, {'date': '2026-04-02', 'close_position_pct': 71.9}]",[],INSIDE_BAR,19.22,154.09,False,19.6,19.22,2.0,INSIDE_BAR,2026-04-06,WATCHING,1298.7,25461.0,154.86,149.47,3.5,≥1.5x 50-day average,WATCHING,,,92.8,14371.0,18.4,18.47,19.29,19.22,4.9,4.5,0.1,0.4,ABOVE,ABOVE,ABOVE,HOLD,HOLD,Trend is healthy,18.13,143.25,False,,,,
