,stock,range_length_days,price_mode,expansion_move_pct,expansion_closing_range,buy_date,sell_type,sell_date,stage,return_pct,days_held,buy_price,sell_price,peak_return_pct,days_to_peak,stock_stage_weeks_elapsed,stage_iteration,sector_etf,sector_stage_segment,sector_stage_weeks_elapsed,industry_etf,industry_stage_segment,industry_stage_weeks_elapsed
0,NET,4,high_low,1.51,73.0,2021-09-02,stop_loss,2021-09-13,2,-4.0,6,128.0,122.88,2.56,2,46,1,XLK,2,27,IGV,3,27
1,NET,3,high_low,3.86,73.1,2023-09-28,stop_loss,2023-10-03,1,-1.27,3,59.81,59.05,5.48,0,38,3,XLK,1,38,IGV,3,1
2,NET,3,high_low,1.69,95.8,2024-01-09,weakness,2024-01-17,1,-1.96,5,78.95,77.4,3.39,0,53,3,XLK,2,4,IGV,2,6
3,NET,3,high_low,3.9,99.2,2024-10-07,stop_loss,2024-10-08,1,-4.41,1,83.15,79.48,12.81,6,91,3,XLK,3,9,IGV,3,18
4,NET,4,high_low,4.26,96.1,2024-11-07,stop_loss,2024-11-08,1,-6.79,1,94.89,88.45,0.81,0,96,3,XLK,3,14,IGV,2,0
5,NET,3,high_low,9.59,95.1,2025-11-03,stop_loss,2025-11-04,2,-5.75,1,254.91,240.25,0.0,0,39,2,XLK,3,65,IGV,4,32
6,DDOG,3,high_low,2.25,82.2,2020-08-21,stop_loss,2020-08-24,2,-4.0,1,85.52,82.1,0.89,3,27,1,XLK,0,48,XSW,2,29
7,DDOG,3,high_low,5.87,97.8,2024-12-05,stop_loss,2024-12-10,4,-4.0,3,164.58,158.0,2.47,1,19,2,XLK,3,18,XSW,2,3
8,DDOG,4,high_low,3.36,85.5,2025-05-02,stop_loss,2025-05-05,4,-2.43,1,107.12,104.52,11.17,8,40,2,XLK,3,39,XSW,4,6
9,MDB,3,high_low,1.98,97.8,2020-06-23,stop_loss,2020-07-13,2,-4.0,13,219.6,210.82,7.74,11,3,3,XLK,3,17,IGV,2,3
