ticker,analysis_date,current_price,score,max_score,quality,market_context.spy_price,market_context.spy_50w_sma,market_context.spy_above_50w,market_context.market_state,market_context.warning,fundamentals.eps_growth_yoy,fundamentals.rev_growth_yoy,fundamentals.net_margin_pct,fundamentals.gross_margin_pct,fundamentals.eps_5yr_cagr,fundamentals.margin_pass,fundamentals.eps_pass,fundamentals.rev_pass,fundamentals.data_quality,fundamentals.industry,fundamentals.sector,fundamentals.margin_note,fundamentals.distortion_note,fundamentals.error_detail,relative_strength.rs_4w,relative_strength.rs_13w,relative_strength.rs_26w,relative_strength.rs_52w,relative_strength.rs_line_current,relative_strength.rs_52w_high,relative_strength.rs_at_52w_high,relative_strength.leading_rs,stage2.confirmed,stage2.sma30w,stage2.current_price,stage2.sma30w_rising,stage2.pct_above_30w_sma,stage2.pct_from_52w_high,stage2.pct_above_52w_low,stage2.prior_uptrend,stage2.high_52w,stage2.low_52w,base.pattern,base.length_weeks,base.depth_pct,base.base_high,base.base_high_date,base.base_low,base.base_low_date,base.pass_depth,base.vcp_swings,base.vcp_contracting,volume.avg_vol_up_weeks,volume.avg_vol_down_weeks,volume.accumulation_ratio,volume.accumulation_pass,volume.vol_dry_pct,volume.vol_dry_pass,tightness.tight_area_count,tightness.last_tight_date,tightness.first_30d_avg_range_pct,tightness.last_30d_avg_range_pct,tightness.volatility_contraction_pct,tightness.volatility_contracting,tightness.tight_area_pass,priming.inside_bars,priming.upside_reversals,priming.tight_setup_days,priming.best_signal,support.primary_support,entry.pivot_price,entry.already_broken_out,entry.entry1.trigger,entry.entry1.stop,entry.entry1.risk_pct,entry.entry1.signal_type,entry.entry1.signal_date,entry.entry1.status,entry.entry1.sizing_per_500_risk.shares,entry.entry1.sizing_per_500_risk.position_value,entry.entry2.trigger,entry.entry2.stop,entry.entry2.risk_pct,entry.entry2.vol_required,entry.entry2.status,entry.entry2.breakout_date,entry.entry2.breakout_vol_ratio,entry.entry2.sizing_per_500_risk.shares,entry.entry2.sizing_per_500_risk.position_value,entry.stop_levels.ema10,entry.stop_levels.ema21,entry.stop_levels.sma50,entry.stop_levels.primary_support,entry.stop_levels.ema10_dist_pct,entry.stop_levels.ema21_dist_pct,entry.stop_levels.sma50_dist_pct,entry.stop_levels.support_dist_pct,entry.stop_levels.ema10_state,entry.stop_levels.ema21_state,entry.stop_levels.sma50_state,entry.stop_levels.recommendation_if_in_entry1,entry.stop_levels.recommendation_if_in_entry2,entry.stop_levels.recommendation_reason,entry.stop_levels.hard_stop_from_e1,entry.stop_levels.hard_stop_from_e2,climax.climax_warning,climax.gain_5w_pct,climax.vol_surge_ratio,climax.close_position_pct
NVDA,2026-03-17,181.93,5,11,NOT_READY,670.8,641.8,True,UPTREND,,97.8,73.2,55.6,,95.6,True,True,True,OK,Semiconductors,Technology,,,,,,,,,,False,False,False,183.11,181.93,True,-0.6,-14.3,110.1,True,212.17,86.6,Flat Base,21,-13.6,202.47,2025-10-27,175.01,['2025-12-08'],True,"[13.6, 5.3, 6.7]",False,,,,False,,False,0,2025-12-24,2.31,3.3,42.9,False,False,[],"[{'date': '2026-03-05', 'close_position_pct': 88.3}]",[],UPSIDE_REVERSAL,181.75,202.47,False,184.05,181.75,1.2,UPSIDE_REVERSAL,2026-03-05,WATCHING,217.4,40012.0,203.48,196.4,3.5,≥1.5x 50-day average,WATCHING,,,70.6,14366.0,182.91,183.82,185.25,181.75,-0.5,-1.0,-1.8,0.1,1_CLOSE_BELOW,BELOW,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,170.25,188.22,False,,,
AAPL,2026-03-17,254.23,3,11,AVOID,670.8,641.8,True,UPTREND,,18.3,15.7,27.0,,18.3,True,False,False,OK,Consumer Electronics,Technology,,,,,,,,,,False,False,False,259.99,254.23,True,-2.2,-11.8,50.9,True,288.35,168.48,Flat Base,17,-11.0,278.59,2025-11-24,247.81,['2026-01-19'],True,"[2.0, 10.8, 5.5]",False,,,,False,,False,1,2025-12-30,1.88,2.22,18.1,False,True,"[{'date': '2026-03-11', 'vol_ratio': 0.54}, {'date': '2026-03-16', 'vol_ratio': 0.66}]","[{'date': '2026-03-05', 'close_position_pct': 70.5}, {'date': '2026-03-06', 'close_position_pct': 70.2}]",[],INSIDE_BAR,254.18,278.59,False,,,,,,NOT_AVAILABLE,,,279.98,270.23,3.5,≥1.5x 50-day average,WATCHING,,,51.3,14363.0,257.24,260.37,261.87,254.18,-1.2,-2.4,-2.9,0.0,2_CLOSES_BELOW,BELOW,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,,258.98,False,,,
MSFT,2026-03-17,399.41,3,11,AVOID,670.8,641.8,True,UPTREND,,59.8,16.7,39.0,,59.8,True,True,False,OK,Software - Infrastructure,Technology,,,,,,,,,,False,False,False,469.82,399.41,False,-15.0,-27.7,16.7,False,552.24,342.17,Cup with Handle,22,-24.7,521.44,2025-10-20,392.74,['2026-02-23'],True,"[9.8, 5.7, 8.5]",False,,,,False,,False,1,2025-12-29,1.9,2.26,18.9,False,True,[],[],[],,398.74,521.44,False,,,,,,NOT_AVAILABLE,,,524.05,505.8,3.5,≥1.5x 50-day average,WATCHING,,,27.4,14359.0,401.66,404.93,425.59,398.74,-0.6,-1.4,-6.2,0.2,2_CLOSES_BELOW,BELOW,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,,484.75,False,,,
