ticker,analysis_date,current_price,score,max_score,quality,market_context.spy_price,market_context.spy_50w_sma,market_context.spy_above_50w,market_context.market_state,market_context.warning,fundamentals.eps_growth_yoy,fundamentals.rev_growth_yoy,fundamentals.net_margin_pct,fundamentals.gross_margin_pct,fundamentals.eps_5yr_cagr,fundamentals.margin_pass,fundamentals.eps_pass,fundamentals.rev_pass,fundamentals.data_quality,fundamentals.industry,fundamentals.sector,fundamentals.margin_note,fundamentals.distortion_note,fundamentals.error_detail,relative_strength.rs_4w,relative_strength.rs_13w,relative_strength.rs_26w,relative_strength.rs_52w,relative_strength.rs_line_current,relative_strength.rs_52w_high,relative_strength.rs_at_52w_high,relative_strength.leading_rs,stage2.confirmed,stage2.sma30w,stage2.current_price,stage2.sma30w_rising,stage2.pct_above_30w_sma,stage2.pct_from_52w_high,stage2.pct_above_52w_low,stage2.prior_uptrend,stage2.high_52w,stage2.low_52w,base.pattern,base.length_weeks,base.depth_pct,base.base_high,base.base_high_date,base.base_low,base.base_low_date,base.pass_depth,base.vcp_swings,base.vcp_contracting,volume.avg_vol_up_weeks,volume.avg_vol_down_weeks,volume.accumulation_ratio,volume.accumulation_pass,volume.vol_dry_pct,volume.vol_dry_pass,tightness.tight_area_count,tightness.last_tight_date,tightness.first_30d_avg_range_pct,tightness.last_30d_avg_range_pct,tightness.volatility_contraction_pct,tightness.volatility_contracting,tightness.tight_area_pass,priming.inside_bars,priming.upside_reversals,priming.tight_setup_days,priming.best_signal,support.primary_support,entry.pivot_price,entry.already_broken_out,entry.entry1.trigger,entry.entry1.stop,entry.entry1.risk_pct,entry.entry1.signal_type,entry.entry1.signal_date,entry.entry1.status,entry.entry1.sizing_per_500_risk.shares,entry.entry1.sizing_per_500_risk.position_value,entry.entry2.trigger,entry.entry2.stop,entry.entry2.risk_pct,entry.entry2.vol_required,entry.entry2.status,entry.entry2.breakout_date,entry.entry2.breakout_vol_ratio,entry.entry2.sizing_per_500_risk.shares,entry.entry2.sizing_per_500_risk.position_value,entry.stop_levels.ema10,entry.stop_levels.ema21,entry.stop_levels.sma50,entry.stop_levels.primary_support,entry.stop_levels.ema10_dist_pct,entry.stop_levels.ema21_dist_pct,entry.stop_levels.sma50_dist_pct,entry.stop_levels.support_dist_pct,entry.stop_levels.ema10_state,entry.stop_levels.ema21_state,entry.stop_levels.sma50_state,entry.stop_levels.recommendation_if_in_entry1,entry.stop_levels.recommendation_if_in_entry2,entry.stop_levels.recommendation_reason,entry.stop_levels.hard_stop_from_e1,entry.stop_levels.hard_stop_from_e2,climax.climax_warning,climax.gain_5w_pct,climax.vol_surge_ratio,climax.close_position_pct
AAPL,2026-03-17,254.23,4,11,AVOID,670.8,641.8,True,UPTREND,,18.3,15.7,27.0,,18.3,True,False,False,OK,Consumer Electronics,Technology,,,,-1.6,-4.2,-1.9,-3.8,0.379,0.4128,False,False,False,259.99,254.23,True,-2.2,-11.8,50.9,True,288.35,168.48,Flat Base,17,-11.0,278.59,2025-11-24,247.81,2026-01-19,True,"[2.0, 10.8, 5.5]",False,224112431.0,211060258.0,1.06,True,9.9,False,1,2025-12-30,1.88,2.22,18.1,False,True,"[{'date': '2026-03-11', 'vol_ratio': 0.54}, {'date': '2026-03-16', 'vol_ratio': 0.66}]","[{'date': '2026-03-05', 'close_position_pct': 70.5}, {'date': '2026-03-06', 'close_position_pct': 70.2}]",[],INSIDE_BAR,254.18,278.59,False,,,,,,NOT_AVAILABLE,,,279.98,270.23,3.5,≥1.5x 50-day average,WATCHING,,,51.3,14363.0,257.24,260.37,261.87,254.18,-1.2,-2.4,-2.9,0.0,2_CLOSES_BELOW,BELOW,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,,258.98,False,,,
WMT,2026-03-17,125.08,9,11,DEVELOPING,670.8,641.8,True,UPTREND,,-18.5,5.8,3.1,,-19.0,False,False,False,OK,Discount Stores,Consumer Defensive,,,,-0.0,15.2,19.5,21.5,0.1865,0.1964,False,False,True,112.54,125.08,True,11.1,-7.1,57.8,True,134.69,79.27,Flat Base,6,-8.1,133.89,2026-02-09,122.99,2026-02-16,True,"[8.1, 3.2, 1.1]",True,102152600.0,101999395.0,1.0,True,-37.1,True,1,2026-03-13,1.88,2.5,33.0,False,True,"[{'date': '2026-03-04', 'vol_ratio': 0.5}]","[{'date': '2026-03-09', 'close_position_pct': 91.5}]",[],INSIDE_BAR,124.97,133.89,False,128.17,124.97,2.5,INSIDE_BAR,2026-03-04,WATCHING,156.3,20033.0,134.56,129.87,3.5,≥1.5x 50-day average,WATCHING,,,106.6,14344.0,125.44,125.39,123.11,124.97,-0.3,-0.2,1.6,0.1,1_CLOSE_BELOW,BELOW,ABOVE,REDUCE_50_TO_100_PCT,REDUCE_50_TO_100_PCT,Trend weakening — EMA21 broken,118.56,124.47,False,,,
DECK,2026-03-17,104.71,3,11,AVOID,670.8,641.8,True,UPTREND,,11.0,7.1,19.3,,11.0,True,False,False,OK,Footwear & Accessories,Consumer Cyclical,,,,-8.7,4.5,-2.6,-22.9,0.1561,0.2171,False,False,True,103.1,104.71,True,1.6,-21.5,32.7,True,133.43,78.91,Unclear,45,-36.3,127.91,2025-05-12,81.5,2025-10-27,True,"[21.0, 32.3, 16.6]",False,15299225.0,17319320.0,0.88,False,-3.0,False,0,2025-12-31,3.34,3.15,-5.7,False,False,"[{'date': '2026-03-04', 'vol_ratio': 0.6}]","[{'date': '2026-03-09', 'close_position_pct': 95.2}]",[],INSIDE_BAR,104.7,127.91,False,110.41,104.7,5.2,INSIDE_BAR,2026-03-04,WATCHING,87.6,9672.0,128.55,124.07,3.5,≥1.5x 50-day average,WATCHING,,,111.6,14346.0,104.95,107.83,108.74,104.7,-0.2,-2.9,-3.7,0.0,2_CLOSES_BELOW,BELOW,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,102.13,118.91,False,,,
NVDA,2026-03-17,181.93,5,11,NOT_READY,670.8,641.8,True,UPTREND,,97.8,73.2,55.6,,95.6,True,True,True,OK,Semiconductors,Technology,,,,5.0,-1.7,0.4,36.3,0.2712,0.2977,False,False,False,183.11,181.93,True,-0.6,-14.3,110.1,True,212.17,86.6,Flat Base,21,-13.6,202.47,2025-10-27,175.01,2025-12-08,True,"[13.6, 5.3, 6.7]",False,784084628.0,950145433.0,0.83,False,-7.3,False,0,2025-12-24,2.31,3.3,42.9,False,False,[],"[{'date': '2026-03-05', 'close_position_pct': 88.3}]",[],UPSIDE_REVERSAL,181.75,202.47,False,184.05,181.75,1.2,UPSIDE_REVERSAL,2026-03-05,WATCHING,217.4,40012.0,203.48,196.4,3.5,≥1.5x 50-day average,WATCHING,,,70.6,14366.0,182.91,183.82,185.25,181.75,-0.5,-1.0,-1.8,0.1,1_CLOSE_BELOW,BELOW,BELOW,EXIT,EXIT,Thesis broken — below support or SMA50,170.25,188.22,False,,,
