stock,name,sector,industry,ticker,p/e,d/e_market,d/e,Sales Growth 5yr cagr,3-5yr Average ROA (%),3-5yr Average ROE (%),ROE,ROA,ROCE (3yr avg),NFAT,NFAT (3yr avg),NPM,DPR,Retention Ratio,Dep,SSGR,Av NPM (over 3 years),Au NFA/T (over 3 years),Av Dep%NFA (over 3 years),Au Retention ratio (over 3 years),Interest coverage,tax %,cPAT,CFO,cCFO,cCFO/cPAT,p/a,EY,Earnings Growth 5yr cagr,,PEG,no. shares (cr),Current Price,market cap,p/s,NFA + CWIP,Capex,Capex_from_cashflow_statement,FCF,FCF%,FCF_capex_from_cashflow,FCF%_capex_from_cashflow,DV,Mcap (cr),d/e decreasing trend 5 yrs,Sales cagr >15%,npm >8%,Tax payout >25%,Interest coverage >3,d/e <0.5,CFO >0,cCFO > PAT,p/e <10,peg <1,EY >7%,p/b <3,DV >3%,EY >7,sgr > Sales growth (very linear),FCF/CFO,Market Cap,Net Income,Total Revenue,Total Assets,Total Liabilities,Total Stockholders Equity,Total Debt,Cash and Cash Equivalents,Current Assets,Current Liabilities,Working Capital,Operating Cash Flow,Capital Expenditure,Dividends Paid,Depreciation & Amortization,Interest Expense,Income Tax Expense,Shares Outstanding,Net Fixed Assets,Construction in Progress,Net Debt,insidersPercentHeld,institutionsPercentHeld,institutionsFloatPercentHeld,institutionsCount,current,Normalized EBIT,Normalized Net Income,high,low,mean,median,Research Asset,R&D Amortization,Adjusted EBIT (R&D),Adjusted Book Equity (R&D),Adjusted D/E (R&D),Adjusted Invested Capital (R&D),Adjusted ROC (R&D),Adjusted ROE (R&D)
TIMETECHNO.NS,Time Technoplast Limited,Consumer Cyclical,Packaging & Containers,TIMETECHNO.NS,26.03,0.07,0.29,14.35,7.61,12.40,14.25,9.11,17.02,3.81,3.44,6.14,10.76,89.24,12.00,6.89,6.14,3.44,12.00,89.24,6.72,25.44,11054325000.00,4305200000.00,14977982000.00,1.35,9.43,3.69,27.19,,0.96,22.69,463.55,105192934241.60,1.89,15313300000.00,2503990000.00,1958300000.00,1801210000.00,46.43,2346900000.00,60.50,0.45,10519.29,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.42,105192931328.00,3879400000.00,54570400000.00,43987500000.00,14366000000.00,25527502000.00,7320200000.00,3597600000.00,28998600000.00,10819000000.00,18179600000.00,4305200000.00,1958300000.00,470300000.00,1696700000.00,915300000.00,1345800000.00,226928992.00,14519100000.00,794200000.00,3722600000.00,0.53,0.18,0.38,32.00,463.55,5167535666.67,3058058333.33,578.00,578.00,578.00,578.00,34715000.00,12848200.00,6205500000.00,25562217000.00,0.29,29284817000.00,15.80,15.18
TRU.NS,TruCap Finance Limited,Financial Services,Credit Services,TRU.NS,inf,4.21,2.46,39.07,-1.94,-8.74,-31.68,-7.31,-1.05,11.27,8.61,-7.60,5.99,94.01,62.59,-124.11,-7.60,8.61,62.59,94.01,-1.00,16.74,-436707000.00,2116161000.00,-3364305000.00,7.70,-6.43,-47.93,-1.00,,-1.00,11.89,10.40,1236164800.00,3.46,146596000.00,220821000.00,1987000.00,1895340000.00,-319.89,2114174000.00,-356.82,0.09,124.89,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.90,1248883968.00,-592500000.00,1965005000.00,6992271000.00,5370902000.00,2119081000.00,5204769000.00,-1.00,6047811000.00,21866000.00,6025945000.00,2116161000.00,1987000.00,1169000.00,276864000.00,-1.00,-119112000.00,118862000.00,146596000.00,0.00,-1.00,0.55,0.00,0.00,0.00,10.40,-78693333.33,-158851666.67,,,,,,,,,,,,
UTIAMC.NS,UTI Asset Management Company Limited,Financial Services,Asset Management,UTIAMC.NS,24.25,0.00,0.00,8.91,13.37,15.50,16.28,13.30,17.97,5.15,4.05,51.35,59.76,40.24,13.70,69.96,51.35,4.05,13.70,40.24,48.36,22.73,24688200000.00,5363500000.00,15939400000.00,0.65,13.70,4.23,10.84,,2.24,12.82,1349.40,172970140200.00,9.26,2852100000.00,529200000.00,698200000.00,4834300000.00,66.09,4665300000.00,63.78,3.46,17302.82,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.90,173028163584.00,7314900000.00,14453100000.00,56584100000.00,4980800000.00,43881700000.00,2411600000.00,452500000.00,26874600000.00,2569200000.00,24305400000.00,5363500000.00,698200000.00,5986600000.00,455400000.00,134700000.00,2392100000.00,128183000.00,2834800000.00,17300000.00,1959100000.00,0.35,0.51,0.78,55.00,1349.40,8867300000.00,6448433333.33,1650.00,965.00,1402.31,1418.50,,,,,,,,
UCOBANK.NS,UCO Bank,Financial Services,Banks—Regional,UCOBANK.NS,13.80,0.80,1.05,13.61,0.63,7.42,8.50,0.72,0.00,3.68,3.22,16.94,-1.00,101.00,7.41,47.78,16.94,3.22,7.41,-1.00,0.00,36.22,68955785000.00,19125426000.00,102958638000.00,1.49,0.76,6.92,45.42,,0.30,1253.96,28.43,356500824360.96,2.97,-1.00,-1.00,3715658000.00,-1.00,-1.00,15409768000.00,62.44,0.94,35650.08,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,-1.00,356500832256.00,24679800000.00,140367000000.00,3623611100000.00,3314762100000.00,272137860000.00,286874900000.00,0.00,0.00,0.00,0.00,19125426000.00,3715658000.00,3347668000.00,3112582000.00,154368300000.00,13885900000.00,12539599872.00,38519500000.00,-1.00,0.00,0.91,0.03,0.28,14.00,28.43,0.00,19886050333.33,,,,,,,,,,,,
UDS.NS,Updater Services Limited,Industrials,Specialty Business Services,UDS.NS,13.52,0.06,0.12,22.63,5.57,12.63,13.21,7.61,11.98,24.60,27.29,2.94,0.00,100.00,41.53,38.76,2.94,27.29,41.53,100.00,13.61,17.79,2778230000.00,508360000.00,2993260000.00,1.08,7.74,7.20,19.32,,0.70,6.70,246.55,16507311460.00,0.59,1183740000.00,320400000.00,135320000.00,187960000.00,15.82,373040000.00,31.40,0.00,1652.30,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.37,16523017216.00,1188000000.00,27360630000.00,15875990000.00,6229860000.00,8401350000.00,1023800000.00,297330000.00,10160520000.00,4914870000.00,5245650000.00,508360000.00,135320000.00,0.00,471340000.00,102260000.00,257520000.00,66953200.00,1159440000.00,24300000.00,726470000.00,0.62,0.15,0.41,8.00,246.55,1091546666.67,741773333.33,497.00,330.00,395.00,376.50,,,,,,,,
UGROCAP.NS,UGRO Capital Limited,Financial Services,Credit Services,UGROCAP.NS,11.69,3.55,4.80,53.19,1.43,5.92,8.26,1.86,3.59,28.56,27.99,13.32,0.00,100.00,82.57,290.26,13.32,27.99,82.57,100.00,-7.45,29.14,3176017000.00,-24740307000.00,-63542488000.00,-20.01,2.29,7.40,96.71,,0.12,11.43,170.11,19450207290.00,2.87,-1.00,-1.00,529059000.00,-1.00,-1.00,-25269366000.00,-1755.67,0.00,1945.02,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,-1.00,19450208256.00,1439299000.00,9638218000.00,91683122000.00,71219228000.00,14383617000.00,69041156000.00,1348459000.00,38160047000.00,27241365000.00,10918682000.00,-24740307000.00,529059000.00,0.00,463849000.00,120456000.00,591875000.00,114339000.00,696311000.00,-1.00,67692697000.00,0.43,0.21,0.36,7.00,170.11,1627181666.67,1010170333.33,302.00,250.00,268.67,254.00,,,,,,,,
UNIVCABLES.NS,Universal Cables Limited,Industrials,Electrical Equipment & Parts,UNIVCABLES.NS,21.78,0.33,0.48,10.23,3.48,6.71,5.04,2.65,10.20,10.79,12.70,4.82,8.52,91.48,14.05,42.00,4.82,12.70,14.05,91.48,1.41,23.90,3906875000.00,1756217000.00,3395351000.00,0.87,2.69,3.52,6.05,,3.60,3.47,732.30,25407441420.00,1.01,3029941000.00,1520513000.00,1630661000.00,235704000.00,26.37,125556000.00,14.05,0.41,2540.74,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.13,25407440896.00,893851000.00,24083862000.00,34192811000.00,16472904000.00,17750489000.00,8487841000.00,820085000.00,14259450000.00,8938743000.00,5320707000.00,1756217000.00,1630661000.00,103220000.00,273181000.00,1038469000.00,280710000.00,34695400.00,2685106000.00,344835000.00,7667756000.00,0.73,0.06,0.22,5.00,732.30,2314736666.67,1052539333.33,,,,,,,,,,,,
SHAKTIPUMP.NS,Shakti Pumps (India) Limited,Industrials,Specialty Industrial Machinery,SHAKTIPUMP.NS,23.70,0.02,0.22,29.80,13.30,24.24,42.61,23.85,28.59,11.45,8.79,9.71,6.60,93.40,11.17,68.54,9.71,8.79,11.17,93.40,13.17,26.53,6390478000.00,204900000.00,1258414000.00,0.20,28.16,4.07,-1.23,,-19.19,12.34,812.80,100297894400.00,3.90,2869700000.00,808915000.00,1081400000.00,-604015000.00,-14.79,-876500000.00,-21.46,0.08,10029.79,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,-2.95,100297891840.00,4083700000.00,25162400000.00,19744400000.00,8132700000.00,7556943000.00,1697100000.00,933100000.00,16659800000.00,7344200000.00,9315600000.00,204900000.00,1081400000.00,80100000.00,199900000.00,442500000.00,1474300000.00,123398000.00,2542500000.00,327200000.00,764000000.00,0.55,0.09,0.20,28.00,812.80,2843491666.67,1914106000.00,,,,,,,,,,,,
KKCL.NS,Kewal Kiran Clothing Limited,Consumer Cyclical,Apparel Manufacturing,KKCL.NS,21.33,0.05,0.24,18.34,15.69,22.79,19.95,13.19,25.79,5.69,7.03,16.05,28.69,71.31,12.08,68.43,16.05,7.03,12.08,71.31,15.64,24.51,5039085000.00,136500000.00,2814666000.00,0.56,17.82,4.64,20.94,,1.02,6.16,521.40,32131379280.00,2.96,2423800000.00,1566282000.00,852000000.00,-1429782000.00,-95.84,-715500000.00,-47.96,-1.00,3213.14,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-10.47,32131381248.00,1491900000.00,10027700000.00,14257700000.00,4346200000.00,6757377000.00,1638900000.00,397000000.00,8583600000.00,3484600000.00,5099000000.00,136500000.00,852000000.00,-1.00,321800000.00,101300000.00,484300000.00,61625200.00,2354800000.00,69000000.00,1241900000.00,0.74,0.08,0.31,13.00,521.40,1907981333.33,1407603000.00,755.00,639.00,697.00,697.00,,,,,,,,
J&KBANK.NS,The Jammu and Kashmir Bank Limited,Financial Services,Banks—Regional,J&KBANK.NS,5.18,0.21,0.20,14.19,1.11,14.98,15.77,1.29,0.00,3.12,2.79,27.01,-1.00,101.00,7.85,68.16,27.01,2.79,7.85,-1.00,0.00,29.01,55283770000.00,-8525535000.00,-28418962000.00,-0.51,1.35,18.72,46.94,,0.11,110.12,101.00,111219183232.00,1.57,-1.00,-1.00,1856919000.00,-1.00,-1.00,-10382454000.00,-49.87,0.46,11121.92,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,-1.00,111219179520.00,20817900000.00,69467600000.00,1694235400000.00,1552152300000.00,121927260000.00,23828400000.00,0.00,0.00,0.00,0.00,-8525535000.00,1856919000.00,515740000.00,2176231000.00,67412600000.00,8524300000.00,1101180032.00,21918400000.00,-1.00,0.00,0.62,0.09,0.23,38.00,101.00,0.00,16778423333.33,,,,,,,,,,,,
VENUSREM.NS,Venus Remedies Limited,Healthcare,Drug Manufacturers—Specialty & Generic,VENUSREM.NS,11.97,0.00,0.00,2.64,5.30,6.85,8.64,6.75,9.31,4.19,3.71,5.54,0.00,100.00,16.67,3.88,5.54,3.71,16.67,100.00,627.26,36.91,1410955000.00,864421000.00,2014567000.00,1.43,7.23,7.06,3.18,,3.76,1.34,480.45,6422175150.00,0.96,1824246000.00,276619000.00,180772000.00,587802000.00,129.72,683649000.00,150.87,0.00,646.39,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0.68,6463926272.00,453147000.00,6472892000.00,7157215000.00,1547719000.00,4875500000.00,16925000.00,631200000.00,4517167000.00,1362886000.00,3154281000.00,864421000.00,180772000.00,0.00,225061000.00,654000.00,265118000.00,13367000.00,1535600000.00,288646000.00,-614275000.00,0.50,0.01,0.02,1.00,480.45,515590666.67,334571000.00,,,,,536992200.00,159678000.00,740085000.00,5412492200.00,0.00,4798217200.00,9.73,8.37
MPSLTD.NS,MPS Limited,Communication Services,Publishing,MPSLTD.NS,23.07,0.00,0.01,17.65,19.93,28.68,31.74,20.80,33.64,28.96,22.82,21.36,69.83,30.17,82.97,64.13,21.36,22.82,82.97,30.17,235.24,25.96,4639938000.00,1008900000.00,4466269000.00,0.96,20.22,4.08,21.78,,1.06,1.70,2150.90,36490663770.00,4.98,-1.00,-1.00,86200000.00,-1.00,-1.00,922700000.00,61.96,3.68,3649.07,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,-1.00,36490661888.00,1489100000.00,7268900000.00,6950200000.00,2165800000.00,4598148000.00,36900000.00,874900000.00,3117100000.00,1582500000.00,1534600000.00,1008900000.00,86200000.00,1344600000.00,274100000.00,7800000.00,522200000.00,16965300.00,256400000.00,-1.00,-838000000.00,0.73,0.00,0.01,8.00,2150.90,1706890666.67,1256244333.33,2790.00,2790.00,2790.00,2790.00,,,,,,,,
VPRPL.NS,Vishnu Prakash R Punglia Limited,Industrials,Engineering & Construction,VPRPL.NS,35.93,0.39,0.98,16.37,9.11,23.24,7.81,3.30,27.84,6.17,9.08,6.93,0.00,100.00,7.36,55.56,6.93,9.08,7.36,100.00,2.06,27.23,3162710000.00,-2068960000.00,-5348640000.00,-1.69,3.80,3.21,9.31,,3.86,12.46,146.61,18274056840.00,1.45,2359340000.00,732440000.00,762050000.00,-2801400000.00,-478.09,-2831010000.00,-483.14,0.00,1827.41,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1.35,18274056192.00,585960000.00,12374180000.00,20095870000.00,12302770000.00,7210650000.00,7072250000.00,1207910000.00,17368760000.00,11473780000.00,5894980000.00,-2068960000.00,762050000.00,0.00,159240000.00,677870000.00,219280000.00,124644000.00,2287790000.00,71550000.00,5864340000.00,0.68,0.04,0.13,3.00,146.61,1674683333.33,904746666.67,131.00,131.00,131.00,131.00,,,,,,,,
VSSL.NS,Vardhman Special Steels Limited,Basic Materials,Steel,VSSL.NS,23.40,0.05,0.17,9.21,9.23,14.17,12.27,8.56,19.13,4.60,5.09,5.54,16.41,83.59,9.12,14.48,5.54,5.09,9.12,83.59,7.49,25.57,3859143000.00,1269113000.00,4017727000.00,1.04,8.95,3.88,-2.86,,-8.20,9.65,248.55,23985920070.00,1.35,5427527000.00,2177680000.00,1188317000.00,-908567000.00,-97.60,80796000.00,8.68,0.68,2401.43,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,-0.72,24014254080.00,930881000.00,17644083000.00,11359155000.00,3379973000.00,7193546000.00,1203040000.00,73306000.00,6611520000.00,3132161000.00,3479359000.00,1269113000.00,1188317000.00,162442000.00,334699000.00,186271000.00,319725000.00,96503400.00,4257191000.00,1170336000.00,1129734000.00,0.78,0.04,0.16,6.00,248.55,1452667666.67,950546333.33,,,,,,,,,,,,
