stock,name,sector,industry,ticker,p/e,d/e_market,d/e,Sales Growth 5yr cagr,3-5yr Average ROA (%),3-5yr Average ROE (%),ROE,ROA,ROCE (3yr avg),NFAT,NFAT (3yr avg),NPM,DPR,Retention Ratio,Dep,SSGR,Av NPM (over 3 years),Au NFA/T (over 3 years),Av Dep%NFA (over 3 years),Au Retention ratio (over 3 years),Interest coverage,tax %,cPAT,CFO,cCFO,cCFO/cPAT,p/a,EY,Earnings Growth 5yr cagr,,PEG,no. shares (cr),Current Price,market cap,p/s,NFA + CWIP,Capex,Capex_from_cashflow_statement,FCF,FCF%,FCF_capex_from_cashflow,FCF%_capex_from_cashflow,DV,Mcap (cr),d/e decreasing trend 5 yrs,Sales cagr >15%,npm >8%,Tax payout >25%,Interest coverage >3,d/e <0.5,CFO >0,cCFO > PAT,p/e <10,peg <1,EY >7%,p/b <3,DV >3%,EY >7,sgr > Sales growth (very linear),FCF/CFO,Market Cap,Net Income,Total Revenue,Total Assets,Total Liabilities,Total Stockholders Equity,Total Debt,Cash and Cash Equivalents,Current Assets,Current Liabilities,Working Capital,Operating Cash Flow,Capital Expenditure,Dividends Paid,Depreciation & Amortization,Interest Expense,Income Tax Expense,Shares Outstanding,Net Fixed Assets,Construction in Progress,Net Debt,insidersPercentHeld,institutionsPercentHeld,institutionsFloatPercentHeld,institutionsCount,current,Normalized EBIT,Normalized Net Income,high,low,mean,median,Research Asset,R&D Amortization,Adjusted EBIT (R&D),Adjusted Book Equity (R&D),Adjusted D/E (R&D),Adjusted Invested Capital (R&D),Adjusted ROC (R&D),Adjusted ROE (R&D)
5PAISA.NS,5paisa Capital Limited,Financial Services,Capital Markets,5PAISA.NS,18.74,0.19,0.40,1.99,3.10,11.07,11.93,3.67,13.82,12.05,16.76,23.08,0.00,100.00,68.64,318.07,23.08,16.76,68.64,100.00,-0.66,25.20,1799776000.00,979350000.00,-1097825000.00,-0.61,3.33,6.10,66.69,,0.28,3.12,357.90,11180545470.00,3.59,-1.00,-1.00,80320000.00,-1.00,-1.00,899030000.00,131.76,0.00,1118.05,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,-1.00,11180545024.00,682331000.00,2291565000.00,16666280000.00,10629860000.00,5398860000.00,2174160000.00,-1.00,15615450000.00,681170000.00,14934280000.00,979350000.00,80320000.00,0.00,122239000.00,238010000.00,229858000.00,31239300.00,162290000.00,-1.00,-1.00,0.57,0.21,0.49,7.00,357.90,966902000.00,554138666.67,,,,,,,,,,,,
AIIL.NS,Authum Investment & Infrastructure Limited,Financial Services,Capital Markets,AIIL.NS,12.99,0.02,0.10,72.44,51.91,75.94,33.88,30.61,48.33,92.03,53.37,396.20,0.00,100.00,71.29,21073.57,396.20,53.37,71.29,100.00,-1.00,-4.28,134990178000.00,-1863500000.00,36105062000.00,0.27,36.50,7.99,84.32,,0.15,16.98,3125.70,530884491494.40,12.19,926900000.00,3760400000.00,725000000.00,-5623900000.00,-13.26,-2588500000.00,-6.10,0.00,53088.45,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,3.02,530884493312.00,42414100000.00,45783400000.00,160874100000.00,13980700000.00,103451000000.00,10240700000.00,-1.00,25772400000.00,678100000.00,25094300000.00,-1863500000.00,725000000.00,0.00,2901600000.00,-1.00,-1742300000.00,169844992.00,926900000.00,0.00,-1.00,0.84,0.02,0.12,19.00,3125.70,42696666666.67,42767600000.00,,,,,,,,,,,,
BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited,Financial Services,Asset Management,BAJAJHLDNG.NS,17.22,0.00,0.00,16.28,9.56,11.63,11.15,9.29,0.00,77.72,71.36,94.41,22.42,77.58,44.28,5182.40,94.41,71.36,44.28,77.58,0.00,1.81,226940800000.00,-19567600000.00,33216600000.00,0.15,10.01,4.51,17.15,,1.00,11.13,12997.00,1446488118000.00,154.57,357200000.00,-38700000.00,7800000.00,-19528900000.00,-29.95,-19575400000.00,-30.02,0.71,144648.82,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1.00,1446488178688.00,65206700000.00,68753000000.00,752655900000.00,25965300000.00,542475100000.00,309900000.00,0.00,0.00,0.00,0.00,-19567600000.00,7800000.00,10204200000.00,337600000.00,14800000.00,1221300000.00,111294000.00,357200000.00,0.00,0.00,0.62,0.11,0.28,145.00,12997.00,0.00,62128000000.00,14346.00,14346.00,14346.00,14346.00,,,,,,,,
AAVAS.NS,Aavas Financiers Limited,Financial Services,Mortgage Finance,AAVAS.NS,21.41,1.12,3.69,24.14,3.35,14.06,14.12,3.27,3.60,23.95,22.20,28.55,0.00,100.00,41.34,592.56,28.55,22.20,41.34,100.00,-1.00,21.63,18496268000.00,-16601262000.00,-67198639000.00,-3.63,3.48,4.61,17.17,,1.25,7.92,1572.30,124465469220.00,9.08,-1.00,-1.00,300706000.00,-1.00,-1.00,-16901968000.00,-294.40,0.00,12446.55,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,-1.00,124465471488.00,5741082000.00,21252141000.00,186184740000.00,142576417000.00,37733152000.00,139184757000.00,-1.00,178014390000.00,48849000.00,177965541000.00,-16601262000.00,300706000.00,0.00,364515000.00,-1.00,1584809000.00,79161400.00,920981000.00,-1.00,-1.00,0.49,0.33,0.64,63.00,1572.30,5096125000.00,4981487333.33,2350.00,1477.00,1962.05,1970.00,,,,,,,,
APTUS.NS,Aptus Value Housing Finance India Limited,Financial Services,Mortgage Finance,APTUS.NS,21.02,0.41,1.82,25.81,7.60,17.30,18.58,7.42,0.00,46.17,56.17,59.43,27.43,72.57,50.40,2371.96,59.43,56.17,50.40,72.57,0.00,22.94,22362964000.00,-14049121000.00,-45312264000.00,-2.03,8.34,4.47,25.66,,0.82,50.06,336.10,168249638022.40,12.88,339173000.00,252054000.00,69086000.00,-14301175000.00,-190.37,-14118207000.00,-187.93,1.34,16832.43,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.02,168324268032.00,7512461000.00,12578874000.00,112434082000.00,69267564000.00,37679238000.00,68730872000.00,0.00,0.00,0.00,0.00,-14049121000.00,69086000.00,2246796000.00,120625000.00,5405145000.00,2235928000.00,500593984.00,338026000.00,1147000.00,0.00,0.25,0.55,0.74,51.00,336.10,0.00,6220521000.00,501.00,307.00,399.53,400.00,,,,,,,,
ACC.NS,ACC Limited,Basic Materials,Building Materials,ACC.NS,14.01,0.01,0.03,9.34,7.92,11.28,13.77,9.85,13.21,1.77,1.93,9.09,60.39,39.61,8.42,-1.49,9.09,1.93,8.42,39.61,19.04,23.17,72494700000.00,17114800000.00,58699700000.00,0.81,10.28,7.11,8.84,,1.58,18.78,1798.50,337734933888.00,1.49,151424100000.00,41200500000.00,19684400000.00,-24085700000.00,-100.27,-2569600000.00,-10.70,0.42,33773.49,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,-1.41,337734926336.00,24021200000.00,206721500000.00,254126100000.00,68539800000.00,163282200000.00,4297700000.00,191100000.00,91376500000.00,56681500000.00,34695000000.00,17114800000.00,19684400000.00,1426100000.00,10013100000.00,1082200000.00,7245100000.00,187787008.00,126808300000.00,24615800000.00,4106600000.00,0.57,0.26,0.62,68.00,1798.50,23600766666.67,17954933333.33,2550.00,1670.00,2139.26,2101.00,,,,,,,,
ACCELYA.NS,Accelya Solutions India Limited,Technology,Information Technology Services,ACCELYA.NS,16.35,0.03,0.22,12.78,29.67,42.52,46.03,29.98,52.09,8.92,10.58,23.26,95.28,4.72,65.65,-54.03,23.26,10.58,65.65,4.72,48.62,26.11,4257752000.00,1445631000.00,5524191000.00,1.30,31.36,6.12,19.20,,0.85,1.49,1412.30,21080413490.00,3.99,702004000.00,496421000.00,192527000.00,949210000.00,73.57,1253104000.00,97.13,6.37,2109.07,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.66,21090723840.00,1290159000.00,5284914000.00,4493375000.00,1716616000.00,2828585000.00,620263000.00,641766000.00,3127137000.00,1064295000.00,2062842000.00,1445631000.00,192527000.00,1343363000.00,280270000.00,34219000.00,455912000.00,14926300.00,701754000.00,250000.00,-21503000.00,0.79,0.00,0.01,4.00,1412.30,1628508333.33,1165291666.67,,,,,,,,,,,,
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,ADANIPORTS.NS,25.16,0.18,0.97,21.53,6.87,15.94,19.23,8.73,11.37,0.40,0.39,30.74,15.32,84.68,5.95,4.32,30.74,0.39,5.95,84.68,5.25,15.11,293978300000.00,172262800000.00,545635000000.00,1.86,9.33,3.90,31.43,,0.80,216.01,1315.40,2841448198092.80,8.70,952735300000.00,155314600000.00,80489200000.00,16948200000.00,15.28,91773600000.00,82.74,0.47,284144.83,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.10,2841448284160.00,110923100000.00,304753300000.00,1353322300000.00,703588900000.00,529447700000.00,513048200000.00,18003900000.00,189441200000.00,209859900000.00,-20418700000.00,172262800000.00,80489200000.00,13362800000.00,43789300000.00,26866800000.00,19683600000.00,2160140032.00,819227400000.00,133507900000.00,495044300000.00,0.66,0.22,0.65,164.00,1315.40,121884966666.67,81706000000.00,1900.00,1510.00,1717.78,1742.50,,,,,,,,
FIVESTAR.NS,Five-Star Business Finance Limited,Financial Services,Credit Services,FIVESTAR.NS,15.20,0.48,1.52,31.41,8.15,17.06,18.65,8.22,11.23,28.53,36.90,39.49,0.00,100.00,42.17,1415.25,39.49,36.90,42.17,100.00,-1.00,25.03,29654468000.00,-10449509000.00,-45672593000.00,-1.54,9.18,6.47,32.99,,0.46,29.44,562.70,165686447798.40,7.70,2039465000.00,-1.00,827188000.00,-1.00,-1.00,-11276697000.00,-105.15,0.00,16580.12,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,-1.00,165801246720.00,10724899000.00,27984424000.00,144205645000.00,81159578000.00,51961547000.00,79219939000.00,-1.00,138419294000.00,353765000.00,138065529000.00,-10449509000.00,827188000.00,0.00,303791000.00,-1.00,3581044000.00,294448992.00,1415855000.00,623610000.00,-1.00,0.28,0.44,0.61,76.00,562.70,11528351666.67,8373007666.67,834.00,650.00,755.82,765.00,,,,,,,,
ADROITINFO.NS,Adroit Infotech Limited,Technology,Information Technology Services,ADROITINFO.NS,58.11,0.29,0.46,70.74,7.63,13.46,1.25,0.95,9.59,12.98,13.95,10.36,0.00,100.00,61.48,83.08,10.36,13.95,61.48,100.00,-4.26,58.60,80859000.00,-134150000.00,-85497000.00,-1.06,1.44,1.21,-16.05,,-3.62,5.42,10.46,566693512.00,1.72,-1.00,-1.00,84069000.00,-1.00,-1.00,-218219000.00,-3170.41,0.00,60.19,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,-1.00,601866304.00,6883000.00,317122000.00,964756000.00,217992000.00,353459000.00,162217000.00,1034000.00,317546000.00,196737000.00,120809000.00,-134150000.00,84069000.00,0.00,17834000.00,8074000.00,9742000.00,54177200.00,32914000.00,-1.00,161183000.00,0.50,0.00,0.00,0.00,10.46,35757666.67,24890666.67,,,,,,,,,,,,
HOMEFIRST.NS,Home First Finance Company India Limited,Financial Services,Mortgage Finance,HOMEFIRST.NS,29.49,0.71,4.50,40.45,3.69,14.32,16.46,3.51,4.87,48.06,45.63,30.99,7.69,92.31,39.97,1265.60,30.99,45.63,39.97,92.31,11.46,23.83,11021750000.00,-21983400000.00,-63815820000.00,-5.79,4.01,2.86,26.30,,1.12,10.33,1294.50,133681720500.00,15.74,448910000.00,306050000.00,119290000.00,-22289450000.00,-583.39,-22102690000.00,-578.50,0.23,13368.17,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.01,133681717248.00,3820680000.00,13254580000.00,122116720000.00,96903900000.00,21214850000.00,95506990000.00,-1.00,115930360000.00,1049680000.00,114880680000.00,-21983400000.00,119290000.00,301230000.00,155300000.00,309970000.00,1195200000.00,103269000.00,447980000.00,930000.00,-1.00,0.15,0.48,0.57,74.00,1294.50,4258180000.00,3053590000.00,1775.00,902.00,1440.47,1480.00,,,,,,,,
ALLDIGI.NS,Alldigi Tech Limited,Industrials,Specialty Business Services,ALLDIGI.NS,21.94,0.04,0.26,19.87,18.33,27.39,32.99,21.17,31.56,7.20,7.50,13.80,72.01,27.99,55.43,-26.47,13.80,7.50,55.43,27.99,19.06,24.27,2318000000.00,1184600000.00,3443000000.00,1.49,22.66,5.73,32.70,,0.67,1.52,953.90,14535814370.00,2.59,904700000.00,700100000.00,174400000.00,484500000.00,58.16,1010200000.00,121.27,4.71,1453.58,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.41,14535815168.00,833000000.00,5463100000.00,4192800000.00,1597900000.00,2454600000.00,632000000.00,9900000.00,2919400000.00,1084300000.00,1835100000.00,1184600000.00,174400000.00,685000000.00,426900000.00,45900000.00,267000000.00,15238300.00,886800000.00,17900000.00,622100000.00,0.75,0.01,0.05,1.00,953.90,907700000.00,653866666.67,,,,,,,,,,,,
AMJLAND.NS,AMJ Land Holdings Limited,Real Estate,Real Estate—Development,AMJLAND.NS,11.59,0.00,0.00,39.35,5.81,7.22,10.08,8.20,9.79,4.99,3.46,21.76,7.81,92.19,11.36,58.15,21.76,3.46,11.36,92.19,27.19,33.58,472151000.00,381000000.00,659603000.00,1.40,8.91,8.83,32.20,,0.36,4.10,56.54,2318140000.00,3.14,-1.00,-1.00,6218000.00,-1.00,-1.00,374782000.00,183.12,0.35,231.81,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,-1.00,2318140160.00,204669000.00,776458000.00,2694430000.00,414071000.00,1789489000.00,0.00,34560000.00,1261112000.00,311258000.00,949854000.00,381000000.00,6218000.00,8200000.00,18852000.00,9281000.00,108360000.00,41000000.00,151076000.00,-1.00,0.00,0.72,0.00,0.00,0.00,56.54,201858666.67,127909666.67,,,,,5913800.00,1803800.00,331927000.00,1795402800.00,0.00,1760842800.00,12.52,11.40
AADHARHFC.NS,AADHAR HOUSING FINANCE L,Financial Services,Mortgage Finance,AADHARHFC.NS,23.34,0.75,3.67,20.71,3.78,16.33,16.85,4.31,11.28,41.16,40.65,30.99,0.00,100.00,29.28,1230.36,30.99,40.65,29.28,100.00,1.84,22.28,26510800000.00,-30266500000.00,-76391900000.00,-2.88,4.78,4.19,27.13,,0.86,43.21,503.45,217520107577.60,11.05,870300000.00,375400000.00,148000000.00,-30641900000.00,-336.05,-30414500000.00,-333.55,0.00,21752.01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.01,217520111616.00,9118300000.00,28351700000.00,232239600000.00,168516700000.00,44497500000.00,163218800000.00,251900000.00,51887100000.00,25880400000.00,26006700000.00,-30266500000.00,148000000.00,0.00,252400000.00,11580800000.00,2614300000.00,432059008.00,870300000.00,0.00,162966900000.00,0.76,0.09,0.39,38.00,503.45,19139366666.67,7354100000.00,670.00,525.00,590.56,580.00,,,,,,,,
INDIASHLTR.NS,India Shelter Finance Corporation Limited,Financial Services,Mortgage Finance,INDIASHLTR.NS,24.49,0.50,2.16,39.09,4.65,13.61,15.09,5.58,6.58,37.45,35.60,35.13,0.00,100.00,37.23,1213.59,35.13,35.60,37.23,100.00,91.32,22.76,9092601000.00,-14347671000.00,-40145635000.00,-4.42,6.52,3.84,43.13,,0.57,10.82,909.90,98412054300.00,11.41,282770000.00,103420000.00,90616000.00,-14451091000.00,-382.43,-14438287000.00,-382.09,0.00,9845.94,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.01,98459369472.00,3778734000.00,9992872000.00,77475002000.00,50387648000.00,22986657000.00,49690571000.00,86564000.00,14342970000.00,11538602000.00,2804368000.00,-14347671000.00,90616000.00,0.00,115970000.00,38633000.00,1113158000.00,108157000.00,282770000.00,0.00,49604007000.00,0.28,0.62,0.86,35.00,909.90,3392936000.00,2602710333.33,1125.00,1000.00,1072.20,1061.00,,,,,,,,
ARE&M.NS,Amara Raja Energy & Mobility Limited,Industrials,Electrical Equipment & Parts,ARE&M.NS,20.74,0.01,0.04,13.89,9.78,13.25,13.32,9.87,16.68,2.81,2.94,7.49,14.24,85.76,12.27,6.65,7.49,2.94,12.27,85.76,37.94,25.80,31224500000.00,13513100000.00,41952500000.00,1.34,10.52,5.29,19.82,,1.05,18.30,975.85,178604938443.20,1.38,64231600000.00,20238800000.00,12001300000.00,-6725700000.00,-71.20,1511800000.00,16.00,1.07,17860.49,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-0.50,178604933120.00,9446700000.00,127856400000.00,101682900000.00,27791600000.00,67987300000.00,2608000000.00,68200000.00,42466500000.00,23133300000.00,19333200000.00,13513100000.00,12001300000.00,1903500000.00,5256600000.00,292700000.00,3285000000.00,183024992.00,49774700000.00,14456900000.00,2539800000.00,0.33,0.27,0.40,55.00,975.85,12026866666.67,8699600000.00,1680.00,925.00,1163.20,1120.00,,,,,,,,
ARIHANTSUP.NS,Arihant Superstructures Limited,Real Estate,Real Estate—Development,ARIHANTSUP.NS,36.06,0.41,2.91,14.72,4.49,21.81,19.41,3.93,12.94,10.75,34.13,10.87,1.52,98.48,15.78,349.58,10.87,34.13,15.78,98.48,2.52,17.39,1966445000.00,-1778407000.00,-2896454000.00,-1.47,4.57,3.05,-0.07,,-542.68,4.33,413.95,17903337500.00,3.34,873962000.00,-1.00,762624000.00,-1.00,-1.00,-2541031000.00,-464.74,0.07,1790.33,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,-1.00,17903337472.00,546762000.00,4988305000.00,15856848000.00,12078922000.00,2541617000.00,7383731000.00,762843000.00,14405781000.00,5036393000.00,9369388000.00,-1778407000.00,762624000.00,12491000.00,23693000.00,404810000.00,115106000.00,43250000.00,834699000.00,39263000.00,6620888000.00,0.77,0.00,0.00,0.00,413.95,989103000.00,517677000.00,,,,,,,,,,,,
KOTAKBANK.NS,Kotak Mahindra Bank Limited,Financial Services,Banks—Regional,KOTAKBANK.NS,20.39,0.22,0.67,18.39,2.62,14.89,15.39,2.69,0.00,28.39,27.38,27.98,1.79,98.21,32.19,720.11,27.98,27.38,32.19,98.21,0.00,24.30,673535976000.00,169157330000.00,396666622000.00,0.59,2.88,5.66,22.35,,0.91,198.83,1965.70,3908440624000.00,5.21,28108003000.00,11892012000.00,12128454000.00,157265318000.00,71.08,157028876000.00,70.97,0.10,390844.04,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,0.93,3908440424448.00,221259890000.00,762853099000.00,8797743370000.00,7222849872000.00,1299716900000.00,867510344000.00,0.00,0.00,0.00,0.00,169157330000.00,12128454000.00,3976240000.00,9409087000.00,282745509000.00,70432900000.00,1988320000.00,28108003000.00,0.00,0.00,0.29,0.47,0.66,317.00,1965.70,0.00,184214020333.33,2600.00,1900.00,2310.14,2310.00,,,,,,,,
ASALCBR.NS,Associated Alcohols & Breweries Limited,Consumer Defensive,Beverages—Wineries & Distilleries,ASALCBR.NS,22.79,0.05,0.24,27.47,9.93,14.14,17.27,12.18,15.86,2.99,3.24,6.77,4.12,95.88,6.12,14.93,6.77,3.24,6.12,95.88,21.66,25.72,2344010000.00,739152000.00,1883302000.00,0.80,13.16,4.32,10.22,,2.23,1.81,1043.60,18867453120.00,1.73,4378353000.00,765836000.00,860415000.00,-26684000.00,-3.28,-121263000.00,-14.89,0.19,1888.56,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.04,18885611520.00,814164000.00,10626308000.00,7176502000.00,1974037000.00,4228513000.00,1015165000.00,-1.00,2516478000.00,1495562000.00,1020916000.00,739152000.00,860415000.00,36158000.00,174406000.00,51229000.00,281888000.00,18079200.00,3942783000.00,435570000.00,-1.00,0.62,0.00,0.00,4.00,1043.60,805891000.00,578651333.33,1300.00,1300.00,1300.00,1300.00,,,,,,,,
ASHOKLEY.NS,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,ASHOKLEY.NS,24.46,0.65,5.55,22.79,3.58,24.39,29.26,4.16,15.43,7.66,7.45,4.96,40.04,59.96,16.04,6.12,4.96,7.45,16.04,59.96,2.23,26.40,64704200000.00,1284700000.00,-77842100000.00,-1.20,4.60,4.03,-1.00,,-1.00,587.31,131.37,771542593213.44,1.56,70103800000.00,19508600000.00,16480800000.00,-18223900000.00,-58.66,-15196100000.00,-48.91,2.65,77154.25,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-14.19,771542548480.00,31068000000.00,483417600000.00,817145300000.00,658696700000.00,90046200000.00,499621100000.00,76600000.00,342401300000.00,265514600000.00,76886700000.00,1284700000.00,16480800000.00,20407700000.00,10866500000.00,39302100000.00,12135400000.00,5873050112.00,66497600000.00,3606200000.00,499544500000.00,0.40,0.29,0.48,183.00,131.37,66577633333.33,22763433333.33,155.00,100.00,137.78,140.00,4013180000.00,1124040000.00,85728660000.00,94059380000.00,5.31,593603880000.00,10.63,33.03
ATL.NS,Allcargo Terminals Limited,Industrials,Integrated Freight & Logistics,ATL.NS,22.11,0.81,2.31,3.76,5.49,20.01,12.04,3.49,13.36,1.65,1.65,6.09,15.25,84.75,12.50,-3.99,6.09,1.65,12.50,84.75,2.17,36.19,1324406000.00,1083908000.00,3325068000.00,2.51,3.86,4.48,-27.25,,-0.81,25.21,26.97,6798058200.00,0.90,4765393000.00,885582000.00,70866000.00,198326000.00,65.07,1013042000.00,332.36,-1.00,679.81,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0.18,6798057984.00,304805000.00,7578139000.00,9590672000.00,6813047000.00,2377063000.00,5480785000.00,152484000.00,1871722000.00,1735674000.00,136048000.00,1083908000.00,70866000.00,-1.00,632206000.00,335858000.00,171439000.00,252060000.00,4761890000.00,3503000.00,5328301000.00,0.70,0.05,0.17,4.00,26.97,894254666.67,441468666.67,,,,,,,,,,,,
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,Financial Services,Asset Management,ABSLAMC.NS,25.10,0.00,0.02,9.22,24.93,27.59,26.99,24.44,31.34,20.67,21.05,53.84,37.86,62.14,46.19,658.08,53.84,21.05,46.19,62.14,167.90,25.23,29801118000.00,7084800000.00,23938602000.00,0.80,26.57,3.83,11.36,,2.21,28.87,842.75,243267378992.00,11.77,932400000.00,318700000.00,312800000.00,6766100000.00,72.71,6772000000.00,72.77,1.60,24326.74,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.96,243267371008.00,9306000000.00,16847800000.00,41144300000.00,3875600000.00,31688800000.00,680600000.00,889800000.00,28339000000.00,2580500000.00,25758500000.00,7084800000.00,312800000.00,3889400000.00,398100000.00,56600000.00,3139400000.00,288659008.00,926100000.00,6300000.00,-209200000.00,0.45,0.42,0.76,40.00,842.75,10205800000.00,7691133333.33,1050.00,820.00,914.25,912.50,,,,,,,,
PRIMESECU.NS,Prime Securities Limited,Financial Services,Capital Markets,PRIMESECU.NS,23.89,0.00,0.02,24.31,12.91,14.50,21.06,18.80,15.63,22.17,20.85,35.25,27.20,72.80,38.83,496.28,35.25,20.85,38.83,72.80,281.50,13.91,850200000.00,278600000.00,369200000.00,0.43,21.65,4.43,24.04,,0.99,3.36,257.05,8642740740.00,8.11,57200000.00,-1.00,52000000.00,-1.00,-1.00,226600000.00,59.16,0.39,864.27,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,-1.00,8642740224.00,383000000.00,798000000.00,2304300000.00,242300000.00,1575900000.00,33700000.00,3800000.00,837700000.00,134000000.00,703700000.00,278600000.00,52000000.00,33500000.00,13200000.00,1200000.00,62200000.00,33622800.00,53400000.00,3800000.00,29900000.00,0.51,0.11,0.22,3.00,257.05,281400000.00,226800000.00,,,,,,,,,,,,
UJJIVANSFB.NS,Ujjivan Small Finance Bank Limited,Financial Services,Banks—Regional,UJJIVANSFB.NS,15.79,0.22,0.33,26.96,1.81,13.77,12.42,1.65,0.00,15.23,20.10,27.22,19.87,80.13,38.92,399.50,27.22,20.10,38.92,80.13,0.00,22.88,26929251000.00,20281998000.00,72352521000.00,2.69,1.80,8.76,-1.00,,-1.00,193.63,42.79,82852991246.08,2.31,4569131000.00,1649727000.00,1672079000.00,18632271000.00,256.61,18609919000.00,256.30,3.50,8285.30,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.92,82852995072.00,7261031000.00,43702894000.00,476891515000.00,416057446000.00,56134921000.00,18553630000.00,0.00,0.00,0.00,0.00,20281998000.00,1672079000.00,2900752000.00,1347239000.00,27181225000.00,2154600000.00,1936269952.00,4437402000.00,131729000.00,0.00,0.05,0.22,0.23,46.00,42.79,0.00,10358385000.00,73.00,42.00,54.87,55.00,,,,,,,,
BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,Credit Services,BAJFINANCE.NS,31.18,0.51,3.59,28.14,4.10,20.20,19.19,3.95,0.00,16.52,16.90,41.35,12.14,87.86,31.81,582.09,41.35,16.90,31.81,87.86,0.00,24.00,496249100000.00,-681544700000.00,-2171994700000.00,-4.38,4.43,3.06,32.11,,0.97,621.24,876.25,5443606639360.00,14.04,27540500000.00,11775000000.00,10818200000.00,-693319700000.00,-416.71,-692362900000.00,-416.14,0.41,544360.68,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.02,5443606806528.00,166378200000.00,423563300000.00,4661268300000.00,3671899400000.00,766953500000.00,2753601500000.00,0.00,0.00,0.00,0.00,-681544700000.00,10818200000.00,22252400000.00,8809900000.00,247707900000.00,53001500000.00,6212389888.00,27214700000.00,325800000.00,0.00,0.55,0.26,0.57,314.00,876.25,0.00,141988933333.33,1150.00,640.00,976.67,990.00,,,,,,,,
