,ticker,ROCE,ROCE (3yr avg),NFAT,NFAT (3yr avg),NPM,DPR,Retention Ratio,Dep,SSGR,Av NPM (over 3 years),Au NFA/T (over 3 years),Av Dep%NFA (over 3 years),Au Retention ratio (over 3 years),d/e,Interest coverage,tax %,cPAT,CFO,cCFO,cCFO/cPAT,p/a,p/e,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,no. shares (cr),p/s,NFA + CWIP,Capex,FCF,FCF%,DV,Mcap (cr),d/e decreasing trend 5 yrs,Sales cagr >15%,npm >8%,Tax payout >25%,Interest coverage >3,d/e <0.5,CFO >0,cCFO > PAT,p/e <10,peg <1,EY >7%,p/b <3,DV >3%,EY >7,sgr > Sales growth (very linear),FCF/CFO,Current Price,Market Cap,Net Income,Total Revenue,Total Assets,Total Liabilities,Total Stockholders Equity,Total Debt,Cash and Cash Equivalents,Current Assets,Current Liabilities,Working Capital,Operating Cash Flow,Capital Expenditure,Dividends Paid,Depreciation & Amortization,Interest Expense,Income Tax Expense,Shares Outstanding,Net Fixed Assets,Construction in Progress,Net Debt,3-5yr Average ROA (%),3-5yr Average ROE (%),ROE,ROA,insidersPercentHeld,institutionsPercentHeld,institutionsFloatPercentHeld,institutionsCount,current,high,low,mean,median,5yr Average ROA (%),5yr Average ROE (%),ROE (3yr avg)
0.00,UPWK,6.91,-1.91,22.87,21.82,6.76,0.00,100.00,43.39,104.18,6.76,21.82,43.39,100.00,0.97,-1.00,-138.41,"116,348,000.00","153,563,000.00","228,604,000.00",1.96,20.78,8.67,10.90,-1.00,15.23,-1.00,13.26,2.56,"35,808,000.00","21,985,000.00","131,578,000.00",61.03,0.00,197.85,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0.86,14.92,"1,978,496,512.00","215,586,000.00","769,325,000.00","1,211,613,000.00","636,236,000.00","381,075,000.00",-1.00,"17,727,000.00","911,054,000.00","268,433,000.00","642,621,000.00","153,563,000.00","14,444,000.00",0.00,"17,650,000.00",-1.00,"-125,159,000.00","132,607,000.00","35,808,000.00",0.00,-1.00,5.09,8.20,45.08,19.17,0.08,0.90,0.98,377.00,14.92,24.00,15.00,18.70,19.00,,,
0.00,BTMD,16.96,9.28,29.62,46.06,0.93,-305.79,405.79,71.37,103.22,0.93,46.06,71.37,405.79,-3.77,2.87,95.47,"38,123,000.00","45,243,000.00","96,689,000.00",2.54,2.03,3.66,3.09,-72.46,12.26,-0.05,3.17,0.77,"14,445,000.00","14,924,000.00","30,319,000.00",960.37,4.65,15.41,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,0.67,3.22,"154,081,184.00","3,157,000.00","197,191,000.00","122,370,000.00","224,570,000.00","-29,397,000.00","107,449,000.00","111,000.00","68,127,000.00","51,514,000.00","16,613,000.00","45,243,000.00","6,956,000.00","4,744,000.00","3,574,000.00","11,001,000.00","970,000.00","31,692,700.00","10,219,000.00","4,226,000.00","107,338,000.00",1.20,-2.95,-4.67,2.27,0.13,0.64,0.74,139.00,3.22,6.00,3.50,4.88,5.00,,,
0.00,INVX,14.04,20.37,4.00,6.62,16.03,17.81,82.19,32.79,54.43,16.03,6.62,32.79,82.19,0.28,35.08,1.74,"287,382,000.00","93,439,000.00","161,467,000.00",0.56,29.52,8.29,11.73,60.66,30.87,0.14,6.88,1.38,"245,659,000.00","200,086,000.00","-106,647,000.00",-76.00,6.27,119.68,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-1.14,17.40,"1,196,758,016.00","140,325,000.00","660,803,000.00","1,197,483,000.00","239,327,000.00","328,921,000.00","25,023,000.00","5,132,000.00","641,391,000.00","162,658,000.00","478,733,000.00","93,439,000.00","13,594,000.00","74,983,000.00","39,524,000.00","2,430,000.00","2,487,000.00","68,779,200.00","245,659,000.00",0.00,"19,891,000.00",13.50,20.51,21.81,16.78,0.03,1.05,1.07,252.00,17.40,21.00,14.00,18.33,20.00,,,
0.00,OPXS,23.44,16.55,9.36,6.97,8.55,0.00,100.00,9.70,49.89,8.55,6.97,9.70,100.00,0.23,102.57,21.07,"9,445,000.00","1,781,000.00","4,008,000.00",0.42,16.96,13.87,5.24,45.98,23.10,0.30,0.69,1.82,"3,525,000.00","274,000.00","1,507,000.00",39.99,0.00,7.19,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.85,10.40,"71,901,648.00","3,768,000.00","33,995,000.00","25,518,000.00","6,710,000.00","14,860,000.00",-1.00,0.00,"20,072,000.00","4,950,000.00","15,122,000.00","1,781,000.00","1,731,000.00",0.00,"487,000.00","47,000.00","1,006,000.00","6,913,620.00","3,525,000.00",0.00,0.00,11.14,16.04,22.38,15.79,0.23,0.35,0.46,37.00,10.40,,,,,,,
0.00,CALM,57.77,44.19,4.52,3.95,21.55,31.14,68.86,10.05,48.60,21.55,3.95,10.05,68.86,-1.00,"2,510.52",24.01,"2,388,610,000.00","1,224,734,000.00","2,665,351,000.00",1.12,55.84,4.65,21.68,109.33,33.85,0.04,4.85,1.32,"1,175,305,000.00","290,826,000.00","933,908,000.00",76.55,5.87,562.77,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.76,116.04,"5,627,650,048.00","1,220,048,000.00","4,261,885,000.00","3,084,619,000.00","518,604,000.00","1,800,147,000.00","210,233,000.00","7,979,000.00","1,968,110,000.00","308,371,000.00","1,659,739,000.00","1,224,734,000.00","161,255,000.00","330,290,000.00","94,021,000.00","612,000.00","384,910,000.00","48,497,500.00","1,026,684,000.00","148,621,000.00","202,254,000.00",34.85,42.69,55.96,46.31,0.10,0.94,1.05,584.00,116.04,115.00,105.00,109.50,109.00,,,
0.00,HRB,43.73,39.34,6.02,6.15,16.18,31.64,68.36,20.99,46.99,16.18,6.15,20.99,68.36,22.36,10.60,22.01,"2,308,464,000.00","680,883,000.00","3,032,121,000.00",1.31,18.82,11.79,8.68,9.32,2.79,1.27,13.39,1.86,"656,283,000.00","179,805,000.00","501,078,000.00",82.72,2.83,698.27,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0.74,52.13,"6,982,657,024.00","605,773,000.00","3,760,995,000.00","3,263,898,000.00","3,175,002,000.00","90,594,000.00","1,493,198,000.00","95,788,000.00","1,162,548,000.00","1,298,610,000.00","-136,062,000.00","680,883,000.00","82,034,000.00","197,330,000.00","116,827,000.00","78,113,000.00","171,953,000.00","133,947,000.00","656,283,000.00",0.00,"1,397,410,000.00",18.36,700.04,674.99,18.69,0.01,0.95,0.96,749.00,52.13,62.00,48.00,55.00,55.00,,,
0.00,FOX,17.07,13.92,6.37,5.96,10.98,18.36,81.64,15.64,37.78,10.98,5.96,15.64,81.64,0.70,8.01,25.09,"6,208,000,000.00","3,324,000,000.00","8,848,000,000.00",1.43,10.30,11.09,17.65,33.05,5.27,0.34,23.56,1.55,"2,790,000,000.00","281,000,000.00","3,043,000,000.00",134.47,2.16,"2,529.82",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.92,54.43,"25,298,192,384.00","2,263,000,000.00","16,300,000,000.00","23,195,000,000.00","10,840,000,000.00","10,714,000,000.00",-1.00,"174,000,000.00","8,429,000,000.00","2,897,000,000.00","5,532,000,000.00","3,324,000,000.00","331,000,000.00","277,000,000.00","385,000,000.00","403,000,000.00","768,000,000.00","235,580,992.00","2,519,000,000.00","271,000,000.00",-1.00,7.50,15.20,19.96,10.02,0.44,0.55,0.98,737.00,54.43,,,,,,,
0.00,FOXA,17.07,13.92,6.37,5.96,10.98,18.36,81.64,15.64,37.78,10.98,5.96,15.64,81.64,0.70,8.01,25.09,"6,208,000,000.00","3,324,000,000.00","8,848,000,000.00",1.43,10.30,12.10,18.14,33.05,5.27,0.37,21.00,1.55,"2,790,000,000.00","281,000,000.00","3,043,000,000.00",134.47,2.22,"2,529.82",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.92,59.42,"25,298,182,144.00","2,263,000,000.00","16,300,000,000.00","23,195,000,000.00","10,840,000,000.00","10,714,000,000.00",-1.00,"174,000,000.00","8,429,000,000.00","2,897,000,000.00","5,532,000,000.00","3,324,000,000.00","331,000,000.00","277,000,000.00","385,000,000.00","403,000,000.00","768,000,000.00","209,955,008.00","2,519,000,000.00","271,000,000.00",-1.00,7.50,15.20,19.96,10.02,0.01,1.16,1.18,"1,064.00",59.42,72.00,48.00,60.47,62.00,,,
0.00,GCT,17.48,15.22,2.57,3.60,9.70,0.00,100.00,1.51,33.46,9.70,3.60,1.51,100.00,1.67,511.14,10.53,"273,145,000.00","158,078,000.00","349,742,000.00",1.28,14.85,9.37,13.70,64.32,41.00,0.15,2.96,0.98,"481,428,000.00","66,416,000.00","91,662,000.00",72.86,0.00,116.88,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.58,31.03,"1,168,779,136.00","125,808,000.00","1,161,042,000.00","1,070,475,000.00","665,258,000.00","290,416,000.00",-1.00,"1,782,000.00","547,592,000.00","264,379,000.00","283,213,000.00","158,078,000.00","15,536,000.00",0.00,"8,524,000.00","256,000.00","14,806,000.00","29,589,300.00","481,428,000.00",0.00,-1.00,11.97,29.96,36.17,13.12,0.14,0.45,0.52,197.00,31.03,44.00,31.00,36.00,34.50,,,
0.00,BAH,25.78,19.15,33.42,28.28,5.47,52.55,47.45,43.56,29.86,5.47,28.28,43.56,47.45,4.03,7.21,23.30,"2,278,740,000.00","1,009,000,000.00","2,607,526,000.00",1.14,14.24,13.52,6.90,28.14,12.72,0.48,12.32,1.13,"355,000,000.00","158,000,000.00","851,000,000.00",91.02,1.98,"1,354.88",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.84,109.93,"13,548,762,112.00","935,000,000.00","11,980,000,000.00","7,312,000,000.00","6,309,000,000.00","1,047,000,000.00","3,998,000,000.00","157,000,000.00","3,313,000,000.00","1,846,000,000.00","1,467,000,000.00","1,009,000,000.00","98,000,000.00","268,000,000.00","165,000,000.00","190,000,000.00","284,000,000.00","123,249,000.00","355,000,000.00",0.00,"3,841,000,000.00",9.01,59.08,91.22,13.48,0.01,1.00,1.01,998.00,109.93,160.00,89.00,126.09,120.00,,,
0.00,VIRC,18.25,19.23,4.71,5.30,7.81,2.75,97.25,10.54,29.73,7.81,5.30,10.54,97.25,0.46,79.83,23.85,"44,965,000.00","33,128,000.00","55,899,000.00",1.24,14.78,6.83,16.24,-1.00,12.94,-1.00,1.57,0.53,"72,021,000.00","36,635,000.00","-3,507,000.00",-16.20,1.10,13.33,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,-0.11,8.47,"133,301,712.00","21,644,000.00","266,240,000.00","191,946,000.00","82,681,000.00","91,179,000.00","4,136,000.00","2,595,000.00","102,173,000.00","34,275,000.00","67,898,000.00","33,128,000.00","6,295,000.00","1,463,000.00","5,690,000.00","349,000.00","6,780,000.00","15,738,100.00","72,021,000.00",0.00,"1,541,000.00",13.18,25.92,21.60,12.79,0.16,0.52,0.61,115.00,8.47,12.00,12.00,12.00,12.00,,,
0.00,NOG,16.57,26.05,0.48,0.71,37.13,18.01,81.99,0.00,21.69,37.13,0.71,0.00,81.99,1.16,4.92,23.58,"2,222,875,000.00","1,408,663,000.00","3,916,869,000.00",1.76,11.60,4.14,21.24,-1.00,30.43,-1.00,9.76,1.17,"5,082,170,000.00","1,150,606,000.00","258,057,000.00",49.60,6.61,244.96,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0.18,25.10,"2,449,627,136.00","520,308,000.00","2,163,761,000.00","5,603,822,000.00","3,283,387,000.00","2,047,676,000.00",-1.00,"5,271,000.00","500,743,000.00","544,270,000.00","-43,527,000.00","1,408,663,000.00","1,691,848,000.00","161,969,000.00",0.00,"157,717,000.00","160,509,000.00","97,594,704.00","5,082,170,000.00",0.00,-1.00,23.52,83.65,23.82,10.32,0.03,1.19,1.22,499.00,25.10,50.00,25.00,33.80,33.00,,,
0.00,BBW,31.48,33.55,3.56,3.73,10.52,21.23,78.77,10.50,20.40,10.52,3.73,10.50,78.77,0.75,-1.00,22.87,"199,840,000.00","47,087,000.00","186,750,000.00",0.93,19.02,13.64,6.93,7.58,6.45,1.80,1.32,1.47,"160,324,000.00","38,570,000.00","8,517,000.00",16.45,1.47,74.75,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.18,56.59,"747,474,688.00","51,785,000.00","496,404,000.00","289,956,000.00","150,874,000.00","129,662,000.00","71,480,000.00","6,467,000.00","126,298,000.00","79,394,000.00","46,904,000.00","47,087,000.00","19,317,000.00","11,024,000.00","14,772,000.00",-1.00,"15,356,000.00","13,208,600.00","149,961,000.00","10,363,000.00","65,013,000.00",18.35,42.03,38.54,18.42,0.06,0.95,1.01,242.00,56.59,65.00,60.00,63.00,64.00,,,
0.00,UUU,7.79,4.61,295.18,144.17,0.60,0.00,100.00,70.14,16.75,0.60,144.17,70.14,100.00,0.45,1.53,-258.44,"447,155.00","-1,048,612.00","-812,644.00",-1.82,6.01,3.00,6.06,-1.00,6.42,-1.00,0.23,0.36,0.00,"4,470.00","-1,053,082.00",-210.33,0.00,0.83,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1.00,3.57,"8,257,017.00","500,684.00","23,563,554.00","9,816,279.00","4,652,568.00","4,663,027.00",-1.00,0.00,"9,816,279.00","4,652,568.00","5,163,711.00","-1,048,612.00",0.00,0.00,"164,126.00","262,365.00","-361,000.00","2,312,890.00",0.00,0.00,0.00,1.48,3.57,10.19,5.52,0.31,0.13,0.19,12.00,3.57,,,,,,,
0.00,YELP,18.23,11.55,13.01,9.38,6.62,0.00,100.00,46.07,16.09,6.62,9.38,46.07,100.00,0.06,inf,27.39,"308,041,000.00","285,815,000.00","997,059,000.00",3.24,13.09,14.89,6.49,54.90,11.02,0.27,6.31,1.41,"99,781,000.00","38,025,000.00","247,790,000.00",186.52,0.00,204.63,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,0.87,32.45,"2,046,319,744.00","132,850,000.00","1,412,064,000.00","983,567,000.00","239,598,000.00","749,534,000.00","84,624,000.00","15,033,000.00","516,879,000.00","154,974,000.00","361,905,000.00","285,815,000.00","37,347,000.00",0.00,"55,501,000.00",0.00,"50,110,000.00","63,060,700.00","99,781,000.00",0.00,"69,591,000.00",8.86,12.12,17.79,13.30,0.05,1.01,1.06,463.00,32.45,40.00,30.00,34.44,34.00,,,
0.00,SM,14.22,20.45,0.40,0.52,32.22,7.19,92.81,0.00,15.63,32.22,0.52,0.00,92.81,0.77,7.29,20.28,"2,736,354,000.00","1,782,514,000.00","6,203,086,000.00",2.27,12.07,3.93,24.12,181.75,0.93,0.02,11.50,1.06,"8,474,602,000.00","2,740,102,000.00","-957,588,000.00",-124.31,2.66,319.34,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,-0.54,27.78,"3,193,422,080.00","770,293,000.00","2,671,285,000.00","8,576,647,000.00","4,339,390,000.00","3,615,850,000.00","3,549,440,000.00","25,201,000.00","434,699,000.00","789,950,000.00","-355,251,000.00","1,782,514,000.00","3,414,307,000.00","85,020,000.00",0.00,"140,659,000.00","195,930,000.00","114,954,000.00","7,992,709,000.00","481,893,000.00","3,524,239,000.00",14.71,29.07,19.62,10.30,0.02,1.02,1.03,494.00,27.78,59.00,27.00,40.08,40.00,,,
0.00,EOG,19.98,24.27,0.70,0.82,28.82,47.84,52.16,0.00,12.39,28.82,0.82,0.00,52.16,0.18,59.80,22.09,"26,420,000,000.00","12,143,000,000.00","43,367,000,000.00",1.64,14.60,11.75,9.68,12.09,5.93,0.97,54.60,2.90,"34,212,000,000.00","1,915,000,000.00","10,228,000,000.00",159.74,3.16,"6,612.52",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.84,121.11,"66,125,213,696.00","6,403,000,000.00","23,378,000,000.00","47,186,000,000.00","17,835,000,000.00","28,090,000,000.00","4,602,000,000.00","503,000,000.00","11,230,000,000.00","5,354,000,000.00","5,876,000,000.00","12,143,000,000.00","6,372,000,000.00","2,087,000,000.00",0.00,"138,000,000.00","1,815,000,000.00","545,993,024.00","34,212,000,000.00",0.00,"4,099,000,000.00",17.13,28.02,22.29,14.07,0.00,0.97,0.97,"2,014.00",121.11,170.00,120.00,140.25,140.50,,,
0.00,DVN,15.13,25.94,0.71,0.89,24.69,46.06,53.94,0.00,11.79,24.69,0.89,0.00,53.94,0.76,10.33,20.74,"15,466,000,000.00","6,600,000,000.00","26,573,000,000.00",1.72,11.80,7.92,12.95,2.93,9.30,2.70,63.48,1.39,"25,314,000,000.00","5,719,000,000.00","881,000,000.00",30.47,4.20,"2,231.96",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.13,35.16,"22,319,568,896.00","2,891,000,000.00","15,940,000,000.00","30,489,000,000.00","15,785,000,000.00","12,061,000,000.00","8,883,000,000.00","315,000,000.00","3,427,000,000.00","3,309,000,000.00","118,000,000.00","6,600,000,000.00","7,453,000,000.00","937,000,000.00",0.00,"401,000,000.00","770,000,000.00","634,800,000.00","25,314,000,000.00",0.00,"8,568,000,000.00",17.65,37.64,21.77,10.52,0.01,0.78,0.79,"1,474.00",35.16,66.00,33.00,45.11,43.50,,,
0.00,MGY,20.06,30.32,0.60,0.84,37.40,19.26,80.74,18.28,7.10,37.40,0.84,18.28,80.74,0.23,35.63,19.43,"2,065,447,000.00","920,850,000.00","3,861,803,000.00",1.87,13.28,12.63,8.15,-6.59,6.86,-1.92,18.53,3.48,"2,306,034,000.00","668,500,000.00","252,350,000.00",68.94,2.17,462.73,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.27,24.25,"4,627,264,000.00","366,027,000.00","1,315,886,000.00","2,820,835,000.00","853,509,000.00","1,691,670,000.00","563,248,000.00","599,000.00","410,824,000.00","290,261,000.00","120,563,000.00","920,850,000.00","486,729,000.00","97,620,000.00","414,487,000.00","14,371,000.00","95,813,000.00","185,291,008.00","2,306,034,000.00",0.00,"562,649,000.00",23.03,39.59,20.31,13.13,0.01,1.19,1.20,504.00,24.25,34.00,19.00,26.80,27.00,,,
0.00,APAM,40.20,40.70,8.35,7.44,22.32,96.08,3.92,6.51,0.00,22.32,7.44,6.51,3.92,0.93,42.58,20.63,"1,025,308,000.00","372,838,000.00","1,337,027,000.00",1.30,18.48,12.36,7.89,-10.47,-3.24,-1.18,7.05,2.90,"124,836,000.00","-6,687,000.00","379,525,000.00",146.11,6.74,329.24,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1.02,46.72,"3,292,395,776.00","259,748,000.00","1,111,802,000.00","1,618,756,000.00","868,837,000.00","324,151,000.00","367,439,000.00",0.00,"409,408,000.00","501,398,000.00","-91,990,000.00","372,838,000.00","4,752,000.00","221,956,000.00","9,862,000.00","8,610,000.00","90,901,000.00","70,470,800.00","124,836,000.00",0.00,0.00,16.98,75.16,72.85,17.18,0.03,0.91,0.94,498.00,46.72,51.00,41.50,45.63,45.00,,,
0.00,MAIN,-1.00,-1.00,0.00,0.00,81.49,68.94,31.06,0.00,0.00,81.49,0.00,0.00,31.06,0.86,0.00,5.69,"1,508,895,000.00","-87,118,000.00","-564,105,000.00",-0.37,11.43,10.71,8.73,6.82,13.50,1.57,8.94,10.43,0.00,0.00,"-87,118,000.00",-17.15,5.50,582.10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1.00,65.09,"5,821,024,256.00","508,080,000.00","601,251,000.00","5,121,341,000.00","2,323,503,000.00","2,477,399,000.00",0.00,0.00,0.00,0.00,0.00,"-87,118,000.00",0.00,"320,427,000.00",0.00,"123,429,000.00","30,633,000.00","89,430,400.00",0.00,0.00,0.00,8.86,16.78,19.26,10.62,0.04,0.24,0.25,460.00,65.09,64.00,57.00,61.00,60.00,,,
0.00,ANF,35.93,22.31,3.81,3.41,6.39,-1.00,-1.00,11.28,-1.00,6.39,3.41,11.28,-1.00,0.92,61.34,25.32,"1,160,172,000.00","710,376,000.00","1,639,237,000.00",1.41,19.04,9.71,12.07,36.19,10.05,0.27,4.76,0.93,"1,420,060,000.00","313,185,000.00","397,191,000.00",70.15,-1.00,469.10,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.56,98.46,"4,690,959,360.00","566,223,000.00","4,948,587,000.00","3,299,887,000.00","1,948,564,000.00","1,035,160,000.00","821,620,000.00","104,154,000.00","1,673,431,000.00","1,126,944,000.00","546,487,000.00","710,376,000.00","182,903,000.00",-1.00,"153,773,000.00","12,077,000.00","194,661,000.00","47,643,300.00","1,378,894,000.00","41,166,000.00","717,466,000.00",9.90,28.69,47.77,18.05,0.02,1.00,1.03,559.00,98.46,151.00,84.00,114.25,115.00,,,
0.00,BKE,34.52,42.91,3.07,-1.00,17.47,90.15,9.85,5.20,-1.00,17.47,-1.00,5.20,9.85,0.79,inf,24.17,"924,833,000.00","242,014,000.00","1,050,794,000.00",1.14,21.97,14.41,6.80,-8.99,-2.02,-1.60,5.12,2.30,"440,995,000.00","48,359,000.00","193,655,000.00",99.07,6.89,287.40,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.80,56.18,"2,874,000,384.00","195,468,000.00","1,217,689,000.00","913,173,000.00","489,369,000.00","413,220,000.00","275,437,000.00","20,932,000.00","439,209,000.00","213,932,000.00","225,277,000.00","242,014,000.00","42,275,000.00","198,019,000.00","22,993,000.00",0.00,"62,309,000.00","51,157,000.00","435,545,000.00","5,450,000.00","254,505,000.00",27.81,64.43,46.71,21.68,0.39,0.61,1.00,389.00,56.18,51.00,51.00,51.00,51.00,,,
0.00,CTMX,71.91,-11.94,7.43,-1.00,-54.77,0.00,100.00,12.17,-1.00,-54.77,-1.00,12.17,100.00,-0.20,inf,0.70,"-183,887,000.00","-86,231,000.00","-372,085,000.00",2.02,15.79,4.24,9.12,-1.00,54.69,-1.00,16.49,2.48,"10,603,000.00","-4,175,000.00","-82,056,000.00",-257.48,0.00,34.96,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.95,2.12,"349,615,520.00","31,869,000.00","138,103,000.00","120,533,000.00","120,989,000.00","-47,447,000.00","35,217,000.00","3,579,000.00","107,305,000.00","85,772,000.00","21,533,000.00","-86,231,000.00","310,000.00",0.00,"1,768,000.00",0.00,"224,000.00","164,912,992.00","10,603,000.00",0.00,"31,638,000.00",-11.92,"6,335.55",-133.06,19.77,0.01,0.89,0.90,93.00,2.12,8.00,3.50,5.75,5.50,,,
0.00,IBEX,18.62,15.94,5.06,4.57,5.67,-1.00,-1.00,16.62,-1.00,5.67,4.57,16.62,-1.00,0.45,76.71,17.89,"99,782,000.00","35,900,000.00","133,842,000.00",1.34,11.47,13.43,8.33,128.15,4.68,0.10,1.34,0.75,"90,712,000.00","-2,332,000.00","38,232,000.00",113.60,-1.00,40.41,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1.06,30.22,"404,113,920.00","33,655,000.00","508,569,000.00","293,904,000.00","128,105,000.00","149,964,000.00",-1.00,"1,888,000.00","179,958,000.00","70,996,000.00","108,962,000.00","35,900,000.00","8,855,000.00",-1.00,"19,461,000.00","514,000.00","7,331,000.00","13,372,400.00","89,007,000.00","1,705,000.00",-1.00,8.63,20.91,21.32,11.46,0.13,0.94,1.09,198.00,30.22,31.00,30.00,30.50,30.50,,,
0.00,MATX,15.04,20.64,1.44,-1.00,16.01,9.69,90.31,11.95,-1.00,16.01,-1.00,11.95,90.31,0.31,73.64,20.52,"2,764,800,000.00","767,800,000.00","3,534,300,000.00",1.28,11.09,7.24,14.10,-13.26,-4.47,-0.55,3.18,0.98,"2,860,000,000.00","596,500,000.00","171,300,000.00",35.96,1.33,337.95,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.22,106.31,"3,379,488,512.00","476,400,000.00","3,421,800,000.00","4,595,400,000.00","1,943,400,000.00","2,400,700,000.00","390,500,000.00","12,800,000.00","609,600,000.00","560,400,000.00","49,200,000.00","767,800,000.00","310,100,000.00","44,800,000.00","286,800,000.00","7,500,000.00","123,000,000.00","31,789,000.00","2,618,600,000.00","241,400,000.00","377,700,000.00",17.31,35.20,18.86,10.72,0.02,0.90,0.91,511.00,106.31,160.00,115.00,137.50,137.50,,,
0.00,MGRC,18.10,12.75,0.69,-1.00,21.51,28.24,71.76,8.39,-1.00,21.51,-1.00,8.39,71.76,0.63,5.17,26.12,"611,191,000.00","374,375,000.00","859,893,000.00",1.41,10.45,12.08,7.59,36.64,19.44,0.33,2.46,3.24,"1,600,198,000.00","194,409,000.00","179,966,000.00",77.66,1.53,305.23,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.48,124.02,"3,052,318,208.00","231,727,000.00","910,942,000.00","2,277,584,000.00","1,154,216,000.00","933,802,000.00","870,337,000.00",0.00,"234,453,000.00","283,879,000.00","-49,426,000.00","374,375,000.00","231,459,000.00","46,759,000.00","107,455,000.00","47,241,000.00","81,922,000.00","24,611,500.00","1,585,098,000.00","15,100,000.00",0.00,7.95,17.47,22.53,10.31,0.01,0.92,0.93,356.00,124.02,150.00,139.00,144.00,143.50,,,
