,stock,name,sector,industry,ticker,ROCE,ROCE (3yr avg),NFAT,NFAT (3yr avg),NPM,DPR,Retention Ratio,Dep,SSGR,Av NPM (over 3 years),Au NFA/T (over 3 years),Av Dep%NFA (over 3 years),Au Retention ratio (over 3 years),d/e,Interest coverage,tax %,cPAT,CFO,cCFO,cCFO/cPAT,p/a,p/e,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,no. shares (cr),Current Price,market cap,d/e_market,p/s,NFA + CWIP,Capex,Capex_from_cashflow_statement,FCF,FCF%,FCF_capex_from_cashflow,FCF%_capex_from_cashflow,DV,Mcap (cr),d/e decreasing trend 5 yrs,Sales cagr >15%,npm >8%,Tax payout >25%,Interest coverage >3,d/e <0.5,CFO >0,cCFO > PAT,p/e <10,peg <1,EY >7%,p/b <3,DV >3%,EY >7,sgr > Sales growth (very linear),FCF/CFO,Market Cap,Net Income,Total Revenue,Total Assets,Total Liabilities,Total Stockholders Equity,Total Debt,Cash and Cash Equivalents,Current Assets,Current Liabilities,Working Capital,Operating Cash Flow,Capital Expenditure,Dividends Paid,Depreciation & Amortization,Interest Expense,Income Tax Expense,Shares Outstanding,Net Fixed Assets,Construction in Progress,Net Debt,3-5yr Average ROA (%),3-5yr Average ROE (%),ROE,ROA,insidersPercentHeld,institutionsPercentHeld,institutionsFloatPercentHeld,institutionsCount,current,Normalized EBIT,Normalized Net Income,high,low,mean,median,Research Asset,R&D Amortization,Adjusted EBIT (R&D),Adjusted Book Equity (R&D),Adjusted D/E (R&D),Adjusted Invested Capital (R&D),Adjusted ROC (R&D),Adjusted ROE (R&D)
74,JAGRAN.NS,Jagran Prakashan Limited,Communication Services,Publishing,JAGRAN.NS,7.11742536746873,10.226050106042125,4.589528096628123,4.303012255096163,9.135282892142838,67.94234480694686,32.05765519305314,24.838366515546543,-12.23674774428703,9.135282892142838,4.303012255096163,24.838366515546543,32.05765519305314,0.09631708857644457,10.319844474074351,31.24041545064126,7369813000.0,2239445000.0,11143567000.0,1.5120555976114998,4.592527609135183,9.940443,8.381452457559774,-10.545917604562627,5.325775805324606,-0.9425868257968684,21.7654,71.77,15621027580.0,0.11888846559478387,0.820404,4081289000.0,794846000.0,552186000.0,1444599000.0,110.33630216555956,1687259000.0,128.8703085462193,6.966705579557014,1562.1026816,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,0.6450700954924099,15621026816,1309269000.0,18881314000.0,27341634000.0,6596809000.0,19281729000.0,1857160000.0,780232000.0,14938650000.0,5133758000.0,9804892000.0,2239445000.0,552186000.0,1088271000.0,1078290000.0,214498000.0,426785000.0,217654000,3991440000.0,89849000.0,1076928000.0,5.843933191149831,9.014506525253784,6.756994297215699,4.688492888330046,0.69032997,0.08454,0.27299,12.0,71.77,2332753666.6666665,1715013666.6666667,79.0,79.0,79.0,79.0,,,,,,,,
75,J&KBANK.NS,The Jammu and Kashmir Bank Limited,Financial Services,Banks—Regional,J&KBANK.NS,-1,0.0,3.122427220649131,2.7863220302465024,27.011168175704935,-1,101.0,7.854236139514768,68.16019494065172,27.011168175704935,2.7863220302465024,7.854236139514768,-1,0.19543127599193158,0.0,29.00724134645487,55283770000.0,-8525535000.0,-28418962000.0,-0.5140561506568745,1.3473969404863186,5.176832,18.717904047698735,46.942837878692664,14.193742825005051,0.11027948530461049,110.1180032,101.0,111219183232.0,0.21424721264401525,1.573043,-1,-1,1856919000.0,-1,-1,-10382454000.0,-49.872724914616754,0.4637149680592253,11121.917952,False,False,True,True,False,True,False,False,True,True,True,True,False,True,True,-1,111219179520,20817900000.0,69467600000.0,1694235400000.0,1552152300000.0,121927260000.0,23828400000.0,0,0,0,0,-8525535000.0,1856919000.0,515740000.0,2176231000.0,67412600000.0,8524300000.0,1101180032,21918400000.0,-1,0,1.1061498736136184,14.981280216726155,15.770517490298486,1.2853407060109234,0.62403,0.0864,0.2298,38.0,101.0,0.0,16778423333.333334,,,,,,,,,,,,
76,INDUSTOWER.NS,Indus Towers Limited,Communication Services,Telecom Services,INDUSTOWER.NS,28.120352019541656,20.499045885553105,0.7118124600499309,0.7928869629580305,20.42118767044445,-1,101.0,16.225228610273955,0.12838179646086634,20.42118767044445,0.7928869629580305,16.225228610273955,-1,0.7824237762030859,7.7736153721944135,24.495009008872028,243810000000.0,196450000000.0,482531000000.0,1.9791271892047086,17.777208972642462,9.321088,10.993812148305821,16.412076131841502,2.813148956768785,0.5679408214489031,263.7250048,342.55,903390003942.4,0.23418235654231226,2.9337435,454763000000.0,117098000000.0,67840000000.0,79352000000.0,79.89770129987816,128610000000.0,129.4944470735121,-1,90351.6717056,False,False,True,False,True,False,True,True,True,True,True,True,False,True,False,0.4039297531178417,903516717056,99317000000.0,301228000000.0,631702000000.0,306719000000.0,270388000000.0,211558000000.0,9286000000.0,129298000000.0,97868000000.0,31430000000.0,196450000000.0,67840000000.0,-1,64021000000.0,18579000000.0,32220000000.0,2637250048,449091000000.0,5672000000.0,202272000000.0,10.929038525259145,22.62259170844689,33.36306269536138,16.68663231343321,0.50058,0.29622,0.59313,232.0,342.55,98088666666.66667,60026333333.333336,595.0,300.0,404.82608,390.0,,,,,,,,
77,INDUSINDBK.NS,IndusInd Bank Limited,Financial Services,Banks—Regional,INDUSINDBK.NS,-1,0.0,11.086985082529875,12.476321503098143,22.926090438981678,23.613934021145024,76.38606597885497,21.146203919726236,197.34336233937756,22.926090438981678,12.476321503098143,21.146203919726236,76.38606597885497,0.8496380355645856,0.0,26.954265049989363,238013758000.0,182777900000.0,55829926000.0,0.23456596151891354,0.5000136178064462,58.409267,4.370558836049672,-18.931746565870366,6.626060254059496,-3.085255065969382,77.9075968,756.4,589293062195.2,0.9113216062640664,3.3062794,-1,-1,7309900000.0,-1,-1,175468000000.0,681.28625453303,2.1804091757224597,58929.3092864,False,False,True,True,False,False,True,False,False,True,False,True,False,False,True,-1,589293092864,25755400000.0,267217500000.0,5541071100000.0,4892714300000.0,632075634000.0,537035500000.0,0,0,0,0,182777900000.0,7309900000.0,12849000000.0,5322700000.0,296363500000.0,9503400000.0,779075968,24963600000.0,-1,0,1.3528746330576633,10.97800129451349,4.022922149752417,0.48176906019404137,0.1689,0.48806,0.58725,184.0,756.4,0.0,63321126000.0,1266.0,534.0,774.38464,750.0,,,,,,,,
78,INDIANB.NS,Indian Bank,Financial Services,Banks—Regional,INDIANB.NS,0.0,0.0,4.296204907780155,4.080479403437088,26.07365879135935,13.867491330021386,86.13250866997862,6.93712743416512,84.70185634828472,26.07365879135935,4.080479403437088,6.93712743416512,86.13250866997862,0.5539468399055906,0.0,35.402965201043756,293950000000.0,173964000000.0,96354800000.0,0.3277931621023984,1.4152752510648303,8.0537815,12.746846454724409,34.9902348628262,13.42817916718555,0.23017226182029368,134.696,655.9,883471064000.0,0.37776336271721966,2.7372406,88883900000.0,18741700000.0,5399400000.0,155222300000.0,137.83484749326686,168564600000.0,149.6825902835065,1.8295562422630745,88360.8846336,False,False,True,True,False,False,True,False,True,True,True,True,False,True,True,0.8922667908302867,883608846336,112614700000.0,352229300000.0,8770386000000.0,8054934600000.0,602482000000.0,333743000000.0,0,0,0,0,173964000000.0,5399400000.0,16163600000.0,5429400000.0,368262500000.0,38925100000.0,1346960000,88573300000.0,310600000.0,0,0.9700012414341955,13.362054811484292,17.09376917058455,1.3464638911235025,0.76031,0.19042,0.79445,96.0,655.9,0.0,84177300000.0,775.0,619.0,721.4545,750.0,,,,,,,,
79,IMFA.NS,Indian Metals and Ferro Alloys Limited,Basic Materials,Other Industrial Metals & Mining,IMFA.NS,21.845882290738867,21.421685936122284,2.377166491596639,2.420829734882228,12.000037602638676,33.62113867812929,66.3788613218707,7.244665622970231,12.038425352105312,12.000037602638676,2.420829734882228,7.244665622970231,66.3788613218707,0.18464740148052416,20.74337820234477,26.218124525879677,14547900000.0,5853500000.0,15858600000.0,1.090095477697812,13.002502858202266,12.998643,8.141150241371756,-9.280552507980289,-0.3952043131037919,-1.4006324503657026,5.39541,862.2,46519225020.0,0.08353965480571111,1.8287082,11665500000.0,1152400000.0,1158000000.0,4701100000.0,124.13128432615123,4695500000.0,123.98341782847486,4.14323325285697,4651.9226368,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,0.803126334671564,46519226368,3787200000.0,25346300000.0,31774400000.0,8203100000.0,21046600000.0,3886200000.0,1527100000.0,19348600000.0,7186700000.0,12161900000.0,5853500000.0,1158000000.0,1927400000.0,546000000.0,230300000.0,1347900000.0,53954100,10921600000.0,743900000.0,2359100000.0,11.003575584077891,15.613653696395895,17.010000202115023,12.437213777747855,0.735,0.00527,0.01989,9.0,862.2,4774033333.333333,3158500000.0,,,,,,,,,,,,
80,IIFL.NS,IIFL Finance Limited,Financial Services,Credit Services,IIFL.NS,-1,0.0,9.247498856734834,10.463221911626398,21.17425174030586,10.953389617013674,89.04661038298633,28.060925092158744,169.22263697500478,21.17425174030586,10.463221911626398,28.060925092158744,89.04661038298633,4.844731451284621,0.0,18.224636143760343,48305000000.0,-47808300000.0,-169383700000.0,-3.506545906220888,0.6069607956879935,62.548615,1.9789994137972944,-33.20128587712833,12.739071152351467,-1.8839214610988435,42.4991008,450.35,191394700452.80002,2.69251760252937,3.3319588,6528500000.0,1330400000.0,607000000.0,-49138700000.0,-1297.3229136415239,-48415300000.0,-1278.2242521847031,-1,19139.4709504,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,1.0278278039587267,191394709504,3787700000.0,57631800000.0,676441900000.0,536892200000.0,106369900000.0,515333600000.0,0,0,0,0,-47808300000.0,607000000.0,-1,1885700000.0,41695200000.0,1288500000.0,424991008,6305200000.0,223300000.0,0,2.3149215908824328,14.761687749018364,3.2866245133232503,0.5825055335103697,0.4704,0.25261,0.47699,59.0,450.35,0.0,12142033333.333334,550.0,465.0,526.25,545.0,,,,,,,,
81,IDBI.NS,IDBI Bank Limited,Financial Services,Banks—Regional,IDBI.NS,0.0,0.0,1.655180977104654,1.651633620187316,33.577384337858696,13.333943040665877,86.66605695933413,5.225884297553333,42.83697617742203,33.577384337858696,1.651633620187316,5.225884297553333,86.66605695933413,0.3902643497616535,0.0,40.60462397100409,196585207000.0,257956981000.0,269095883000.0,1.3688511313061313,2.0925518007104746,12.465401,7.724746761497481,44.36063439864453,11.553940847189681,0.2810014141813285,1075.2400384,91.87,987823023278.0801,0.20177697553409812,5.049949,122803563000.0,31684587000.0,3496687000.0,226272394000.0,296.529685345192,254460294000.0,333.46989254316657,1.631663326342888,98844.770304,False,False,True,True,False,True,True,True,False,True,True,True,False,True,True,0.8771710427173901,988447703040,76306827000.0,179937321000.0,4129618954000.0,3511770123000.0,510730591000.0,199319942000.0,0,0,0,0,257956981000.0,3496687000.0,16117946000.0,5381181000.0,142565498000.0,30814800000.0,10752400384,122000161000.0,803402000.0,0,1.4079869025544902,9.929639663155822,13.542412059393452,1.9625709036270071,0.45556,0.49629003,0.91156,41.0,91.87,0.0,57082845666.666664,,,,,,,,,,,,
82,HYBRIDFIN.NS,Hybrid Financial Services Limited,Financial Services,Capital Markets,HYBRIDFIN.NS,8.052088692679202,4.97436823855423,15.6214335421016,9.678054576832418,43.63760453853854,1.9250430485439554,98.07495695145604,21.099734837543767,393.0974046552076,43.63760453853854,9.678054576832418,21.099734837543767,98.07495695145604,0.04666411234569958,110.41592920353982,0.5649571099074818,79167000.0,-36359000.0,-16899000.0,-0.21346015385198377,8.01088188808692,13.98165,8.552878312271483,33.20695095112125,18.01654640581516,0.421045883453142,2.94363,15.24,448609212.0,0.031220937121549792,6.821605,3396000.0,665000.0,473000.0,-37024000.0,-96.49456592561704,-36832000.0,-95.99416195366051,0.046811343677891304,44.8609216,False,True,True,False,True,True,False,False,False,True,True,True,False,True,True,1.018289831953574,448609216,38369000.0,56120000.0,498662000.0,106730000.0,300145000.0,14006000.0,1801000.0,210640000.0,16638000.0,194002000.0,-36359000.0,473000.0,210000.0,1058000.0,226000.0,218000.0,29436300,3396000.0,0,12205000.0,4.568508766289298,6.862586808220932,11.088072569959701,7.849447077247569,0.64018,0.0,0.0,0.0,15.24,22499333.333333332,20944666.666666668,,,,,,,,,,,,
83,HINDALCO.NS,Hindalco Industries Limited,Basic Materials,Aluminum,HINDALCO.NS,12.802593839630877,11.120959173632778,2.220273808352888,2.3616831613587768,5.342612990304503,6.7482961591192145,93.25170384088078,7.87233138706454,3.893757491187026,5.342612990304503,2.3616831613587768,7.87233138706454,93.2517038408808,0.6022742260659846,7.652147792129768,28.361015355687876,499830000000.0,244100000000.0,845120000000.0,1.6908148770581999,6.899748606122282,9.274544,10.210083029919652,5.288087263008978,6.924995961584313,1.753856080416246,222.0740096,705.7,1567176285747.2002,0.4079247534652418,0.6378025,1436360000000.0,329820000000.0,206490000000.0,-85720000000.0,-53.57165177176426,37610000000.0,23.50478095119055,0.4964342601885813,156717.6261632,False,False,False,True,True,False,True,True,True,False,True,True,False,True,False,-0.35116755428103236,1567176261632,160010000000.0,2370220000000.0,2659910000000.0,1422700000000.0,1061460000000.0,639290000000.0,28350000000.0,1019590000000.0,655160000000.0,364430000000.0,244100000000.0,206490000000.0,7780000000.0,78810000000.0,33290000000.0,63350000000.0,2220740096,1141620000000.0,294740000000.0,610940000000.0,5.127704967913313,11.900872127392526,13.922690391768725,6.427420877368458,0.36731,0.41837,0.66126,267.0,705.7,201013333333.33334,120843333333.33333,875.0,600.0,746.8889,741.0,23494000000.0,6534000000.0,259196000000.0,1084954000000.0,0.5892323545514372,1695894000000.0,10.94911489979157,14.748090702462962
