,ticker,longName,ROCE,ROCE (3yr avg),NFAT,NFAT (3yr avg),NPM,DPR,Retention Ratio,Dep,SSGR,Av NPM (over 3 years),Au NFA/T (over 3 years),Av Dep%NFA (over 3 years),Au Retention ratio (over 3 years),d/e,Interest coverage,tax %,cPAT,CFO,cCFO,cCFO/cPAT,p/a,p/e,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,no. shares (cr),Current Price,market cap,d/e_market,p/s,NFA + CWIP,Capex,Capex_from_cashflow_statement,FCF,FCF%,FCF_capex_from_cashflow,FCF%_capex_from_cashflow,DV,Mcap (cr),d/e decreasing trend 5 yrs,Sales cagr >15%,npm >8%,Tax payout >25%,Interest coverage >3,d/e <0.5,CFO >0,cCFO > PAT,p/e <10,peg <1,EY >7%,p/b <3,DV >3%,EY >7,sgr > Sales growth (very linear),FCF/CFO,Market Cap,Net Income,Total Revenue,Total Assets,Total Liabilities,Total Stockholders Equity,Total Debt,Cash and Cash Equivalents,Current Assets,Current Liabilities,Working Capital,Operating Cash Flow,Capital Expenditure,Dividends Paid,Depreciation & Amortization,Interest Expense,Income Tax Expense,Shares Outstanding,Net Fixed Assets,Construction in Progress,Net Debt,3-5yr Average ROA (%),3-5yr Average ROE (%),ROE,ROA,insidersPercentHeld,institutionsPercentHeld,institutionsFloatPercentHeld,institutionsCount,current,high,low,mean,median,Normalized EBIT,Normalized Net Income,Research Asset,R&D Amortization,Adjusted EBIT (R&D),Adjusted Book Equity (R&D),Adjusted D/E (R&D),Adjusted Invested Capital (R&D),Adjusted ROC (R&D),Adjusted ROE (R&D)
0.00,MRVL,"Marvell Technology, Inc.",-3.88,-1.81,5.78,6.86,-11.68,-56.87,156.87,100.00,-225.72,-11.68,6.86,100.00,156.87,0.29,-1.93,1.08,-2402900000.00,1681200000.00,5159800000.00,-2.15,-4.17,inf,-1.22,-1.00,8.93,-1.00,86.21,84.07,72476747000.00,0.06,10.02,1036500000.00,1433800000.00,291600000.00,247400000.00,-27.95,1389600000.00,-157.02,0.29,7247.67,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.15,72476745728.00,-885000000.00,5767300000.00,20204500000.00,6777500000.00,14831400000.00,4343100000.00,113900000.00,3120300000.00,2026800000.00,1093500000.00,1681200000.00,291600000.00,207500000.00,1356900000.00,189400000.00,-9700000.00,862100000.00,1036500000.00,0.00,4229200000.00,-2.50,-3.59,-6.13,-4.27,0.00,0.86,0.86,1882.00,84.07,122.00,58.20,86.84,85.00,-332200000.00,-660633333.33,5107620000.00,1411020000.00,-165920000.00,19939020000.00,0.22,24168220000.00,-0.68,-4.44
0.00,MRNA,"Moderna, Inc.",-30.02,-3.45,1.14,4.89,-45.60,0.00,100.00,17.46,-240.52,-45.60,4.89,17.46,100.00,0.05,-164.38,1.28,12289000000.00,-3004000000.00,12479000000.00,1.02,-19.33,inf,-35.43,-1.00,-43.50,-1.00,38.91,25.83,10049930123.31,0.07,3.27,4012000000.00,683000000.00,1051000000.00,-3687000000.00,103.54,-4055000000.00,113.87,0.00,1004.99,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1.23,10049930240.00,-3561000000.00,3199000000.00,14142000000.00,3241000000.00,13854000000.00,747000000.00,58000000.00,8099000000.00,2206000000.00,5893000000.00,-3004000000.00,1051000000.00,0.00,189000000.00,24000000.00,-46000000.00,389079757.00,2955000000.00,1057000000.00,689000000.00,5.90,10.84,-28.59,-21.29,0.07,0.75,0.81,1017.00,25.83,198.00,15.00,44.25,30.50,644333333.33,29000000.00,11192400000.00,2934800000.00,-1974800000.00,25046400000.00,0.03,25735400000.00,-7.58,-14.22
0.00,GRAB,Grab Holdings Limited,-0.81,-8.42,5.57,5.31,-46.53,0.00,100.00,28.87,-276.16,-46.53,5.31,28.87,100.00,0.06,-1.34,-66.32,-5671000000.00,852000000.00,-814000000.00,0.14,-1.19,301.00,-0.44,-1.00,60.62,-1.00,395.34,6.02,23799299440.00,0.02,8.12,567000000.00,202000000.00,113000000.00,650000000.00,-619.05,739000000.00,-703.81,0.00,2494.93,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.76,24949256192.00,-105000000.00,2797000000.00,9295000000.00,2944000000.00,6449000000.00,364000000.00,95000000.00,6566000000.00,2592000000.00,3974000000.00,852000000.00,113000000.00,0.00,147000000.00,41000000.00,63000000.00,3953372000.00,567000000.00,0.00,269000000.00,-13.35,-19.09,-1.63,-1.16,0.22,0.63,0.81,779.00,6.02,8.00,5.10,6.22,6.25,-663333333.33,-740666666.67,1168200000.00,330400000.00,25600000.00,7617200000.00,0.05,7886200000.00,0.54,-1.38
0.00,NTRA,"Natera, Inc.",-13.60,-33.46,8.16,6.79,-39.39,0.00,100.00,13.66,-280.97,-39.39,6.79,13.66,100.00,0.24,-20.80,-0.37,-1644742000.00,135664000.00,-878028000.00,0.53,-13.21,inf,-0.86,-1.00,39.47,-1.00,13.72,160.97,22092827622.82,0.01,11.39,306656000.00,140485000.00,76918000.00,-4821000.00,2.53,58746000.00,-30.85,0.00,2236.73,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.04,22367324160.00,-190426000.00,1696911000.00,1660735000.00,465315000.00,765327000.00,187118000.00,48635000.00,1375820000.00,344045000.00,1031775000.00,135664000.00,76918000.00,0.00,30968000.00,10685000.00,695000.00,137248106.00,248195000.00,58461000.00,138483000.00,-36.15,-69.86,-59.11,-30.66,0.03,0.96,1.00,921.00,160.97,235.00,37.00,193.80,200.00,-379480000.00,-391008666.67,956212600.00,261087800.00,-35995800.00,1721539600.00,0.11,1860022600.00,-1.94,-11.06
0.00,RGTI,"Rigetti Computing, Inc.",-72.45,-53.96,0.21,0.27,-1011.36,0.00,100.00,14.09,-291.78,-1011.36,0.27,14.09,100.00,0.08,-21.05,0.00,-373743496.00,-50627000.00,-193962263.00,0.52,-125.69,inf,-2.08,-1.00,24.86,-1.00,32.42,29.79,9656880414.30,0.00,1275.39,53975000.00,8764000.00,11098000.00,-59391000.00,29.55,-61725000.00,30.71,0.00,1010.75,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.17,10107469824.00,-200988000.00,10790000.00,284787000.00,158198000.00,109588000.00,8800000.00,9081000.00,206758000.00,11867000.00,194891000.00,-50627000.00,11098000.00,0.00,6906000.00,3255000.00,0.00,324165170.00,52636000.00,1339000.00,-281000.00,-60.21,-69.72,-170.20,-90.39,0.02,0.38,0.38,447.00,29.79,35.00,18.00,21.83,20.00,-111098666.67,-115872000.00,137575334.00,37313867.00,-185296867.00,247163334.00,0.04,246882334.00,-56.29,-81.32
0.00,MDB,"MongoDB, Inc.",-4.31,-9.05,21.18,18.87,-14.61,0.00,100.00,31.62,-307.21,-14.61,18.87,31.62,100.00,0.03,-26.70,1.92,-957936000.00,150191000.00,265678000.00,-0.28,-4.50,inf,-0.51,-1.00,31.93,-1.00,8.14,310.38,25251552449.34,0.00,11.68,81370000.00,17141000.00,29550000.00,133050000.00,-103.08,120641000.00,-93.47,0.00,2590.48,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.89,25904848896.00,-129072000.00,2006443000.00,3430293000.00,648069000.00,1068989000.00,36500000.00,81214000.00,2923522000.00,561987000.00,2361535000.00,150191000.00,29550000.00,0.00,26973000.00,8092000.00,-2527000.00,81356893.00,80984000.00,386000.00,-44714000.00,-9.20,-30.35,-6.70,-4.10,0.03,0.87,0.90,1037.00,310.38,425.00,240.00,348.60,365.00,-200364333.33,-217023333.33,1386132200.00,368657800.00,104672200.00,2455121200.00,0.01,2410407200.00,4.26,-5.26
0.00,SNOW,Snowflake Inc.,-22.37,-17.36,9.11,8.73,-34.60,0.00,100.00,28.67,-330.62,-34.60,8.73,28.67,100.00,0.52,-527.73,-0.32,-3598390000.00,959764000.00,2463704000.00,-0.68,-15.63,inf,-1.60,-1.00,43.81,-1.00,33.37,241.00,80411574144.00,0.03,20.94,585450000.00,226359000.00,75712000.00,733405000.00,-57.05,884052000.00,-68.76,0.00,8041.16,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.76,80411574272.00,-1285640000.00,3626396000.00,9033938000.00,6027295000.00,5180308000.00,2685270000.00,211234000.00,5869372000.00,3301183000.00,2568189000.00,959764000.00,75712000.00,0.00,182508000.00,2759000.00,4113000.00,333657984.00,517672000.00,67778000.00,2474036000.00,-11.67,-18.95,-31.43,-14.90,0.04,0.72,0.75,1743.00,241.00,440.00,170.00,259.43,265.00,-982518666.67,-972814000.00,3473345800.00,865263600.00,-364224600.00,8653653800.00,0.31,11127689800.00,-3.28,-14.86
0.00,FROG,JFrog Ltd.,-11.21,-11.81,13.89,12.30,-21.96,0.00,100.00,60.73,-330.80,-21.96,12.30,60.73,100.00,0.02,inf,-5.19,-284879000.00,110924000.00,234406000.00,-0.82,-7.12,inf,-1.25,-1.00,27.51,-1.00,11.67,47.33,5525387784.78,0.00,12.32,19870000.00,12240000.00,3143000.00,98684000.00,-142.53,107781000.00,-155.67,0.00,585.13,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.89,5851303936.00,-69236000.00,428488000.00,1129906000.00,356380000.00,679123000.00,13976000.00,20043000.00,649227000.00,317515000.00,331712000.00,110924000.00,3143000.00,0.00,21460000.00,0.00,3416000.00,116741766.00,19870000.00,0.00,-6067000.00,-7.81,-10.81,-9.53,-6.59,0.13,0.77,0.88,398.00,47.33,60.00,48.00,54.88,55.00,-85495333.33,-73558666.67,373107800.00,99255400.00,-29489400.00,1052230800.00,0.01,1046163800.00,-2.97,-6.58
0.00,COIN,"Coinbase Global, Inc.",20.71,-4.21,29.40,22.50,-13.28,0.00,100.00,59.61,-358.31,-13.28,22.50,59.61,100.00,0.69,27.72,12.36,3673108000.00,2556844000.00,5932548000.00,1.62,17.48,30.43,3.55,-15.82,-5.75,-1.92,21.52,337.49,72614053096.25,0.06,12.10,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,8115.80,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.00,81157955584.00,2579066000.00,6564028000.00,22541951000.00,12265109000.00,6281649000.00,4319870000.00,266287000.00,18112653000.00,7941320000.00,10171333000.00,2556844000.00,-1.00,0.00,127518000.00,80645000.00,363578000.00,215159125.00,281231000.00,-1.00,4053583000.00,6.58,11.30,31.15,13.83,0.02,0.65,0.67,1723.00,337.49,510.00,185.00,370.09,372.00,17843000.00,16329333.33,4440321600.00,1282141600.00,3209399400.00,10721970600.00,0.40,14775553600.00,19.04,24.05
0.00,EB,"Eventbrite, Inc.",-1.20,-3.94,28.24,25.59,-11.38,0.00,100.00,100.00,-391.21,-11.38,25.59,100.00,100.00,1.27,-3.50,-16.10,-236514000.00,35573000.00,149035000.00,-0.63,-1.70,inf,-7.64,-1.00,20.21,-1.00,8.09,2.52,203749696.08,1.19,0.86,-1.00,-1.00,8275000.00,-1.00,-1.00,27298000.00,-175.31,0.00,25.96,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-1.00,259585216.00,-15571000.00,325068000.00,752301000.00,582072000.00,191757000.00,243167000.00,19810000.00,552496000.00,366373000.00,186123000.00,35573000.00,8275000.00,0.00,15104000.00,8792000.00,2159000.00,80853054.00,13463000.00,-1.00,223357000.00,-4.54,-23.85,-14.78,-2.93,0.06,0.80,0.86,187.00,2.52,3.00,2.70,2.85,2.85,-20637333.33,-32478000.00,252247000.00,69245200.00,21417800.00,444004000.00,0.55,667361000.00,3.73,-3.51
