,ticker,longName,ROCE,ROCE (3yr avg),NFAT,NFAT (3yr avg),NPM,DPR,Retention Ratio,Dep,SSGR,Av NPM (over 3 years),Au NFA/T (over 3 years),Av Dep%NFA (over 3 years),Au Retention ratio (over 3 years),d/e,Interest coverage,tax %,cPAT,CFO,cCFO,cCFO/cPAT,p/a,p/e,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,no. shares (cr),Current Price,market cap,d/e_market,p/s,NFA + CWIP,Capex,Capex_from_cashflow_statement,FCF,FCF%,FCF_capex_from_cashflow,FCF%_capex_from_cashflow,DV,Mcap (cr),d/e decreasing trend 5 yrs,Sales cagr >15%,npm >8%,Tax payout >25%,Interest coverage >3,d/e <0.5,CFO >0,cCFO > PAT,p/e <10,peg <1,EY >7%,p/b <3,DV >3%,EY >7,sgr > Sales growth (very linear),FCF/CFO,Market Cap,Net Income,Total Revenue,Total Assets,Total Liabilities,Total Stockholders Equity,Total Debt,Cash and Cash Equivalents,Current Assets,Current Liabilities,Working Capital,Operating Cash Flow,Capital Expenditure,Dividends Paid,Depreciation & Amortization,Interest Expense,Income Tax Expense,Shares Outstanding,Net Fixed Assets,Construction in Progress,Net Debt,3-5yr Average ROA (%),3-5yr Average ROE (%),ROE,ROA,insidersPercentHeld,institutionsPercentHeld,institutionsFloatPercentHeld,institutionsCount,current,high,low,mean,median,Normalized EBIT,Normalized Net Income,Research Asset,R&D Amortization,Adjusted EBIT (R&D),Adjusted Book Equity (R&D),Adjusted D/E (R&D),Adjusted Invested Capital (R&D),Adjusted ROC (R&D),Adjusted ROE (R&D)
0.00,GRBK,"Green Brick Partners, Inc.",23.61,22.95,149.38,192.10,16.93,0.91,99.09,34.45,3188.59,16.93,192.10,34.45,99.09,0.27,inf,18.51,1148319000.00,25912000.00,237549000.00,0.21,20.05,9.28,11.86,31.41,14.37,0.30,4.36,73.86,3217718138.28,0.11,1.51,13793000.00,4363000.00,4365000.00,21549000.00,5.65,21547000.00,5.65,0.09,321.77,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.83,3217718016.00,381583000.00,2098943000.00,2249994000.00,551831000.00,1300704000.00,344949000.00,0.00,2111286000.00,229527000.00,1881759000.00,25912000.00,4365000.00,2875000.00,4879000.00,0.00,94725000.00,43565098.00,13793000.00,0.00,0.00,17.48,27.12,24.09,16.00,0.08,0.78,0.86,409.00,73.86,62.00,62.00,62.00,62.00,397080666.67,319369666.67,,,,,,,,
0.00,ANET,Arista Networks Inc,26.03,27.32,69.88,55.40,35.74,0.00,100.00,62.09,1917.67,35.74,55.40,62.09,100.00,-1.00,-1.00,12.65,7132675000.00,3708235000.00,7250918000.00,1.02,28.64,53.42,1.67,49.09,33.43,1.09,125.69,136.23,171223402279.68,-1.00,21.53,107054000.00,63270000.00,32032000.00,3644965000.00,127.80,3676203000.00,128.90,0.00,17122.34,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.98,171223400448.00,2852054000.00,7003146000.00,14043921000.00,4049114000.00,7219059000.00,-1.00,632292000.00,11910815000.00,2732222000.00,9178593000.00,3708235000.00,32032000.00,0.00,62038000.00,-1.00,412980000.00,1256870016.00,98845000.00,8209000.00,-1.00,23.29,32.50,34.49,24.95,0.18,0.69,0.84,2372.00,136.23,160.00,103.00,139.83,146.50,2242990333.33,2097273666.67,2352388600.00,633356200.00,3307976800.00,9571447600.00,-1.00,-1.00,-1.00,29.80
0.00,ABNB,"Airbnb, Inc.",23.64,20.43,38.95,33.41,31.57,0.00,100.00,20.90,1033.93,31.57,33.41,20.90,100.00,0.28,-1.00,20.50,8981000000.00,4518000000.00,14145000000.00,1.57,12.83,30.05,5.08,-1.00,22.82,-1.00,42.91,121.42,52098839932.36,0.04,6.54,307000000.00,11000000.00,-1.00,4507000000.00,170.20,-1.00,-1.00,0.00,7573.35,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.00,75733549056.00,2648000000.00,11102000000.00,20959000000.00,12547000000.00,8165000000.00,2294000000.00,491000000.00,17180000000.00,10161000000.00,7019000000.00,4518000000.00,-1.00,0.00,65000000.00,-1.00,683000000.00,429079558.00,291000000.00,16000000.00,1803000000.00,19.43,53.23,69.83,26.13,0.02,0.82,0.83,1730.00,121.42,180.00,98.00,138.14,140.00,1987333333.33,3111000000.00,4904800000.00,1341000000.00,3268000000.00,13069800000.00,0.18,14872800000.00,17.47,20.26
0.00,LEU,Centrus Energy Corp.,10.14,21.06,53.90,53.18,20.23,0.00,100.00,100.00,975.79,20.23,53.18,100.00,100.00,4.86,17.89,-0.27,384800000.00,37000000.00,116700000.00,0.30,9.19,49.53,1.35,-23.50,14.00,-2.11,1.75,310.07,5422703224.94,0.03,12.73,9400000.00,13200000.00,4100000.00,23800000.00,32.51,32900000.00,44.95,0.00,555.98,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.64,5559764992.00,73200000.00,442000000.00,1093400000.00,932000000.00,32300000.00,157000000.00,38300000.00,1015200000.00,346800000.00,668400000.00,37000000.00,4100000.00,0.00,10800000.00,2700000.00,-200000.00,17488642.00,9400000.00,0.00,118700000.00,9.71,-226.08,-403.83,11.24,0.05,0.76,0.79,429.00,310.07,310.00,108.00,244.71,252.00,76600000.00,69933333.33,,,,,,,,
0.00,NVDA,NVIDIA Corporation,90.08,54.92,25.83,20.12,40.30,3.86,96.14,29.88,749.67,40.30,20.12,29.88,96.14,0.24,329.77,13.26,116760000000.00,64089000000.00,106928000000.00,0.92,110.88,50.70,1.60,96.57,69.25,0.52,2434.70,186.58,4542663260000.00,0.00,27.49,8605000000.00,5020000000.00,3236000000.00,59069000000.00,81.05,60853000000.00,83.50,0.02,454266.35,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.92,4542663491584.00,72880000000.00,130497000000.00,111601000000.00,32274000000.00,42978000000.00,10270000000.00,3771000000.00,80126000000.00,18047000000.00,62079000000.00,64089000000.00,3236000000.00,834000000.00,1864000000.00,247000000.00,11146000000.00,24347000000.00,8076000000.00,529000000.00,6499000000.00,42.54,66.30,119.18,82.20,0.04,0.69,0.72,6797.00,186.58,270.00,100.00,213.81,211.00,40930333333.33,35669333333.33,26364600000.00,6839200000.00,90347800000.00,69342600000.00,0.15,75841600000.00,103.32,105.10
0.00,KBH,KB Home,13.09,14.82,62.41,60.63,10.16,8.99,91.01,31.71,529.04,10.16,60.63,31.71,91.01,0.45,inf,23.02,2626607000.00,362722000.00,1591543000.00,0.61,9.85,8.90,15.88,11.83,6.58,0.75,6.48,63.64,4123872000.00,0.42,0.63,109063000.00,33301000.00,39311000.00,329421000.00,50.29,323411000.00,49.37,1.74,412.39,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.91,4123872000.00,655018000.00,6930086000.00,6936169000.00,2875553000.00,3810140000.00,1712538000.00,0.00,6527952000.00,936147000.00,5591805000.00,362722000.00,39311000.00,71554000.00,37272000.00,0.00,195900000.00,64800000.00,109063000.00,0.00,0.00,10.98,20.12,15.80,8.87,0.04,1.01,1.05,536.00,63.64,83.00,49.00,65.75,65.50,861060666.67,687287000.00,,,,,,,,
0.00,SMCI,"Super Micro Computer, Inc.",10.89,20.21,62.40,57.21,7.15,0.00,100.00,10.88,398.15,7.15,57.21,10.88,100.00,0.88,21.03,12.94,3126681000.00,1659524000.00,-603669000.00,-0.19,10.67,28.20,3.68,47.28,61.71,0.60,59.43,47.94,28489462385.52,0.17,1.30,799218000.00,428726000.00,127214000.00,1230798000.00,117.35,1532310000.00,146.09,0.00,2848.95,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.74,28489459712.00,1048854000.00,21972042000.00,14018429000.00,7716558000.00,5417206000.00,4778842000.00,233681000.00,12301654000.00,2344792000.00,9956862000.00,1659524000.00,127214000.00,0.00,58344000.00,59573000.00,156851000.00,594273308.00,798180000.00,1038000.00,4545161000.00,13.34,26.69,17.90,8.80,0.17,0.52,0.63,1151.00,47.94,93.00,15.00,49.82,50.00,1089922666.67,947172666.67,1300653600.00,335926200.00,1572112800.00,6717859600.00,0.71,11263020600.00,12.15,15.61
0.00,EWBC,"East West Bancorp, Inc.",-1.00,0.00,14.90,13.52,46.45,23.45,76.55,89.94,390.82,46.45,13.52,89.94,76.55,0.52,0.00,21.34,4327811000.00,1411667000.00,6071020000.00,1.40,1.67,12.66,7.94,10.85,12.53,1.17,13.78,106.45,14671126990.70,0.25,6.08,164200000.00,182253000.00,-1.00,1229414000.00,105.48,-1.00,-1.00,2.10,1493.72,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0.87,14937172992.00,1165586000.00,2566544000.00,75976475000.00,68253421000.00,6950834000.00,3625237000.00,0.00,0.00,0.00,0.00,1411667000.00,-1.00,308478000.00,198447000.00,1914480000.00,316275000.00,137821766.00,164200000.00,0.00,0.00,1.77,18.52,17.95,1.74,0.01,0.96,0.96,701.00,106.45,140.00,104.00,122.67,125.00,0.00,1151610000.00,,,,,,,,
0.00,NFLX,"Netflix, Inc.",24.92,19.01,26.99,25.89,17.53,0.00,100.00,100.00,353.72,17.53,25.89,100.00,100.00,0.76,14.49,12.58,23727773000.00,7361364000.00,17054532000.00,0.72,17.88,51.54,1.71,20.64,9.51,2.50,42.49,1198.92,509452694746.32,0.03,12.34,1822056000.00,15554551000.00,439538000.00,-8193187000.00,-94.05,6921826000.00,79.45,0.00,51442.01,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-1.11,514420113408.00,8711631000.00,39000966000.00,53630374000.00,28886807000.00,20588313000.00,15582804000.00,1096412000.00,13100379000.00,10755400000.00,2344979000.00,7361364000.00,439538000.00,0.00,15630431000.00,718733000.00,1254026000.00,424926346.00,1593756000.00,228300000.00,14486392000.00,12.31,30.35,38.43,17.02,0.01,0.86,0.87,4474.00,1198.92,1600.00,750.00,1355.07,1405.00,7869511333.33,6203848333.33,7602080000.00,2117195800.00,11492489200.00,28190393000.00,0.55,42676785000.00,23.54,30.90
0.00,PGR,The Progressive Corporation,-1.00,4.41,90.18,66.90,6.33,17.10,82.90,30.65,320.56,6.33,66.90,30.65,82.90,0.34,0.00,20.84,16455900000.00,15119000000.00,40372700000.00,2.45,9.56,13.72,5.86,36.43,16.48,0.38,58.64,246.95,144811480000.00,0.05,1.76,790000000.00,193000000.00,285000000.00,14926000000.00,176.01,14834000000.00,174.93,0.47,14481.15,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.99,144811474944.00,8480000000.00,75343000000.00,105745000000.00,80154000000.00,20277000000.00,6893000000.00,0.00,0.00,0.00,0.00,15119000000.00,285000000.00,682000000.00,284000000.00,279000000.00,2233000000.00,586400000.00,790000000.00,0.00,0.00,2.87,12.91,21.58,4.76,0.00,0.88,0.88,2547.00,246.95,350.00,189.00,278.42,275.00,5776666666.67,4368333333.33,,,,,,,,
0.00,TOL,"Toll Brothers, Inc.",18.79,17.18,21.95,23.78,13.58,6.50,93.50,17.92,283.96,13.58,23.78,17.92,93.50,0.44,-1.00,24.67,5063393000.00,1010167000.00,4566540000.00,0.90,12.54,10.12,11.80,31.15,7.26,0.32,9.64,138.14,13314347620.00,0.22,1.22,561318000.00,215742000.00,73643000.00,794425000.00,50.56,936524000.00,59.61,0.70,1331.43,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.79,13314348032.00,1571195000.00,10846740000.00,13367932000.00,5681217000.00,6797156000.00,2961507000.00,0.00,11570119000.00,2511316000.00,9058803000.00,1010167000.00,73643000.00,93401000.00,81201000.00,-1.00,514445000.00,96383000.00,561318000.00,0.00,0.00,10.93,22.10,21.43,11.06,0.01,0.94,0.94,854.00,138.14,183.00,92.00,151.00,155.00,1757856000.00,1409922000.00,,,,,,,,
0.00,GDDY,GoDaddy Inc.,16.68,13.25,20.24,16.12,20.47,0.00,100.00,60.81,269.14,20.47,16.12,60.81,100.00,62.62,5.89,-22.41,2906200000.00,1287700000.00,4144300000.00,1.43,12.38,25.25,4.95,66.36,6.22,0.38,13.84,136.83,18943978996.11,0.21,4.12,205800000.00,95000000.00,26600000.00,1192700000.00,127.30,1261100000.00,134.60,0.00,1957.67,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.93,19576690688.00,936900000.00,4573200000.00,8235400000.00,7543300000.00,62200000.00,3894700000.00,19100000.00,1951800000.00,2698400000.00,-746600000.00,1287700000.00,26600000.00,0.00,135300000.00,158300000.00,-171500000.00,138449017.00,205800000.00,0.00,3875600000.00,11.90,-650.76,-1019.88,18.91,0.01,0.98,0.99,1173.00,136.83,250.00,150.00,189.29,186.00,669766666.67,887966666.67,2245000000.00,630860000.00,1107240000.00,2307200000.00,1.69,6182800000.00,21.92,40.61
0.00,PINS,"Pinterest, Inc.",3.64,-1.04,28.50,18.14,15.49,0.00,100.00,14.88,266.09,15.49,18.14,14.88,100.00,0.06,-1.00,-547.45,2046887000.00,964594000.00,2799664000.00,1.37,51.81,12.19,9.66,77.49,12.25,0.16,59.93,32.17,19278327126.44,0.01,5.85,134688000.00,21275000.00,24606000.00,943319000.00,50.66,939988000.00,50.48,0.00,2284.56,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.98,22845636608.00,1862106000.00,3646166000.00,5342660000.00,591506000.00,3090680000.00,185789000.00,78435000.00,3484707000.00,398133000.00,3086574000.00,964594000.00,24606000.00,0.00,21266000.00,-1.00,-1574501000.00,599264132.00,131491000.00,3197000.00,107354000.00,-1.78,-2.08,-1.12,-0.96,0.01,0.93,0.94,1210.00,32.17,50.00,26.00,43.47,44.00,-15846000.00,576816333.33,2976790400.00,807644800.00,612736200.00,6067470400.00,0.03,6174824400.00,64.25,30.69
0.00,CDNS,"Cadence Design Systems, Inc.",19.35,26.62,8.47,8.42,24.01,0.00,100.00,28.42,173.70,24.01,8.42,28.42,100.00,0.76,18.09,24.38,3641535000.00,1260551000.00,4952579000.00,1.36,18.62,94.42,1.10,15.27,15.81,6.18,27.25,351.26,95714837400.00,0.03,18.81,619269000.00,242337000.00,142542000.00,1018214000.00,96.47,1118009000.00,105.92,0.00,9571.48,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.81,95714836480.00,1055484000.00,4641264000.00,8974482000.00,4300904000.00,3404271000.00,2585076000.00,293253000.00,4016079000.00,1370105000.00,2645974000.00,1260551000.00,142542000.00,0.00,195015000.00,75999000.00,340335000.00,272490000.00,604390000.00,14879000.00,2291823000.00,16.84,29.08,26.13,14.42,0.00,0.91,0.91,1978.00,351.26,410.00,200.00,369.57,390.00,1286075333.33,981860000.00,3907167000.00,1075342000.00,1945569000.00,7311438000.00,0.35,9603261000.00,15.32,14.44
0.00,BNTX,BioNTech SE,-3.32,22.07,2.55,10.87,18.23,1.71,98.29,22.17,172.63,18.23,10.87,22.17,98.29,0.01,-47.28,1.83,19991900000.00,207700000.00,20046200000.00,1.00,-2.89,inf,-2.81,-1.00,-47.47,-1.00,24.04,98.62,23708122160.88,0.01,8.24,1644000000.00,580900000.00,452300000.00,-373200000.00,56.09,-244600000.00,36.77,0.00,2370.81,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,-1.80,23708123136.00,-665300000.00,2751100000.00,22529700000.00,3118600000.00,20245900000.00,254200000.00,212700000.00,18803500000.00,2523200000.00,16280300000.00,207700000.00,452300000.00,0.00,298000000.00,12600000.00,-12400000.00,240398724.00,1183400000.00,460600000.00,41500000.00,26.13,31.84,4.62,4.02,0.63,0.23,0.62,474.00,98.62,173.57,99.96,136.31,137.47,4500633333.33,3233133333.33,4982560000.00,1304700000.00,284400000.00,25228460000.00,0.01,25269960000.00,1.10,-2.64
0.00,CROX,"Crocs, Inc.",25.05,24.49,7.62,8.76,19.45,-1.00,101.00,11.93,160.16,19.45,8.76,11.93,-1.00,1.17,9.35,-4.34,3008490000.00,992486000.00,3093237000.00,1.03,20.46,22.16,20.82,11.25,21.04,1.97,5.46,83.55,4563280260.90,0.37,1.10,562426000.00,93093000.00,69347000.00,899393000.00,94.67,923139000.00,97.17,-1.00,456.33,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0.91,4563280384.00,950071000.00,4102108000.00,4812153000.00,2976421000.00,1453923000.00,1701296000.00,51623000.00,872269000.00,740208000.00,132061000.00,992486000.00,69347000.00,-1.00,69840000.00,109264000.00,-39486000.00,54617358.00,551563000.00,10863000.00,1649673000.00,17.60,99.81,69.77,17.33,0.03,1.04,1.08,677.00,83.55,100.00,67.00,86.17,85.00,970712666.67,760932000.00,,,,,,,,
0.00,AAPL,Apple Inc.,65.34,60.19,8.75,8.76,24.86,15.54,84.46,25.56,158.43,24.86,8.76,25.56,84.46,1.72,-1.00,24.09,385214000000.00,118254000000.00,454986000000.00,1.18,26.59,35.29,2.72,2.52,2.25,13.99,1484.04,232.56,3451283394232.32,0.03,8.45,45680000000.00,13410000000.00,9447000000.00,104844000000.00,111.85,108807000000.00,116.08,0.44,345128.33,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.89,3451283308544.00,93736000000.00,391035000000.00,364980000000.00,308030000000.00,62146000000.00,106629000000.00,14287000000.00,152987000000.00,176392000000.00,-23405000000.00,118254000000.00,9447000000.00,15234000000.00,11445000000.00,-1.00,29749000000.00,14840399872.00,45680000000.00,0.00,92342000000.00,27.93,173.70,171.95,27.50,0.02,0.64,0.65,6998.00,232.56,300.00,175.00,235.00,239.00,118984666666.67,96844666666.67,79818200000.00,21890000000.00,132696000000.00,141964200000.00,0.75,234306200000.00,42.99,66.03
0.00,ENPH,"Enphase Energy, Inc.",4.98,14.05,7.39,14.00,14.64,0.00,100.00,47.67,157.27,14.64,14.00,47.67,100.00,1.33,10.16,14.56,1084405000.00,513693000.00,2307318000.00,2.13,3.03,28.31,2.22,-11.33,-1.26,-2.50,13.08,35.39,4627269785.69,0.28,3.22,191436000.00,54942000.00,33604000.00,458751000.00,446.87,480089000.00,467.66,0.00,477.24,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.89,4772403200.00,102658000.00,1330383000.00,3249676000.00,2416660000.00,983624000.00,1308195000.00,220735000.00,2327084000.00,660091000.00,1666993000.00,513693000.00,33604000.00,0.00,81389000.00,8905000.00,17501000.00,130750771.00,172131000.00,19305000.00,1087460000.00,14.48,55.90,48.52,13.57,0.03,0.96,0.99,831.00,35.39,85.00,27.00,42.67,40.00,370842666.67,312985333.33,526701800.00,140604600.00,189774400.00,1510325800.00,0.87,2597785800.00,6.24,6.80
0.00,DECK,Deckers Outdoor Corporation,44.52,39.23,9.89,9.79,17.11,0.00,100.00,11.25,156.34,17.11,9.79,11.25,100.00,0.13,335.26,22.30,2694425000.00,1044523000.00,2787482000.00,1.03,30.81,16.27,6.42,32.43,16.53,0.50,14.83,101.37,15037566605.94,0.02,3.06,610031000.00,135908000.00,86171000.00,908615000.00,94.05,958352000.00,99.20,0.00,1569.03,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.87,15690277888.00,966091000.00,4985612000.00,3570252000.00,1057239000.00,2107468000.00,276975000.00,67282000.00,2860475000.00,769941000.00,2090534000.00,1044523000.00,86171000.00,0.00,68426000.00,3517000.00,277208000.00,148343362.00,562951000.00,47080000.00,209693000.00,24.01,35.42,41.82,28.81,0.01,1.01,1.01,1281.00,101.37,158.00,97.00,128.36,127.50,965948333.33,747492000.00,,,,,,,,
0.00,APP,AppLovin Corporation,39.37,17.87,22.42,20.41,12.52,0.00,100.00,100.00,155.61,12.52,20.41,100.00,100.00,2.83,5.89,-0.24,1779187000.00,2099011000.00,3935145000.00,2.21,29.48,91.77,0.71,260.37,19.02,0.35,30.76,718.54,221049039455.42,0.02,39.49,198599000.00,425738000.00,4776000.00,1673273000.00,105.92,2094235000.00,132.57,0.00,22658.01,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.80,226580070400.00,1579776000.00,4709248000.00,5869259000.00,4779441000.00,1256329000.00,3556405000.00,156533000.00,2312190000.00,1057472000.00,1254718000.00,2099011000.00,4776000.00,0.00,448680000.00,318260000.00,-3771000.00,307636373.00,198599000.00,0.00,3399872000.00,1.58,6.52,22.58,6.37,0.22,0.70,0.90,1657.00,718.54,810.00,250.00,589.50,620.00,839062000.00,581247000.00,1563722800.00,421016800.00,2111937200.00,2820051800.00,1.26,6219923800.00,34.04,56.02
0.00,DFIN,"Donnelley Financial Solutions, Inc.",22.70,22.42,30.60,21.73,11.47,0.00,100.00,100.00,149.37,11.47,21.73,100.00,100.00,0.35,9.48,26.14,423000000.00,171100000.00,625300000.00,1.48,11.45,18.17,6.53,-10.17,-7.67,-1.79,2.75,51.43,1414056381.11,0.10,1.87,21200000.00,60800000.00,65900000.00,110300000.00,119.37,105200000.00,113.85,0.00,141.46,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.64,1414606208.00,92400000.00,781900000.00,841600000.00,405500000.00,402200000.00,141400000.00,17800000.00,232500000.00,224100000.00,8400000.00,171100000.00,65900000.00,0.00,69500000.00,15100000.00,32700000.00,27494777.00,21200000.00,0.00,123600000.00,11.02,25.74,22.47,10.05,0.05,1.03,1.08,364.00,51.43,72.00,70.00,70.67,70.00,136466666.67,92366666.67,,,,,,,,
0.00,PYPL,"PayPal Holdings, Inc.",17.18,15.06,19.76,18.06,12.03,0.00,100.00,70.55,146.77,12.03,18.06,70.55,100.00,0.47,15.09,22.18,14981000000.00,7450000000.00,23903000000.00,1.60,5.05,14.42,6.47,4.32,7.82,3.34,95.54,67.06,64067675839.30,0.15,1.99,1612000000.00,1122000000.00,683000000.00,6328000000.00,152.59,6767000000.00,163.18,0.00,6429.70,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.85,64296964096.00,4147000000.00,31797000000.00,81611000000.00,61194000000.00,21051000000.00,9879000000.00,4651000000.00,61092000000.00,48376000000.00,12716000000.00,7450000000.00,683000000.00,0.00,1032000000.00,382000000.00,1182000000.00,955378405.00,1508000000.00,104000000.00,5228000000.00,4.74,17.81,20.00,5.06,0.00,0.82,0.82,2602.00,67.06,120.00,62.00,82.87,80.50,5046333333.33,3604000000.00,8524400000.00,2448600000.00,6241400000.00,29575400000.00,0.33,34803400000.00,13.96,14.02
0.00,AGX,"Argan, Inc.",24.75,17.20,40.61,34.26,7.56,36.31,63.69,28.16,136.91,7.56,34.26,28.16,63.69,0.01,inf,23.15,189159000.00,167584000.00,282796000.00,1.50,14.29,31.96,2.29,37.74,19.73,0.85,1.38,270.05,3729815828.75,0.00,4.05,-1.00,-1.00,6583000.00,-1.00,-1.00,161001000.00,188.40,0.49,372.98,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,-1.00,3729815552.00,85459000.00,874179000.00,836227000.00,484370000.00,290939000.00,2710000.00,9950000.00,781300000.00,479857000.00,301443000.00,167584000.00,6583000.00,18268000.00,5660000.00,0.00,25745000.00,13811575.00,24516000.00,-1.00,-7240000.00,6.15,11.11,11.32,5.95,0.05,0.89,0.93,467.00,270.05,236.00,220.00,230.33,235.00,55440666.67,50305000.00,,,,,,,,
0.00,NVMI,Nova Ltd.,18.71,17.55,5.56,5.80,26.07,0.00,100.00,15.84,135.30,26.07,5.80,15.84,100.00,0.31,-1.00,15.04,553386000.00,235266000.00,610598000.00,1.10,16.21,42.01,1.94,24.37,17.35,1.72,2.97,319.66,9478706642.24,0.02,11.74,132939000.00,41588000.00,17215000.00,193678000.00,105.40,218051000.00,118.66,0.00,947.87,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.82,9478707200.00,183762000.00,672396000.00,1390422000.00,462627000.00,750752000.00,236096000.00,7335000.00,901949000.00,388230000.00,513719000.00,235266000.00,17215000.00,0.00,17379000.00,-1.00,32525000.00,29652464.00,132939000.00,0.00,228761000.00,14.27,23.41,20.38,12.87,0.00,0.77,0.77,354.00,319.66,350.00,280.00,306.67,302.50,156578000.00,153428333.33,261309000.00,70923000.00,226874000.00,1012061000.00,0.23,1240822000.00,15.53,18.16
0.00,IT,"Gartner, Inc.",33.26,31.98,11.09,9.05,16.57,0.00,100.00,29.91,120.07,16.57,9.05,29.91,100.00,4.26,8.83,9.63,3737540000.00,1484922000.00,5054551000.00,1.35,16.00,16.29,6.30,19.99,9.80,0.81,7.57,262.87,19908668431.65,0.15,3.12,500387000.00,73175000.00,101737000.00,1411747000.00,112.61,1383185000.00,110.33,0.00,2000.11,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.95,20001064960.00,1253715000.00,6267411000.00,8534671000.00,7175502000.00,680634000.00,2900006000.00,153245000.00,4196531000.00,3969016000.00,227515000.00,1484922000.00,101737000.00,0.00,202315000.00,131046000.00,133659000.00,75735795.00,500387000.00,0.00,2746761000.00,11.32,232.03,194.28,11.66,0.03,0.99,1.02,1336.00,262.87,457.00,225.00,300.60,286.50,1317239666.67,981326666.67,,,,,,,,
